id;id_produto;n_serie;nm_fornecedor
372216;999959;6932372-1;3c service 19/01 nota 759 763
372217;999959;64004031;3c service 19/01 nota 759 763
372218;999959;91099013;3c service 19/01 nota 759 763
372219;999959;9150512;3c service 19/01 nota 759 763
372220;999959;8269831-7;3c service 19/01 nota 759 763
372221;999959;10784923;3c service 19/01 nota 759 763
372222;999959;10919309;3c service 19/01 nota 759 763
372223;999959;7494659-5;3c service 19/01 nota 759 763
372224;999959;7655467;3c service 19/01 nota 759 763
372225;999959;90867432;3c service 19/01 nota 759 763
372226;999959;6718579-7;3c service 19/01 nota 759 763
372227;999959;10377277;3c service 19/01 nota 759 763
372228;999959;9273309;3c service 19/01 nota 759 763
372229;999959;84858575;3c service 19/01 nota 759 763
372230;999959;7429372;3c service 19/01 nota 759 763
372231;999959;7429374;3c service 19/01 nota 759 763
372232;999959;6718088-4;3c service 19/01 nota 759 763
372233;999959;9290720;3c service 19/01 nota 759 763
372234;999959;9263904;3c service 19/01 nota 759 763
372235;999959;10919311;3c service 19/01 nota 759 763
372236;999959;10288249;3c service 19/01 nota 759 763
372237;999959;9428476;3c service 19/01 nota 759 763
372238;999959;10860612;3c service 19/01 nota 759 763
372239;999959;7257835-1;3c service 19/01 nota 759 763
372240;999959;10644666;3c service 19/01 nota 759 763
372241;999959;10081377;3c service 19/01 nota 759 763
372242;999959;9989492;3c service 19/01 nota 759 763
372243;999959;8524698-1;3c service 19/01 nota 759 763
372244;999959;9609246;3c service 19/01 nota 759 763
372245;999959;6547787;3c service 19/01 nota 759 763
372246;999959;9725998;3c service 19/01 nota 759 763
372247;999959;10025640;3c service 19/01 nota 759 763
372248;999959;7327080-6;3c service 19/01 nota 759 763
372249;999959;84857625;3c service 19/01 nota 759 763
372250;999959;6605950-1;3c service 19/01 nota 759 763
372251;999959;9420408;3c service 19/01 nota 759 763
372252;999959;10078844;3c service 19/01 nota 759 763
372253;999959;7120329-0;3c service 19/01 nota 759 763
372254;999959;9453951;3c service 19/01 nota 759 763
372255;999959;63363178;3c service 19/01 nota 759 763
372256;999959;9777041;3c service 19/01 nota 759 763
372257;999959;7980294;3c service 19/01 nota 759 763
372258;999959;9023924;3c service 19/01 nota 759 763
372259;999959;9807487;3c service 19/01 nota 759 763
372260;999959;10008206;3c service 19/01 nota 759 763
372261;999959;8274039-9;3c service 19/01 nota 759 763
372262;999959;9148378;3c service 19/01 nota 759 763
372263;999959;6913280-1;3c service 19/01 nota 759 763
372264;999959;9229465;3c service 19/01 nota 759 763
372265;999959;8167785-5;3c service 19/01 nota 759 763
372266;999959;9359041;3c service 19/01 nota 759 763
372267;999959;9985167;3c service 19/01 nota 759 763
372268;999959;8537306-1;3c service 19/01 nota 759 763
372269;999959;10625792;3c service 19/01 nota 759 763
372270;999959;6637022-1;3c service 19/01 nota 759 763
372271;999959;6654333-9;3c service 19/01 nota 759 763
372272;999959;6717944-4;3c service 19/01 nota 759 763
372273;999959;63770482;3c service 19/01 nota 759 763
372274;999959;7781693;3c service 19/01 nota 759 763
372275;999959;8335844;3c service 19/01 nota 759 763
372276;999959;7634902-1;3c service 19/01 nota 759 763
372277;999959;9889941;3c service 19/01 nota 759 763
372278;999959;10658074;3c service 19/01 nota 759 763
372279;999959;9371339;3c service 19/01 nota 759 763
372280;999959;9497135;3c service 19/01 nota 759 763
372281;999959;6938045;3c service 19/01 nota 759 763
372282;999959;10672807;3c service 19/01 nota 759 763
372283;999959;91349966;3c service 19/01 nota 759 763
372284;999959;92247849;3c service 19/01 nota 759 763
372285;999959;8071062;3c service 19/01 nota 759 763
372286;999959;10656337;3c service 19/01 nota 759 763
372287;999959;7017193-9;3c service 19/01 nota 759 763
372288;999959;10144432;3c service 19/01 nota 759 763
372289;999959;8233127-8;3c service 19/01 nota 759 763
372290;999959;6913300-0;3c service 19/01 nota 759 763
372291;999959;55591027;3c service 19/01 nota 759 763
372292;999959;9747647;3c service 19/01 nota 759 763
372293;999958;480911;3c service 19/01 nota 759 763
372294;999958;4922240-2;3c service 19/01 nota 759 763
372295;999958;4605215-1;3c service 19/01 nota 759 763
372296;999958;1189494;3c service 19/01 nota 759 763
372297;999958;4281418;3c service 19/01 nota 759 763
372298;999958;4072447;3c service 19/01 nota 759 763
372299;999958;5905230;3c service 19/01 nota 759 763
372300;999958;16368568;3c service 19/01 nota 759 763
372301;999958;5431066;3c service 19/01 nota 759 763
372302;999958;1923241-1;3c service 19/01 nota 759 763
372303;999958;6155767;3c service 19/01 nota 759 763
372304;999958;5508323;3c service 19/01 nota 759 763
372305;999958;5383582;3c service 19/01 nota 759 763
372306;999958;1322783;3c service 19/01 nota 759 763
372307;999958;1113828;3c service 19/01 nota 759 763
372308;999958;6120555;3c service 19/01 nota 759 763
372309;999958;1822392-3;3c service 19/01 nota 759 763
372310;999958;51095921;3c service 19/01 nota 759 763
372311;999958;2549602;3c service 19/01 nota 759 763
372312;999958;45017107;3c service 19/01 nota 759 763
372313;999958;699612;3c service 19/01 nota 759 763
372314;999958;3216094;3c service 19/01 nota 759 763
372315;999958;5862980;3c service 19/01 nota 759 763
372316;999958;19758995;3c service 19/01 nota 759 763
372317;999958;4311330-3;3c service 19/01 nota 759 763
372318;999958;564489;3c service 19/01 nota 759 763
372319;999958;5375750;3c service 19/01 nota 759 763
372320;999958;3305980;3c service 19/01 nota 759 763
372321;999958;1924835-1;3c service 19/01 nota 759 763
372322;999958;3324482;3c service 19/01 nota 759 763
372323;999958;3040713;3c service 19/01 nota 759 763
372324;999958;45677581;3c service 19/01 nota 759 763
372325;999958;5545303;3c service 19/01 nota 759 763
372326;999958;3386781;3c service 19/01 nota 759 763
372327;999958;2608306;3c service 19/01 nota 759 763
372328;999958;3410154;3c service 19/01 nota 759 763
372329;999958;3709730;3c service 19/01 nota 759 763
372330;999958;1549768;3c service 19/01 nota 759 763
372331;999958;5568440-8;3c service 19/01 nota 759 763
372332;999958;43586708;3c service 19/01 nota 759 763
372333;999958;4777674-9;3c service 19/01 nota 759 763
372334;999958;17362385;3c service 19/01 nota 759 763
372335;999958;4919383-3;3c service 19/01 nota 759 763
372336;999958;1952709-8;3c service 19/01 nota 759 763
372337;999958;5830273;3c service 19/01 nota 759 763
372338;999958;6014781;3c service 19/01 nota 759 763
372339;999958;16587286;3c service 19/01 nota 759 763
372340;999958;4333474;3c service 19/01 nota 759 763
372341;999958;3698122;3c service 19/01 nota 759 763
372342;999958;3935079;3c service 19/01 nota 759 763
372343;999958;18173870;3c service 19/01 nota 759 763
372344;999958;2513416;3c service 19/01 nota 759 763
372345;999958;3650309;3c service 19/01 nota 759 763
372346;999958;5917784;3c service 19/01 nota 759 763
372347;999958;6300993;3c service 19/01 nota 759 763
372348;999958;4309561-5;3c service 19/01 nota 759 763
372349;999958;5640284;3c service 19/01 nota 759 763
372350;999958;4197203;3c service 19/01 nota 759 763
372351;999958;6265079;3c service 19/01 nota 759 763
372352;999958;5509230;3c service 19/01 nota 759 763
372353;999958;48173169;3c service 19/01 nota 759 763
372354;999958;1511276;3c service 19/01 nota 759 763
372355;999958;3869489;3c service 19/01 nota 759 763
372356;999958;44850123;3c service 19/01 nota 759 763
372357;999958;3918882;3c service 19/01 nota 759 763
372358;999958;2681084;3c service 19/01 nota 759 763
372359;999958;5662609;3c service 19/01 nota 759 763
372360;999958;4056837;3c service 19/01 nota 759 763
372361;999958;302179;3c service 19/01 nota 759 763
372362;999959;9976143;3c service 19/01 nota 759 763
372363;999959;10854310;3c service 19/01 nota 759 763
372364;999959;7171324-7;3c service 19/01 nota 759 763
372365;999959;10868319;3c service 19/01 nota 759 763
372366;999959;9019577;3c service 19/01 nota 759 763
372367;999959;7824756;3c service 19/01 nota 759 763
372368;999959;7254816-9;3c service 19/01 nota 759 763
372369;999959;6675705-3;3c service 19/01 nota 759 763
372370;999959;9682704;3c service 19/01 nota 759 763
372371;999959;9209965;3c service 19/01 nota 759 763
372372;999959;7033801-9;3c service 19/01 nota 759 763
372373;999959;9989253;3c service 19/01 nota 759 763
372374;999959;8230511-1;3c service 19/01 nota 759 763
372375;999959;6654088-7;3c service 19/01 nota 759 763
372376;999959;7123100-5;3c service 19/01 nota 759 763
372377;999959;10465012;3c service 19/01 nota 759 763
372378;999959;6678050-1;3c service 19/01 nota 759 763
372379;999959;7257828-9;3c service 19/01 nota 759 763
372380;999959;10338193;3c service 19/01 nota 759 763
372381;999959;9290117;3c service 19/01 nota 759 763
372382;999959;91169615;3c service 19/01 nota 759 763
372383;999959;7252065-5;3c service 19/01 nota 759 763
372384;999959;9377937;3c service 19/01 nota 759 763
372385;999959;80227104;3c service 19/01 nota 759 763
372386;999959;9865566;3c service 19/01 nota 759 763
372387;999959;7731149;3c service 19/01 nota 759 763
372388;999959;6887067;3c service 19/01 nota 759 763
372389;999959;7328612;3c service 19/01 nota 759 763
372390;999959;7845795;3c service 19/01 nota 759 763
372391;999959;9410643;3c service 19/01 nota 759 763
372392;999959;7744843;3c service 19/01 nota 759 763
372393;999959;10060526;3c service 19/01 nota 759 763
372394;999959;6110841;3c service 19/01 nota 759 763
372395;999959;7004962-9;3c service 19/01 nota 759 763
372396;999959;7753271;3c service 19/01 nota 759 763
372397;999959;7255256-5;3c service 19/01 nota 759 763
372398;999959;9986760;3c service 19/01 nota 759 763
372399;999959;10676365;3c service 19/01 nota 759 763
372400;999959;9240399;3c service 19/01 nota 759 763
372401;999959;7769221;3c service 19/01 nota 759 763
372402;999959;8651234;3c service 19/01 nota 759 763
372403;999959;7809969;3c service 19/01 nota 759 763
372404;999959;9754536;3c service 19/01 nota 759 763
372405;999959;9821313;3c service 19/01 nota 759 763
372406;999959;7712421;3c service 19/01 nota 759 763
372407;999959;9523906;3c service 19/01 nota 759 763
372408;999959;9851574;3c service 19/01 nota 759 763
372409;999959;10158033;3c service 19/01 nota 759 763
372410;999959;91994900;3c service 19/01 nota 759 763
372411;999959;6513458-8;3c service 19/01 nota 759 763
372412;999959;7074690;3c service 19/01 nota 759 763
372413;999959;8543495;3c service 19/01 nota 759 763
372414;999959;9367056;3c service 19/01 nota 759 763
372415;999959;10045601;3c service 19/01 nota 759 763
372416;999959;10252110;3c service 19/01 nota 759 763
372417;999959;9668116;3c service 19/01 nota 759 763
372418;999959;9479766;3c service 19/01 nota 759 763
372419;999959;7784896;3c service 19/01 nota 759 763
372420;999959;10652715;3c service 19/01 nota 759 763
372421;999959;6112562;3c service 19/01 nota 759 763
372422;999959;6658152;3c service 19/01 nota 759 763
372423;999959;11069488;3c service 19/01 nota 759 763
372424;999959;9835385;3c service 19/01 nota 759 763
372425;999959;6112345;3c service 19/01 nota 759 763
372426;999959;9806618;3c service 19/01 nota 759 763
372427;999959;7898626;3c service 19/01 nota 759 763
372428;999959;7801321;3c service 19/01 nota 759 763
372429;999959;93357001;3c service 19/01 nota 759 763
372430;999959;9921284;3c service 19/01 nota 759 763
372431;999959;9922132;3c service 19/01 nota 759 763
372432;999959;10040592;3c service 19/01 nota 759 763
372433;999958;6099521-1;3c service 19/01 nota 759 763
372434;999958;5859644;3c service 19/01 nota 759 763
372435;999958;2471892;3c service 19/01 nota 759 763
372436;999958;4630035;3c service 19/01 nota 759 763
372437;999958;6273602;3c service 19/01 nota 759 763
372438;999958;2541142;3c service 19/01 nota 759 763
372439;999958;5051371-1;3c service 19/01 nota 759 763
372440;999958;52252361;3c service 19/01 nota 759 763
372441;999958;27587045;3c service 19/01 nota 759 763
372442;999958;6009170-3;3c service 19/01 nota 759 763
372443;999958;5668204-2;3c service 19/01 nota 759 763
372444;999958;5379850;3c service 19/01 nota 759 763
372445;999958;49712491;3c service 19/01 nota 759 763
372446;999958;5332523-1;3c service 19/01 nota 759 763
372447;999958;43916694;3c service 19/01 nota 759 763
372448;999958;4255568;3c service 19/01 nota 759 763
372449;999958;5805947;3c service 19/01 nota 759 763
372450;999958;51994445;3c service 19/01 nota 759 763
372451;999958;5962240-7;3c service 19/01 nota 759 763
372452;999958;2979515;3c service 19/01 nota 759 763
372453;999958;6135785;3c service 19/01 nota 759 763
372454;999958;4004416;3c service 19/01 nota 759 763
372455;999958;1933323-4;3c service 19/01 nota 759 763
372456;999958;3847586;3c service 19/01 nota 759 763
372457;999958;2231113;3c service 19/01 nota 759 763
372458;999958;116407;3c service 19/01 nota 759 763
372459;999958;1922721-3;3c service 19/01 nota 759 763
372460;999958;1701145-1;3c service 19/01 nota 759 763
372461;999958;3105903;3c service 19/01 nota 759 763
372462;999958;3061393;3c service 19/01 nota 759 763
372463;999958;5494782;3c service 19/01 nota 759 763
372464;999958;3823327;3c service 19/01 nota 759 763
372465;999958;1703006-4;3c service 19/01 nota 759 763
372466;999958;3664848;3c service 19/01 nota 759 763
372467;999958;5858726;3c service 19/01 nota 759 763
372468;999958;4252149;3c service 19/01 nota 759 763
372469;999958;1922719-1;3c service 19/01 nota 759 763
372470;999958;5446136;3c service 19/01 nota 759 763
372471;999958;43502091;3c service 19/01 nota 759 763
372472;999958;4179415;3c service 19/01 nota 759 763
372473;999958;4771400-0;3c service 19/01 nota 759 763
372474;999958;5656725;3c service 19/01 nota 759 763
372475;999958;3598320;3c service 19/01 nota 759 763
372476;999958;3191839;3c service 19/01 nota 759 763
372477;999958;3940694;3c service 19/01 nota 759 763
372478;999958;4106048;3c service 19/01 nota 759 763
372479;999958;3040688;3c service 19/01 nota 759 763
372480;999958;5469419;3c service 19/01 nota 759 763
372481;999958;4764145-2;3c service 19/01 nota 759 763
372482;999958;18499716;3c service 19/01 nota 759 763
372483;999958;5444668;3c service 19/01 nota 759 763
372484;999958;6300808;3c service 19/01 nota 759 763
372485;999958;5502727;3c service 19/01 nota 759 763
372486;999958;4255976;3c service 19/01 nota 759 763
372487;999958;4832118-4;3c service 19/01 nota 759 763
372488;999958;6051580;3c service 19/01 nota 759 763
372489;999958;4598635-5;3c service 19/01 nota 759 763
372490;999958;4014170;3c service 19/01 nota 759 763
372491;999958;43382541;3c service 19/01 nota 759 763
372492;999958;4311013-4;3c service 19/01 nota 759 763
372493;999958;4601988-0;3c service 19/01 nota 759 763
372494;999958;4188623;3c service 19/01 nota 759 763
372495;999958;4587314;3c service 19/01 nota 759 763
372496;999958;4559984-0;3c service 19/01 nota 759 763
372497;999958;4256892;3c service 19/01 nota 759 763
372498;999958;1898391-0;3c service 19/01 nota 759 763
372499;999958;2934728;3c service 19/01 nota 759 763
372500;999958;29695856;3c service 19/01 nota 759 763
372501;999958;4207037;3c service 19/01 nota 759 763
372502;999958;16415132;3c service 19/01 nota 759 763
372503;999958;51704021;3c service 19/01 nota 759 763
372504;999958;1143490;3c service 19/01 nota 759 763
372505;999958;4562419-4;3c service 19/01 nota 759 763
372506;999958;1715610-6;3c service 19/01 nota 759 763
372507;999959;8443169;ELLCA N. IGUAÇU 19/01
372508;999958;1521295;3c service 19/01 nota 759 763
372509;999958;5028373-1;3c service 19/01 nota 759 763
372510;999958;3978016;3c service 19/01 nota 759 763
372511;999958;5617421;3c service 19/01 nota 759 763
372512;999958;2303016;3c service 19/01 nota 759 763
372513;999958;5627022;3c service 19/01 nota 759 763
372514;999958;5996415;3c service 19/01 nota 759 763
372515;999958;5218366-1;3c service 19/01 nota 759 763
372516;999958;2669150;3c service 19/01 nota 759 763
372517;999958;4141205;3c service 19/01 nota 759 763
372518;999958;52702511;3c service 19/01 nota 759 763
372519;999958;1549783;3c service 19/01 nota 759 763
372520;999958;2681018;3c service 19/01 nota 759 763
372521;999958;1936680-9;3c service 19/01 nota 759 763
372522;999959;8242845;ELLCA N. IGUAÇU 19/01
372523;999959;10737523;ELLCA N. IGUAÇU 19/01
372524;999959;9584136;ELLCA N. IGUAÇU 19/01
372525;999959;9700381;ELLCA N. IGUAÇU 19/01
372526;999959;8763211;ELLCA N. IGUAÇU 19/01
372527;999959;8044640;ELLCA N. IGUAÇU 19/01
372528;999959;8442136;ELLCA N. IGUAÇU 19/01
372529;999959;7670877;ELLCA N. IGUAÇU 19/01
372530;999959;7857948;ELLCA N. IGUAÇU 19/01
372531;999959;8965351;ELLCA N. IGUAÇU 19/01
372532;999959;9708489;ELLCA N. IGUAÇU 19/01
372533;999959;8740460;ELLCA N. IGUAÇU 19/01
372534;999959;8251345;ELLCA N. IGUAÇU 19/01
372535;999959;9570093;ELLCA N. IGUAÇU 19/01
372536;999959;8977099;ELLCA N. IGUAÇU 19/01
372537;999959;8611663;ELLCA N. IGUAÇU 19/01
372538;999959;10738605;ELLCA N. IGUAÇU 19/01
372539;999959;8845625;ELLCA N. IGUAÇU 19/01
372540;999959;10536265;ELLCA N. IGUAÇU 19/01
372541;999959;7963074;ELLCA N. IGUAÇU 19/01
372542;999959;10308829;ELLCA N. IGUAÇU 19/01
372543;999959;8681993;ELLCA N. IGUAÇU 19/01
372544;999959;8067710;ELLCA N. IGUAÇU 19/01
372545;999959;7673458;ELLCA N. IGUAÇU 19/01
372546;999959;8255749;ELLCA N. IGUAÇU 19/01
372547;999959;9658817;ELLCA N. IGUAÇU 19/01
372548;999959;9715205;ELLCA N. IGUAÇU 19/01
372549;999959;8701249;ELLCA N. IGUAÇU 19/01
372550;999959;8244453;ELLCA N. IGUAÇU 19/01
372551;999959;8692455;ELLCA N. IGUAÇU 19/01
372552;999959;8218138;ELLCA N. IGUAÇU 19/01
372553;999959;8690757;ELLCA N. IGUAÇU 19/01
372554;999959;8007735;ELLCA N. IGUAÇU 19/01
372555;999959;11205092;ELLCA N. IGUAÇU 19/01
372556;999959;8905657;ELLCA N. IGUAÇU 19/01
372557;999959;8947504;ELLCA N. IGUAÇU 19/01
372558;999959;8830814;ELLCA N. IGUAÇU 19/01
372559;999959;10540733;ELLCA N. IGUAÇU 19/01
372560;999959;7918250;ELLCA N. IGUAÇU 19/01
372561;999959;9700856;ELLCA N. IGUAÇU 19/01
372562;999959;9009410;ELLCA N. IGUAÇU 19/01
372563;999959;8185413;ELLCA N. IGUAÇU 19/01
372564;999959;10495257;ELLCA N. IGUAÇU 19/01
372565;999959;8185414;ELLCA N. IGUAÇU 19/01
372566;999959;8711069;ELLCA N. IGUAÇU 19/01
372567;999959;8630745;ELLCA N. IGUAÇU 19/01
372568;999959;9318264;ELLCA N. IGUAÇU 19/01
372569;999959;8925227;ELLCA N. IGUAÇU 19/01
372570;999959;7966296;ELLCA N. IGUAÇU 19/01
372571;999959;8667570;ELLCA N. IGUAÇU 19/01
372572;999959;10732797;ELLCA N. IGUAÇU 19/01
372573;999959;8367458;ELLCA N. IGUAÇU 19/01
