Material	Texto breve material	Unidade	SALDO Final
3576	ALICATE AMPERIMETRO DIGITAL 3200 MINIPA	UNID	9
3581	BOLSA LONA P/LUVAS IMPER Nº10 VERDE 140x380 MM	UNID	2
3582	"ALICATE CORTE C/CABO ISOLADO 1KV 6"""	UNID	5
3591	ALICATE DE BICO C/CABO ISOLADO 1KV TAMANHO 06	UNID	6
3595	CAPACETE SEGURANÇA ABA FRONTAL BRANCO MSA-EPI	UND  	19
3598	CINTO DE SEGURANÇA PARAQUEDISTA,T. ÚNICO-EPI	UNID	1
3599	"CONE DE SINALIZAÇÃO C/FURO P/FITA DE 75CM BR/LARANJA - ""PADRÃO ENEL"""	UNID	1
3600	CONJUNTO IMPERMEAVEL VENT CTRA	UND  	2
3604	LUVA DE COBERTURA P/LUVA DE BORRACHA-EPI	PAR	24
3606	LUVA DE SEGURANÇA VAQUETA COURO TAM.ÚNICO-EPI	PAR	1
3606	LUVA DE SEGURANÇA VAQUETA COURO TAM.ÚNICO-EPI	PAR	19
3607	"LUVA DE SEG. ISOLADA DE BORRACHA CLASSE 2;UTIL"	UNI	1
3616	"ALICATE UNIVERSAL C/CABO ISOLADO 1KV 8"""	UNID	8
3617	LUVA ULTRANE 548 PU PT 10	PAR	5
3620	OCULOS SEGURANÇA LENTES INCOLOR SPECTRA	UND  	1
3620	OCULOS SEGURANÇA LENTES INCOLOR SPECTRA	UND  	3
3623	PROTET/BLOQUEADOR SOLAR REF.FPS 30-EPI	UND  	3
3624	PROTETOR AURICULAR C/3 ESCAMAS-SILICONE-EPI	UNI	3
3627	TALABARTE REGULAVEL, REF. SPL032 AJ-DA SP	UNID	1
3633	BROCA DE VÍDEA 6MM	UNID	3
3641	"CHAVE FENDA C/ISOLAMENTO 1KV DE 5/16""X6  8X150MM"	UNID	8
3644	"CHAVE FENDA C/ISOLAMENTO 1kV DE 1/4""X6"""	UNID	1
5144	ETIQUETA P/ LAUDOS BRANCA 30X30 (C/ 1.000)	MIL	15
3655	"CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 1/4""X6"""	UNID	3
3663	LAMINA SERRA ACO RAPIDO 1/2 X12 18 DENTE	UND  	3
3668	TRAVA QUEDAS P/CORDA TAMANHO 12MM C/	UNID	1
3673	FITA DE ANCORAGEM REVESTIDA DE 1.20 M	UNID	3
3674	FITA DE ANCORAGEM REVESTIDA DE 2 METROS	UNID	1
3677	PONTA DE PROVA PARA MULTIMETRO, REF MTL-01	UNI	1
3766	BORRACHA DE APAGAR	UNID	47
3784	CANETA MARCA TEXTO AMARELO	UNID  	1
3788	CANETA PARA QUADRO BRANCO COR VERMELHO	UNID  	93
3804	CORRETIVO LIQUÍDO BASE' ÁGUA 18ML	UNID	5
3805	LAPISEIRA TÉCNICA 0,7MM	UNID	7
3818	LÁPIS PRETO Nº02	UNID	10
3819	RÉGUA PLÁSTICA TRANSPARENTE  30CM	UNID  	2
3841	TINTA PARA CARIMBO AZUL - 40ML	UNID  	2
3886	FITA DE ANCORAGEM REVESTIDA, DE 55CM	UNID	2
3905	CORDA DE LINHA VIVA 12MM ROLO C/ 25METROS	UNID	1
3973	FILME PARA EMBALAGEM, STRECH, BOBINA DE 500 MM	UNI	10
3984	APAGADOR ANATÔMICO P/ QUADRO BRANCO	UNID	2
3985	BLOCO DE RECADO AUTO ADESIVO 38MMX51MM C/4 UNIDADES	UNID  	5
3986	EXTRATOR DE GRAMPO MOD ESPATULA 	UNID	5
3987	TINTA PARA CARIMBO PRETA - 40ML	UNID	1
3990	TESOURA CABO PLÁSTICO 21CM	UNID  	1
3992	PILHA ALCALINA AAA 1.5V	UNID  	2
3994	SUPORTE PARA NOTEBOOK	UNI	1
3995	COLA BRANCA PLÁSTICA - 1 LITRO	UNI	1
3999	ELÁSTICO AM. SACO C/1KG	UNID	1
4007	GRAMPEADOR METAL PARA FOLHAS 26/6	UNID	2
4010	APOIO PARA TECLADO ERGONÔMICO PRETO	UNID	2
4013	CADERNO ESPIRAL C/FLEX  200 FL (GRANDE)	UNID	4
4019	PASTA REGISTRO OF LARGA ECONOMICA 	UNI	2
4020	FITA ADESIVA TRANSPARENTE PARA EMBALAGEM 45MMX45M	UNID	11
4021	GRAFITE 0.7MM 2B	UNID  	9
4022	PAPEL BRANCO A4-75G/M² -210X297MM C/500 FOLHAS	RM   	92
4131	BATERIA 9V	UND  	3
4134	BOLSA LONA P/ FERRAMENTAS E/OU EPI IMPER Nº 10V	UNID	5
4259	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 43-EPI	PAR	2
4261	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 41-EPI	UND  	3
4262	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 40-	UNID	2
4263	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 39-EPI	PAR	3
4264	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 38-EPI	UNID	2
4265	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 37-EPI	PAR	1
4266	BOTA SEGURANÇA P/ ELETRICISTA TAMANHO - 36	PAR	3
4271	"CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 1/8""X6"""	UND  	9
4281	ENVELOPE PAPEL COR BRANCO 240X340MM	UNID	3072
4292	CLIPS Nº 2/0  CAIXA C/500 UNIDADES	UNID	3
4310	CAFÉ EM PÓ 250GM	UNID	124
4315	CARNEIRA AJUSTÁVEL COM JUGULAR P/ CAPACETE-EPI	UNID	2
4370	"SERRA COPO 25MM H0100 1"""	UNID	2
4448	BROCA DE VIDEA 8MM	UNID	4
4451	MASCARA DE PROTEÇÃO P/POEIRA - EPI	UNID	36
4453	OCULOS DE SOBREPOR INCOLOR ET-30-EPI	UND  	3
4474	MOUSE OPTICO USB	UNID	2
4480	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO G	UND  	27
4481	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO G	UND  	5
4482	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO GG	UND  	1
4483	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO GG	UND  	14
4484	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO M	UND  	3
4485	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO M	UND  	22
4486	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO P	UND  	11
4487	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO P	UND  	8
4639	CINTO ERGONOMICO C/FAIXA ELÁSTICA STRONG COR.PRETO -TAMANHO P	UND  	1
4641	CINTO ERGONOMICO C/FAIXA ELÁSTICA STRONG TAM M	UNID	1
4642	CINTO ERGONOMICO C/FAIXA ELÁSTICA STRONG TAM G	UND  	6
4643	CINTO ERGONOMICO C/ FAIXA ELÁSTICA STRONG TAM GG	UNI	4
4652	ESTABILIZADOR SMS 300VA MONO	UND  	3
4761	PILHA PEQUENA ALCALINA MODELO AA 1.5V	PAR	6
4990	CANETA P/ RETROPROJ. / CD 0,5/2MM AZUL	UNID	1
4991	CANETA P/ RETROPROJ. /CD 0,5/2MM VERMELHO	UNID	7
4994	LIVRO DE PROTOCOLO 1/4 100FL	UNID	2
5122	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO XGG	UND  	3
5140	ETIQUETA P/ LAUDOS AMARELA 30X30 (C/ 1.000)	MIL	7
5204	DETECTOR DE TENSÃO POR APROXIMAÇÃO - TIPO CANETA	UND  	2
5230	MOLHA DEDOS 12GR MAGIC RADEX	UNID	6
5318	MANGA DE BORRACHA CLASSE  2	PAR 	1
5338	LUVA DE PELICA	PAR	20
5496	GARRAFÃO TERMICO P/ AGUA CAPACIDADE 5L	UNID	4
5501	PRANCHETA (DURATEX)	UNID	1
5501	PRANCHETA (DURATEX)	UNID	3
5517	LANTERNA TAMANHO MÉDIO	UNID	8
5527	CORDA - IÇAMENTO - 20 METROS EXPESSURA 	METROS	4
5531	CALCULADORA 	UNID	2
3651	"CHAVE PHILLIPS C/HASTE ISOLAMENTO 1KV 3/16 ""X6"""	UNID	6
3645	"CHAVE FENDA C/ISOLAMENTO 1kV DE 3/16""X4"""	UNID	2
5570	BOLSA PARA MANGA ISOLANTE 	UNID	1
5592	FAIXA REFLETIVA P/ CONE	UNI	3
5646	MANTA BORRACHA BT MODELO CL TAMANHO 800X330	UNID	1
5785	CARTÃO DE MEMORIA 16G	UNID	1
5829	CORRENTE PLASTICA PARA ISOLAMENTO  	METROS	18
5857	CABO DE FORÇA	UND  	1
5935	BANDEIROLA DE SINALIZAÇÃO PADRÃO AMPLA	UNID	6
5955	"CAMISA ANTI-CHAMAS PADRÃO ""3C"" TAMANHO M"	UNID  	1
5955	"CAMISA ANTI-CHAMAS PADRÃO ""3C"" TAMANHO M"	UNID  	1
5955	"CAMISA ANTI-CHAMAS PADRÃO ""3C"" TAMANHO M"	UNID  	2
5956	"CALÇA ANTI-CHAMAS PADRÃO ""3C"" TAMANHO M"	UND  	1
5982	AÇUCAR 1KG	UNID	72
6408	FITA GOMADA 45X50	UNID	12
6413	ODORIZADOR DE AR 360 ML	UNID  	1
6420	CAMISA ANTI-CHAMAS PADRÃO ENEL TAMANHO XG	UND  	2
6616	CHAVE FACA CURVA ISOLADA 1000V	UNID	5
6791	PAPEL HIGIÊNICO ROLÃO C/ 8 UNIDADES	UNI	15
6796	TECLADO P/ USB COR PRETO	UNID	2
7055	APOIO ERGONOMICO P/ OS PÉS C/ REGULAGEM PRETO	UNID	1
7056	MOUSE PAD C/ APOIO DE PULSO EM GEL PRETO 	UNID	4
7056	MOUSE PAD C/ APOIO DE PULSO EM GEL PRETO 	UNID	5
7079	COLA BASTÃO 20G	UNID	2
7131	BALACLAVA 	UNID	1
7147	OCULOS SOBREPOR CINZA SPEC2001 OTC/UVEX EPI	UNID	5
7268	COPO PLÁST. DESCARTÁVEL 150ML C/100 UNDS	UNID	23
7269	PAPEL TOALHA 22X21 C/ 2400 FLS	UNID	31
7273	PINCEL ATOMICO VERMELHO 1100P	UNID	15
7274	CANETA ESFEROGRAFICA COMPACTOR 07 VERMELHA	UNID	22
7275	CANETA ESFEROGRAFICA COMPACTOR 07 PRETA	UNID	37
7279	LENTE P/ PROTETOR FACIAL ACRÍLICO	UNID	10
7321	ETIQUETA INKJET+LASER COD 6180 C/100FLS 30	CX	3
7323	ETIQUETA INKJET+LASER COD 6184 C/100FLS 6	CX	5
7324	CANETA MARCA TEXTO LARANJA	UNID	4
7371	BLOCO DE CHECK-LIST TAM. 21 X 15CM	BLOCO	25000
7380	CAIXA PAPELÃO ONDULADA  435 X 345 X 300MM (C X L X A) C/ DIV+TAB	UNID	840
7382	ETIQUETA INKJET+LASER COD 6183 C/100FLS 10	CX	3
7396	DESCENSOR AUTO BLOCANTE P/ CORDA 	UNID	1
7419	ETIQUETA P/ LAUDOS VERMELHA 30X30 (C/ 1.000)	CX	11
7420	ETIQUETA P/ LAUDOS VERDE 30X30 (C/ 1.000)	CX	6
7429	TESOURA CABO PLÁSTICO PEQUENA	UNID	3
7535	LAMPADA TUBO LED T8 18W 1,20 CM	UNID	33
7556	PAPEL COUCHÊ	RESMA	3
7557	ENVELOPE PAPEL COR OURO 240X340MM	UNID	60
7620	ALMOFADA P/ CARIMBO AZUL (COMUM N° 3)	UND  	6
7664	ETIQUETAS P/ LAUDO ROSA 30X30 (C/1000)	UNID	1
7675	OCULOS DE SEGURANÇA DE LENTES AMARELAS	UNID	2
7677	CAPACETE DE SEGURANÇA ABA TOTAL CLASSE B	UNID	3
7693	KIT COTOVELEIRA/JOELHEIRA REFORÇADA	PAR	2
7695	BOTA 7 LEGUAS CANO MÉDIO TAM - 39	PAR	2
7696	BOTA 7 LEGUAS CANO MEDIO TAM - 40	PAR	2
7697	BOTA 7 LEGUAS CANO MEDIO TAM - 41	PAR	1
7702	BOLSA PARA CONDUZIR MATERIAL 	UNID	1
7812	ADAPTADOR WIRELESS USB	UND  	1
7902	PARAFUSADEIRA BATERIA DF001DW 3,6V BIV	UND  	1
7966	FITA REFLETIVA PARA CAPACETE	UND  	14
7967	LONA PLÁSTICA COM DIMENSÕES DE 3M (AZUL)	UND  	1
7975	BALACLAVA FORA DO PADRÃO	UND  	10
7991	MOSQUETÕES TIPO PERA (TRIPLA TRAVA)	UND  	2
8007	CAMISA POLO FEMININA ADM TAM.G	UNI	6
8053	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO PP	UND  	3
8080	TORNO MORSA DE BANCADA 6 POLEGADAS AÇO	UNI	1
8203	FITA REFLETIVA PARA BAÚ	UNI	11
8290	CANETA MARCA TEXTO AZUL	UNID	7
8291	CLIPS No 8/0 EMBALAGEM C/500G	UNI	16
8292	CLIPS No 6/0 EMBALAGEM C/500G	UNI	7
8293	PASTA SANFONADA A4	UNI	5
8351	COLETE REFLECTIVO DE SINALIZAÇÃO	UND  	8
8358	REFLETOR DE LED 100W	UND  	14
8371	CALÇA ANTI-CHAMAS PADRÃO NOVO ENEL TAM P FEMININO 	UNI	3
8373	CALÇA ANTI-CHAMAS PADRÃO NOVO ENEL TAM M FEMININO 	UNI	2
8378	CAMISA ANTI-CHAMAS PADRÃO NOVO ENEL TAM P FEMININO 	UNI	2
8554	LUVA TRIC ANTI-CORTE ALTIFLEX TAM M-8 CA 30138	UNI	10
8588	AlCOOL GEL 70 SANITIZANTE PARA MAOS REFIL 5L	UNI	1
8625	PANO MULTIUSO ROLO 300M BRANCO	UNI	4
8626	BORRIFADOR PLÁSTICO 500ML	UNI	3
8627	LUVA PARA LIMPEZA AMARELA M	UNI	10
8650	HIPOCLORITO 2% 5LT	UNI	6
8656	FITA ISOLANTE 19x20M 3M 	UNI	4
8662	MASCARA REUTILIZAVEL DE TECIDO	UNI	49
8666	LUVA DE LÁTEX PARA PROCED. NÃO ESTÉRIL-COM PÓ - TAM. M CX C/100 UNIDADES	UNI	20
8667	LUVA DE LÁTEX PARA PROCED. NÃO ESTÉRIL-COM PÓ - TAM. G CX C/100 UNIDADES	UNI	4
8703	ETIQUETA INKJET COD A4349 A4 COM 100FLS	UNI	6
8730	CAMISA ANTI-CHAMAS PADRÃO NOVO ENEL TAM PP FEMININO 	UNI	1
8731	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO PP FEMININO	UNI	2
8733	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO XG	UNI	11
8819	KIT ELÁSTICO E VELCRO PARA COTOVELEIRA/JOELHEIRA 	UNI	12
8835	ESTABILIZADOR SMS BIVOLT 300VA	UNI	2
8875	ABAFADOR MSA CONCHA XLS PARA CAPACETE CA27971	UNI	4
9192	ALICATE CORTA SELO	UNI	2
9237	BOTA MOTOCICLISTA C/BIQ TAM 39	UND  	4
9238	BOTA MOTOCICLISTA C/BIQ TAM 40	UND  	2
9316	BOTA DE SEGURANÇA P/ELETRICISTA TAMANHO - 34	UNI	1
9395	"CAMISA ANTI-CHAMAS PADRÃO ""3C"" TAMANHO GG"	UNI	2
9647	MASCARA DESCARTAVEL TIPO CONCHA	UNI	18
9676	BOTA MOTOCICLISTA C/BIQ TAM 42	UNI	2
9839	"""CALÇA ANTI-CHAMAS PADRÃO ""3C"" TAM. XXG"	UNI	2
10027	MOSQUETÃO TRIPLA TRAVA AUTOMÁTICA 	UNI	5
10042	CAMISA MANGA LONGA SUPERVISÃO NR PADRÃO ENEL TAM P	UNI	3
10045	CAMISA MANGA LONGA SUPERVISÃO NR PADRÃO ENEL TAM GG	UNI	3
10052	CALÇA NR PADRÃO ENEL FX REFLETIVA TAM 38	UNI	3
10108	SSD 240GB	UNI	1
