DATA	galpao	ENDEREÇO	MATERIAL	DESCRIÇÃO DO MATERIAL	QUANT. RECEBIDA	ODC	FORNECEDOR	NOTA FISCAL	 PREÇO UNIT. 	PREÇO TOTAL	TIPO DE COMPRA   NACIONAL/IMPORT.	ANO	MÊS / CONTABILIDADE	Validade	CA	Validade do CA	Laudo	Validade do laudo	TIPO DE MATERIAL
05/10/2020	3	A-03	3633	BROCA DE VÍDEA 6MM	1	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	06-01-1A	3596	CAPACETE SEGURANÇAII ABA FRONTAL 38MM LOGO ENEL	2	-	AJUSTE DE INVENTÁRIO	-	 R$ 39,68 	 R$ 79,36 	NACIONAL	2020		01/08/2024	8304	19/10/2022	8680	21/03/2021	
05/10/2020	1	06-02-1A	4263	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 39-EPI	1	-	AJUSTE DE INVENTÁRIO	-	 R$ 69,00 	 R$ 69,00 	NACIONAL	2020		01/08/2023	32624	14/11/2022			
05/10/2020	1	06-05-1B	4259	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 43-EPI	1	-	AJUSTE DE INVENTÁRIO	-	 R$ 69,00 	 R$ 69,00 	NACIONAL	2020		01/02/2023	32624	14/11/2022			
05/10/2020	1	07-05-2A	3797	CAIXA MEDIDOR MONOFASICO EM POLICARBONATO, PM-1946 R4 E	2	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	09-05-1A	3753	ETIQUETA ADESIVA IDENTIFICADORA N°7, PM-1862I8R3  - 6X9cm	214	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	09-05-1A	3756	ETIQUETA ADESIVA IDENTIFICADORA N°9,PM-1862I10R3 - 6X9cm	248	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	10-02-1A	6294	TUBO TERMORETRÁTIL DE 1/2'' COR PRETA COM ADESIVO INTERNO 12,0X3,0MM	5	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	10-03-1B	6300	TUBO TERMORETRÁTIL DE 1/8'' TRANSPARENTE SEM ADESIVO 3,2X1,6MM	1	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	11-02-2A	4521	"PRENSA-CABO - BSP 3/4"" LP+P/UV-LT-PA-40DAN"	1072	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	11-02-2B	4520	"PRENSA-CABO COMPLETO-BSP 1/2"" LP+P/UV-LT-PA-40DAN"	100	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	BLA-1-1	5980	SACO DE LIXO 100L	3	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	BLA-1-1	6415	SACO DE LIXO 200L MÉDIO PR. C/100UN	1	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	BLA-1-1	6980	PAPEL TOALHA 20CM ROLÃO	50	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	BLA-1-1	7077	VASSOURA PIAÇAVA C/ CHAPA	2	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	BLA-1-1	7434	ALCOOL ETÍLICO EM GEL DE 54% 500G	8	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	3	Q-04	7434	ALCOOL ETÍLICO EM GEL DE 54% 500G	6	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	BLA-1-1	7443	PÁ DE LIXO DE PLÁSTICO CABO LONGO	3	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	BLA-1-1	8245	DISJUNTOR TRIPOLAR 32A	1	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	BLA-1-1	8606	PAPEL TOALHA INTERFOLHA BRANCO	10	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
05/10/2020	1	BLA-1-1	8662	MASCARA REUTILIZAVEL DE TECIDO	195	-	AJUSTE DE INVENTÁRIO	-	0	0	NACIONAL	2020							
