Material,Texto breve material,Unid.medida básica,Val.utiliz.livre
10000016,CALCO CHAVE FACA ACO-CAR 138MM,PEÇ,309.80
10000017,LAMINA DESLIG 15KV 300A 285MM,PEÇ,15670.18
10000023,LAMPADA VAPOR DE SODIO TUBULAR 100 W,PEÇ,12889.47
10000102,BORNE UNIPOLAR PASSAGEM 750V 63A 10.0MM2,PEÇ,361.06
10000107,CAPACITOR POTENCIA 7.96KV 200KVAR 15KV,PEÇ,4109.71
10000163,TRAFO DIST 3F 30KVA M 15KV 220/127V,PEÇ,0.00
10000168,TRAFO DIST 3F 15KVA M 15KV 220/127V,PEÇ,3189.41
10000195,CABO PROTEGIDO AL 15KV XLPE CZ 185MM2,M,700679.63
10000196,CABO AL NU CAA 636 MCM - GROASBEAK,M,5234.59
10000204,CABO PROTEGIDO AL 15KV XLPE CZ 70MM2,M,201148.17
10000209,CABO MULT AL XLPE 8.7/15kV 3X1X 240+120,M,271620.27
10000230,CABO ISOL CU 8.7/15kV 3X1X35MM2 XLPE,M,38282.77
10000240,CABO POT CU CL5 3X35MM 0.6/1KV PT,M,21640.17
10000250,CABO ISOL CU 0.6/1KV  PVC 3X70MM2 PRBRVM,M,106582.68
10000258,CABO POT CU CL2 3X120MM 0.6/1KV PT,M,41045.94
10000261,CABO ISOL CU PVC BWF 6MM² 750V PR,M,428.38
10000276,CABO POT CU CL4 2X2.5MM 0.45/0.75KV PT,M,1718.45
10000280,CABO COBERTO CU WPP 35MM²PVC 0.8MM 2A,M,54897.99
10000281,CABO COBERTO CU WPP 50MM²PVC PR 0.8MM 2A,M,27784.88
10000283,CABO COBERTO CU WPP 120MM2 PVC 0.8MM 2A,M,12666.81
10000291,CABO ISOL 0.6/1 kV COBR 1x240MM² EPR,M,153155.27
10000317,CABO CONTR CU CL4 PVCA BLI 2X 1.5MM2 750,M,6643.67
10000318,CABO CONTR CU CL4 PVCA BLI 4X6.0MM2 750V,M,130100.80
10000321,CABO CONTR CU CL4 PVCA BLI 2X6.0MM2 750V,M,47647.82
10000322,CABO CONTR CU CL4 PVCA BLI 2X4.0MM2 750V,M,108619.96
10000323,CABO CONTR CU CL4 PVCA BLI 4X4.0MM2 750V,M,89068.76
10000324,CABO CONTR CU CL4 PVCA BLI 5X1.5MM² 750V,M,30204.39
10000325,CABO CONTR CU CL4 PVCA BLI 7X1.5MM2 750V,M,77995.44
