DATA	Preço
3562	0,00
3563	63,58
3564	31,00
3565	4,48
3566	0,00
3567	32,35
3568	32,50
3571	26,50
3574	0,00
3575	0,00
3576	135,00
3577	25,00
3578	85,00
3580	4,60
3581	24,00
3582	30,00
3583	69,00
3587	0,00
3588	31,80
3591	30,00
3592	32,00
3594	14,00
3595	43,50
3596	39,68
3597	24,65
3598	260,00
3599	52,13
3600	180,00
3601	0,00
3602	43,76
3603	0,00
3604	18,90
3605	5,18
3606	12,37
3607	480,00
3610	245,21
3611	225,83
3612	0,00
3613	15,60
3615	227,26
3616	35,00
3617	34,00
3618	0,00
3620	3,40
3621	128,00
3622	0,00
3623	12,00
3624	1,03
3625	32,00
3627	157,00
3628	179,05
3629	0,00
3630	28,30
3631	4,79
3632	7,39
3633	4,22
3634	9,70
3635	8,75
3636	13,07
3637	0,00
3638	9,99
3639	4,99
3640	8,78
3641	11,50
3642	14,00
3643	8,17
3644	16,50
3645	8,89
3646	5,00
3647	20,55
3649	4,55
3650	7,80
3651	9,92
3652	51,00
3653	86,00
3654	57,80
3655	14,80
3656	15,26
3657	4,55
3658	4,77
3659	33,00
3660	17,00
3661	270,00
3662	327,90
3663	7,92
3667	0,00
3668	180,00
3669	30,00
3670	19,04
3672	29,20
3673	45,00
3674	139,00
3675	0,00
3676	16,90
3677	24,15
3678	6,62
3679	6,20
3680	33,00
3681	23,04
3682	21,15
3683	38,70
3685	24,76
3686	24,76
3687	0,00
3688	27,90
3690	0,00
3691	30,50
3693	1,70
3695	38,38
3696	12,96
3715	83,98
3720	0,46
3721	16,97
3722	0,00
3723	1,18
3724	6,49
3726	0,55
3734	0,03
3737	0,00
3738	0,00
3740	0,15
3744	11,71
3745	1,98
3746	1,98
3747	1,98
3748	1,98
3749	1,98
3750	0,00
3751	1,98
3752	1,98
3753	1,98
3754	1,98
3756	0,35
3757	0,00
3758	0,00
3759	46,79
3760	34,00
3761	7,30
3762	0,00
3763	8,04
3764	7,50
3765	7,50
3766	0,50
3767	7,50
3768	0,85
3772	50,00
3773	32,09
3774	2,68
3775	3,78
3776	0,91
3778	3,99
3779	0,79
3780	33,86
3781	0,00
3784	1,55
3785	4,30
3787	1,90
3788	2,95
3789	3,10
3791	0,92
3792	32,45
3793	0,79
3794	0,60
3795	0,85
3796	0,60
3797	28,33
3798	0,70
3800	0,43
3801	200,22
3804	6,75
3805	3,35
3806	1,79
3808	2,00
3810	1,43
3811	165,00
3812	1,40
3813	0,14
3814	0,80
3815	0,66
3816	3,29
3817	1145,10
3818	0,35
3819	1,55
3828	4,50
3830	1,41
3831	0,42
3837	3,29
3838	6,33
3841	2,47
3843	51,00
3844	3,11
3845	11,80
3846	12,58
3847	23,45
3850	1,73
3856	147,81
3857	110,66
3860	59,30
3862	0,50
3863	0,15
3865	0,06
3867	0,12
3869	5,75
3870	173,03
3871	0,02
3874	0,25
3875	0,22
3881	0,18
3886	110,00
3887	0,10
3888	0,00
3891	4,95
3892	1,65
3893	1,57
3894	0,00
3895	4,00
3896	0,00
3897	0,03
3898	0,05
3899	0,10
3900	1,43
3903	27,03
3905	202,86
3907	9,50
3909	2,15
3910	2,62
3911	2,26
3916	0,25
3917	0,00
3918	0,00
3920	0,35
3921	0,00
3922	0,00
3923	25,00
3924	3,37
3925	3,66
3926	1,46
3927	8,44
3928	2,55
3929	5,76
3930	5,50
3931	5,66
3932	0,00
3933	0,00
3934	25,83
3935	0,42
3936	0,50
3937	3,65
3938	40,40
3939	3,00
3940	2,30
3941	2,75
3942	2,89
3944	5,50
3945	7,78
3948	50,00
3949	419,00
3954	32,13
3955	1,00
3956	1,50
3957	0,80
3958	5,50
3959	0,00
3960	0,00
3961	5,23
3962	0,00
3963	2,77
3964	11,45
3965	7,58
3967	0,00
3968	0,00
3970	69,00
3971	7,60
3972	59,00
3973	33,00
3974	260,00
3984	7,60
3985	3,25
3986	0,80
3987	2,48
3988	1,52
3989	1,70
3990	4,25
3991	10,64
3992	3,10
3993	1,33
3994	47,90
3995	16,81
3996	23,50
3997	117,49
3998	0,00
3999	23,99
4000	0,00
4001	3,55
4002	3,55
4003	69,00
4004	31,48
4005	0,00
4006	0,13
4007	11,00
4008	80,00
4009	5,35
4010	54,91
4012	3,05
4013	4,20
4014	0,55
4015	38,00
4016	58,00
4017	4,42
4018	1,80
4019	6,90
4020	2,00
4021	0,75
4022	16,50
4023	38,00
4026	2,86
4048	460,00
4110	0,00
4131	4,82
4134	51,00
4139	0,65
4153	0,00
4169	7,25
4175	40,00
4176	40,00
4177	40,00
4178	40,00
4179	36,00
4180	36,00
4181	40,00
4182	36,00
4193	270,71
4195	912,96
4196	2705,37
4200	158,00
4203	340,00
4206	38,00
4216	0,19
4217	0,12
4218	1,17
4220	4,85
4221	0,00
4229	0,14
4230	89,61
4231	0,07
4233	0,03
4236	0,00
4241	0,00
4242	31,27
4251	31,50
4256	5,99
4257	36,20
4258	87,00
4259	65,60
4260	87,00
4261	65,60
4262	65,60
4263	65,60
4264	69,00
4265	65,60
4266	65,60
4267	65,60
4270	10,20
4271	10,27
4277	38,70
4281	23,35
4288	4,20
4291	58,00
4292	8,48
4304	0,00
4309	240,00
4310	4,70
4311	1497,98
4315	35,00
4316	0,00
4317	17,91
4320	0,00
4321	0,00
4322	0,00
4331	0,00
4333	2,49
4359	0,00
4360	0,00
4361	26,31
4362	32,50
4363	26,60
4364	21,90
4366	35,97
4367	36,40
4368	31,95
4369	38,00
4370	23,63
4372	0,23
4376	0,12
4377	0,48
4380	0,00
4382	232,19
4390	24,76
4391	24,76
4392	38,70
4393	31,75
4394	26,90
4395	29,07
4396	29,07
4397	29,07
4398	30,50
4399	30,50
4400	0,00
4402	30,50
4403	30,50
4413	58,00
4414	27,00
4415	27,00
4416	27,00
4418	30,50
4419	38,38
4420	24,50
4421	41,30
4422	22,50
4429	24,76
4430	24,76
4431	30,50
4432	30,50
4433	30,50
4434	21,90
4435	21,90
4436	21,90
4446	158,58
4448	5,90
4450	17,00
4451	2,50
4453	8,09
4454	7,83
4455	72,00
4456	31,39
4459	6,87
4464	0,00
4465	0,00
4466	1750,00
4471	0,30
4474	9,75
4477	2,95
4480	145,00
4481	130,00
4482	145,00
4483	130,00
4484	145,00
4485	130,00
4486	145,00
4487	130,00
4493	45,71
4494	101,04
4495	413,00
4503	18,41
4504	22,98
4505	338,00
4513	6,49
4519	0,47
4520	0,85
4521	1,43
4529	16,50
4539	0,31
4544	0,00
4546	92,53
4551	66,40
4557	2,01
4558	73,02
4560	135,25
4563	0,00
4574	9,77
4585	59,90
4586	0,71
4588	7,20
4591	0,00
4613	28,71
4615	2,05
4616	2,13
4617	2,01
4618	0,16
4619	38,00
4624	36,00
4634	0,00
4639	23,21
4640	2,91
4641	23,90
4642	26,55
4643	45,00
4652	98,00
4660	37,32
4662	49,93
4663	15,58
4673	630,00
4691	0,00
4725	242,95
4728	26,00
4729	71,70
4730	13,52
4733	0,00
4740	0,00
4757	2,07
4759	1,43
4760	0,80
4761	3,29
4762	28,75
4764	6,81
4765	108,46
4766	0,00
4767	4,45
4768	45,00
4769	65,20
4770	63,88
4771	45,00
4772	45,00
4773	45,00
4774	46,48
4775	99,90
4776	0,00
4777	0,00
4778	56,06
4779	70,58
4780	44,20
4781	44,41
4782	70,58
4783	46,48
4784	3,11
4785	14,02
4786	11,64
4787	0,00
4788	0,00
4789	0,00
4790	3,11
4791	6,29
4792	6,55
4793	15,23
4794	16,47
4795	7,00
4796	6,49
4797	7,21
4799	10,89
4800	10,89
4801	7,21
4802	25,00
4803	22,28
4804	10,00
4805	1,10
4806	1,00
4807	0,48
4808	15,40
4809	15,40
4817	4,04
4818	7,25
4819	0,65
4820	165,00
4821	0,00
4822	75,90
4823	6,56
4824	62,00
4828	0,51
4829	2,60
4830	15,90
4831	0,70
4832	0,68
4833	0,00
4834	0,00
4836	11,38
4837	0,00
4838	60,00
4839	7,95
4841	7,50
4842	7,24
4843	6,14
