Material	Descrição do item	Código NCM	Preço R$
6637	ADESIVO "EMERGÊNCIA" FORMATO 62 X 11CM	4911.10.10	R$ 22,82
7885	ADESIVO "EMERGÊNCIA" FORMATO 80X20 CM	4911.99.00	R$ 11,60
7830	ADESIVO "LOGO 3C NOVA" P/ VEÍCULO C/ FORMATO 31,5X17CM	3506.91.90	R$ 3,90
6984	ADESIVO "LOGO 3C" P/ VEÍCULO C/ FORMATO 31,5X17CM	4911.99.00	R$ 145,00
7018	ADESIVO "MANUTENÇÃO 24H" FORMATO 80 X 10CM	4911.10.10	R$ 0,00
6665	ADESIVO "PREVENÇÃO DE RISCOS DE ACIDENTES" 41X41	4911.10.10	R$ 0,00
7073	ADESIVO "PREVENÇÃO DE RISCOS DE ACIDENTES" REDONDO 18X18CM	4911.10.10	R$ 0,00
3576	ALICATE AMPERIMETRO DIGITAL 3200 MINIPA -"MEDE CAPACITANCIA"	8530.10.90	R$ 195,00
3587	ALICATE CORTE DIAGONAL C/CABO ISOLADO 1KV 8"	8203.20.10	R$ 30,00
3616	ALICATE UNIVERSAL C/CABO ISOLADO 1KV 8"	8203.20.10	R$ 42,90
4233	ARRUELA DE PRESSÃO 1/4" teste	7318.21.00	R$ 0,03
3740	ARRUELA LISA 1/4" DE BORRACHA PARA VEDAÇÃO	7318.22.00	R$ 0,15
3580	BANDEIROLA SINALIZ.LARANJA "CAM"-EPC	3926.20.00	R$ 8,00
7074	BANNER "POLÍTICA DO SIST. DE GESTÃO" 80 X 1,40	4911.99.00	R$ 0,00
5912	BOX ELETRODUTO FIXELE 1"	3917.40.90	R$ 4,55
3924	BOX TIPO RETO DE 1"	8205.59.00	R$ 3,37
3925	BROCA AÇO RAPIDO 3/32"	8205.59.00	R$ 3,66
4818	BROCA DE VÍDEA 3/8"	8207.50.11	R$ 7,25
3932	BROCA DE VIDIA P/ CONCRETO 1/2"(12MM)	8205.59.00	R$ 0,00
4821	CAIXA MEDIDOR POLIFASICO +TRAVA TAMPA - PM2157 "CAIXA FOLLOW-UP"	8537.10.30	R$ 0,00
4242	CAIXA MEDIDOR POLIFASICO 407X273mm "LOGO AMPLA"	8538.10.00	R$ 31,27
