PEDIDO	ITENS	GALPAO	RUA 	COLUNA	ALTURA
18722	6408	11	2	1	4
18623	3604	12	1	1	1
18679	6408	11	2	1	4
18624	3604	12	1	1	1
18543	4020	11	3	1	4
18521	7276	11	2	1	2
18520	4020	11	3	1	4
18460	7276	11	2	1	2
18444	4020	11	3	1	4
18264	4020	11	3	1	4
18286	4020	11	3	1	4
18286	7276	11	2	1	2
18261	6408	11	2	1	4
18261	7276	11	2	1	2
18223	6408	11	2	1	4
18238	4020	11	3	1	4
18289	7276	11	2	1	2
18283	4020	11	3	1	4
18070	4020	11	3	1	4
18070	7276	11	2	1	2
18035	7276	11	2	1	2
19730	7276	11	2	1	2
18015	4020	11	3	1	4
17973	7276	11	2	1	2
17832	6408	11	2	1	4
17832	4020	11	3	1	4
17808	6408	11	2	1	4
17808	4020	11	3	1	4
17796	7276	11	2	1	2
17832	6408	11	2	1	4
17832	4020	11	3	1	4
17834	6408	11	2	1	4
17834	4020	11	3	1	4
17835	6408	11	2	1	4
17835	4020	11	3	1	4
