MATERIAL	DESCRIÇÃO	UNID	TIPO DE MATERIAL	TEM CA?
3562	PLACA ELETRÔNICA (P/FABRICAÇÃO DO DISPLAY CAM 127V)	UND  	FABRICAÇÃO	-
3563	KIT ABAFADOR DE RUÍDOS	UND  	EPI/EPC/FERRAMENTAL	NÃO
3564	PROTETOR FACIAL INCOLOR	UND  	EPI/EPC/FERRAMENTAL	SIM
3565	OCULOS SEGURANÇA ENEL UV/IV LENTE CINZA-EMS35 CLAGOS	UND  	EPI/EPC/FERRAMENTAL	SIM
3566	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM46	PC   	EPI/EPC/FERRAMENTAL	NÃO
3567	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM48	PC   	EPI/EPC/FERRAMENTAL	NÃO
3568	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM50	PC   	EPI/EPC/FERRAMENTAL	NÃO
3571	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM52	PC   	EPI/EPC/FERRAMENTAL	NÃO
3574	TP TRAFO POTENCIAL BPS 10I	PÇ	OUTROS	-
3575	TP TRAFO POTENCIAL BPS 11I	PÇ	OUTROS	-
3576	"ALICATE AMPERIMETRO DIGITAL 3200 MINIPA -""MEDE CAPACITANCIA"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3577	BALDE LONA IMPERME Nº 10 VERDE FDS COURO	UND  	EPI/EPC/FERRAMENTAL	NÃO
3578	ALICATE BOMBA D'AGUA 12' COM ISOLAMENTO	UND  	EPI/EPC/FERRAMENTAL	NÃO
3580	"BANDEIROLA SINALIZ.LARANJA ""CAM""-EPC"	UND  	EPI/EPC/FERRAMENTAL	NÃO
3581	BOLSA LONA P/LUVAS IMPER Nº10 VERDE 140x380 MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3582	"ALICATE CORTE C/CABO ISOLADO 1KV 6"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3583	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 45-EPI	UND  	EPI/EPC/FERRAMENTAL	SIM
3585	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 39-EPI	UND  	EPI/EPC/FERRAMENTAL	NÃO
3587	"ALICATE CORTE DIAGONAL C/CABO ISOLADO 1KV 8"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3588	CALÇA PADRAO ENEL FAIXA REFLETIVA G	UND  	EPI/EPC/FERRAMENTAL	NÃO
3591	ALICATE DE BICO C/CABO ISOLADO 1KV TAMANHO 06	UND  	EPI/EPC/FERRAMENTAL	NÃO
3592	CAMISA PADRAO ENEL  FAIXA REFLETIVA G	UND  	EPI/EPC/FERRAMENTAL	NÃO
3593	CAPA DE CHUVA COM LOGO ENEL	UND  	EPI/EPC/FERRAMENTAL	NÃO
3594	CAPA DE CHUVA FORRADA PVC AMARELA-EPI TAMANHO GG	UND  	EPI/EPC/FERRAMENTAL	NÃO
3595	CAPACETE SEGURANÇA ABA FRONTAL BRANCO MSA-EPI	UND  	EPI/EPC/FERRAMENTAL	SIM
3596	CAPACETE SEGURANÇAII ABA FRONTAL 38MM LOGO ENEL	UND  	EPI/EPC/FERRAMENTAL	SIM
3597	CARNEIRA AJUSTÁVEL COM JUGULAR P/ CAPACETE-EPI	UND  	EPI/EPC/FERRAMENTAL	NÃO
3598	CINTO DE SEGURANÇA PARAQUEDISTA,T. ÚNICO-EPI	UND  	EPI/EPC/FERRAMENTAL	SIM
3599	"CONE DE SINALIZAÇÃO C/FURO P/FITA DE 75CM BR/LARANJA - ""PADRÃO ENEL"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3600	CONJUNTO,IMPERMEAVEL,VENT,CONTRA CHUVA,GG,EMS50PI	UND  	EPI/EPC/FERRAMENTAL	SIM
3601	CORDA DE POLIPROPILENO,TRANÇADA,12MM EQS	UND  	EPI/EPC/FERRAMENTAL	NÃO
3602	FITA REFLET P/ SINALIZ OU ISOLAM DE AREA	UND  	EPI/EPC/FERRAMENTAL	NÃO
3603	GARRAFÃO TÉRMICO P/ ÁGUA, CAP. 12 LITROS	UND  	EPI/EPC/FERRAMENTAL	NÃO
3604	LUVA DE COBERTURA P/LUVA DE BORRACHA-EPI	UND  	EPI/EPC/FERRAMENTAL	SIM
3605	LUVA SUEDINE-EPI	UND  	EPI/EPC/FERRAMENTAL	SIM
3606	LUVA DE SEGURANÇA VAQUETA COURO TAM.ÚNICO-EPI	UND  	EPI/EPC/FERRAMENTAL	SIM
3607	"LUVA DE SEGURANÇA ISOLADA DE BORRACHA CLASSE 2;UTIL.17KV-10""EPI"	UND  	EPI/EPC/FERRAMENTAL	SIM
3608	LUVA DE SEGURANÇA ISOLADA BT CLASSE 0 TAM 10,5-EPI	UND  	EPI/EPC/FERRAMENTAL	SIM
3610	LUVA DE SEGURANÇA ISOLADA BT CLASSE 0 TAM 9,5-EPI	UND  	EPI/EPC/FERRAMENTAL	SIM
3611	LUVA DE SEGURANÇA ISOLADA BT CLASSE 0 TAM 9-EPI	UND  	EPI/EPC/FERRAMENTAL	SIM
3612	ALICATE DE COMPRESSÃO MD 6	UND  	EPI/EPC/FERRAMENTAL	NÃO
3613	LUVA DE LÁTEX P/ PROCED. NÃO ESTÉRIL-C/ PÓ -TAM. P- CX C/ 100 UNDS	CX	OUTROS	-
3615	ALICATE PRENSA TERMINAL MANUAL  P/CABO ATÉ 6MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3616	"ALICATE UNIVERSAL C/CABO ISOLADO 1KV 8"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3617	LUVA ULTRANE 548 PU PT 10	UND  	EPI/EPC/FERRAMENTAL	SIM
3618	MACACÃO APICULTOR TAM:GG	UND  	EPI/EPC/FERRAMENTAL	NÃO
3620	ÓCULOS SEGURANÇA LENTES INCOLOR, VIS. PAN-EPI (PRO VISION CLARO)	UND  	EPI/EPC/FERRAMENTAL	SIM
3621	PROTET.FACIAL,VISOR VERDE,REF218295-EPI	UND  	EPI/EPC/FERRAMENTAL	NÃO
3622	PROTET/BLOQUEADOR SOLAR REF.FPS 58-EPI	UND  	EPI/EPC/FERRAMENTAL	NÃO
3623	PROTET/BLOQUEADOR SOLAR REF.FPS 30-EPI	UND  	EPI/EPC/FERRAMENTAL	NÃO
3624	PROTETOR AURICULAR C/3 ESCAMAS-SILICONE-EPI	UND  	EPI/EPC/FERRAMENTAL	NÃO
3625	PROTETOR FACIAL ACRÍLICO C/ ARN.INCOLOR-EPI	UND  	EPI/EPC/FERRAMENTAL	NÃO
3627	TALABARTE REGULÁVEL, REF. SPL032AJ-DA SP	UND  	EPI/EPC/FERRAMENTAL	SIM
3628	TRAVA QUEDA RETRÁTIL	UND  	EPI/EPC/FERRAMENTAL	SIM
3629	ALICATE BOMBA D'AGUA 12POL ISOLADO 1000V	UND  	EPI/EPC/FERRAMENTAL	NÃO
3630	"ARCO DE SERRA P/LÂMINA DE 12"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3631	BROCA DE AÇO RÁPIDO 6MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3632	BROCA DE AÇO RÁPIDO 8MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3633	BROCA DE VÍDEA 6MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3634	CADEADO DE LATÃO, TAMANHO 25 MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3635	CADEADO DE LATÃO, TAMANHO 20 MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3636	CADEADO DE LATÃO, TAMANHO 30 MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3637	CANIVETE SEM PONTA PARA ELETRICISTA	UND  	EPI/EPC/FERRAMENTAL	NÃO
3638	CHAVE FENDA C/HASTE ISOLAMENTO 1KV 3/16 X 6	UND  	EPI/EPC/FERRAMENTAL	NÃO
3639	CHAVE COMBINADA BOCA ESTRIA S/ISOL DE 17 MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3640	"CHAVE FENDA C/ISOLAMENTO 1kV DE 1/8""X6"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3641	"CHAVE FENDA C/ISOLAMENTO 1KV DE 5/16""X6  8X150MM"	UND  	EPI/EPC/FERRAMENTAL	NÃO
3642	CHAVE FENDA C/ISOLAMENTO 1kV DE 3/8 X 8	UND  	EPI/EPC/FERRAMENTAL	NÃO
3643	"CHAVE FENDA C/ISOLAMENTO 1kV DE 1/8""X4"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3644	"CHAVE FENDA C/ISOLAMENTO 1kV DE 1/4""X6"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3645	"CHAVE FENDA C/ISOLAMENTO 1kV DE 3/16""X4"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3646	CHAVE DE TESTE, TIPO NEON	UND  	EPI/EPC/FERRAMENTAL	NÃO
3647	CHAVE FENDA 5/16X8 ISOLADA	UND  	EPI/EPC/FERRAMENTAL	NÃO
3649	"CHAVE FENDA S/ISOL TAM 3/16X4"" 100X5MM"	UND  	EPI/EPC/FERRAMENTAL	NÃO
3650	CHAVE FENDA S/ISOL TAM 5/16X8 200X8MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3651	"CHAVE PHILLIPS C/HASTE ISOLAMENTO 1KV 3/16"" X6"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3652	CHAVE INGLESA C/CABO ISOLADO  P/1KV ''8''	UND  	EPI/EPC/FERRAMENTAL	NÃO
3653	CHAVE INGLESA C/CABO ISOLADO P/1KV ''12''	UND  	EPI/EPC/FERRAMENTAL	NÃO
3654	"CHAVE INGLESA C/ISOLAMENTO TAM 10"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3655	"CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 1/4""X6"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3656	"CHAVE PHILLIPS C/ISOLAMENTO 1kV DE 5/16""X6"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3657	"CHAVE PHILLIPS COTOCO S/ISOLAMENTO 1/8""X1.1/2"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3658	"CHAVE PHILLIPS COTOCO S/ISOLAMENTO 3/16""X1.1/2"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3659	CHAVE SOQUETE TIPO CANHÃO C/ISOLAMENTO 1KV DE 8MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3660	"CHAVE TIPO CANHÃO 8 MM (5/16"")"	UND  	EPI/EPC/FERRAMENTAL	NÃO
3661	"FURADEIRA DE IMPACTO DE 1/2"" 110V-600W  REVERSIVEL."	UND  	EPI/EPC/FERRAMENTAL	NÃO
3662	"FURADEIRA ELÉTRICA IMPACTO 1/2"" MODELO.GSB13 220V"	UND  	EPI/EPC/FERRAMENTAL	NÃO
3663	LAMINA SERRA ACO RAPIDO 1/2 X12 18 DENTE	UND  	EPI/EPC/FERRAMENTAL	NÃO
3667	"GPS- ION "" SINCRONIZADOR HORÁRIO DE MEDIDORES"""	pç	OUTROS	-
3668	TRAVA QUEDAS P/CORDA TAMANHO 12MM C/ MOSQUETÃO	UND  	EPI/EPC/FERRAMENTAL	SIM
3669	MARRETA DE AÇO C/CABO DE 2KG	UND  	EPI/EPC/FERRAMENTAL	NÃO
3670	MARRETA DE AÇO C/CABO DE 1KG	UND  	EPI/EPC/FERRAMENTAL	NÃO
3672	MOSQUETÃO OVAL EM AÇO GALVANIZADO	PC   	EPI/EPC/FERRAMENTAL	NÃO
3673	FITA DE ANCORAGEM REVESTIDA DE 1.20M C/ ABSORVEDOR	PC   	EPI/EPC/FERRAMENTAL	NÃO
3674	FITA DE ANCORAGEM REVESTIDA 2 METROS REF: FT-AN200P	PC   	EPI/EPC/FERRAMENTAL	NÃO
3675	FREIO OITO EM DURALUMINIO P/ RESGATE EM 35KN	UND  	EPI/EPC/FERRAMENTAL	NÃO
3676	ADAPTADOR Nº 1 P/SERRA COPO DE 14MM a 30MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3677	PONTA DE PROVA P/ MULTÍMETRO, REF MTL-01	PC   	EPI/EPC/FERRAMENTAL	NÃO
3678	"PONTEIRO DE AÇO DE 12"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3679	PUNÇÃO DE AÇO DE 6 X 150 MM	UND  	EPI/EPC/FERRAMENTAL	NÃO
3680	"SERRA TIPO COPO TAM 1.1/2"" 38MM"	UND  	EPI/EPC/FERRAMENTAL	NÃO
3681	"SERRA TIPO COPO TAM 13/16"" 21 MM"	UND  	EPI/EPC/FERRAMENTAL	NÃO
3682	"SOQUETE SEXTAVADO DE 13MM, C/ ENCAIXE DE 1/2"""	UND  	EPI/EPC/FERRAMENTAL	NÃO
3683	CALÇA EM BRIM 100% ALGODÃO CINZA FUNCIONARIO G 46-48 UNIF	UND  	EPI/EPC/FERRAMENTAL	NÃO
3685	CALÇA CINZA PADRÃO CAM XGG	UND  	EPI/EPC/FERRAMENTAL	NÃO
3686	CALÇA EM BRIM AZUL ROYAL TAM.G UNIF	UND  	EPI/EPC/FERRAMENTAL	NÃO
3687	CALÇA FUNCIONÁRIO BRIM BEGE TAM.G 46-49 CAM UNIF	UND  	EPI/EPC/FERRAMENTAL	NÃO
3688	CALÇA P/SUPERVISOR TAM 52 UNIF	UND  	EPI/EPC/FERRAMENTAL	NÃO
3690	"CAMISA MALHA CINZA MESCLA 100% ALG.""3C"" TAM.G"	UND  	EPI/EPC/FERRAMENTAL	NÃO
3691	CAMISA EM BRIM MANGA COMPRIDA AZUL ROYAL TAM.G-UNIF	UND  	EPI/EPC/FERRAMENTAL	NÃO
3693	ISOLADOR DE PORCELANA PINO MONOCORPO 15 KV N95/3  MARROM CLARO	UND  	COMERCIALIZAÇÃO	-
3695	GUARDA PÓ EM BRIM LEVE BRANCA TAM.P UNIF	UND  	OUTROS	-
3696	JALECO CONFECCIONADO EM TECIDO CINZA TAM.P	UND  	OUTROS	-
3715	CHAVE FUSÍVEL 15kV/100A, C/SUPORTE, CARTUCHO CINZA	PC   	COMERCIALIZAÇÃO	-
3720	ABRAÇADEIRA NYLON 203MM² PRETA DDT-1750 I.3	UND  	FABRICAÇÃO	-
3721	ABRAÇADEIRA NYLON 390MM² DDT-1750 I4	UND  	OUTROS	-
3722	ACOPLADOR INDUTIVO  CODIFICADOR DE DADOS - PLC	UND  	FABRICAÇÃO	-
3723	ISOLADOR DE PORCELANA CASTANHA 54-1-1	PC   	COMERCIALIZAÇÃO	-
3724	ALÇA PREFORMADA AÇO 10MM² BIPOLAR CB /6MMAL - PM195813	UND  	OUTROS	-
3726	ISOLADOR DE PORCELANA ROLDANA ANSI 53-2	PC   	COMERCIALIZAÇÃO	-
