CÓDIGO 	KVA	LP	SERIAL	FABRICANTE 	DATA	GALPAO	POSIÇÃO 		
397134	300	169146	1220652	ROMAGNOLE	jan/20	1	C1-A-01		
397972	45	168191	1206775	ROMAGNOLE	nov/19	1	C1-B-01		
397973	75	174593	1313297	ROMAGNOLE	jul/21	1	C1-C-01		
397033	225	165198	1046010423	WEG	nov/18	1	C1-A-02		
397968	75	159260	1070313	ITB	mar/17	1	C1-B-02		
397968	75	164009	1139930	ITB	abr/18	1	C1-C-02		
397972	45	146965	24914580	WEG	ago/14	1	C1-A-03		
397973	75	152917	1001581	ROMAGNOLE	jul/15	1	C1-B-03		
397973	75	163595	1136281	ROMAGNOLE	abr/18	1	C1-C-03		
397973	75	151461	27616716	WEG	mai/15	1	C1-A-04		
397972	45	166026	1174758	ROMAGNOLE	mar/19	1	C1-B-04		
397972	45	132035	822876	ROMAGNOLE	fev/12	1	C1-B-04		
397974	112,5	168245	1206844	ROMAGNOLE	nov/19	1	C1-C-04		
397001	150	169658	122905	ROMAGNOLE	mai/20	1	C1-A-05		
397977	112,5	152016	987765	ROMAGNOLE	mai/15	1	C1-B-05		
397969	100	119370	769877	ROMAGNOLE	out/10	1	C1-C-05		
397976	75	146191	932889	ROMAGNOLE	mai/14	1	C1-B-06		
397972	45	159423	1084876	ROMAGNOLE	mai/17	1	C1-C-06		
397033	225	161890	1122617	ITB	jan/18	1	C1-A-07		
397974	112,5	169813	1235482	ROMAGNOLE	jul/20	1	C1-B-07		
397972	45	170106	1245111	ROMAGNOLE	jul/20	1	C1-C-07		
397977	112,5	150177	970245	ROMAGNOLE	jan/15	1	C1-A-08		
397973	75	163601	1136287	ROMAGNOLE	abr/18	1	C1-B-08		
397972	45	161267	1111013	ROMAGNOLE	set/17	1	C1-C-08		
397134	300	165732	1160882	ROMAGNOLE	dez/18	1	C1-A-09		
397976	75	163120	1132451	ROMAGNOLE	mar/18	1	C1-B-09		
397972	45	173465	1290231	ROMAGNOLE	abr/21	1	C1-C-09		
397033	225	161913	1122738	ITB	jan/18	1	C1-A-10		
397976	75	175113	1316811	ROMAGNOLE	ago/21	1	C1-B-10		
397972	45	166010	1174742	ROMAGNOLE	mar/19	1	C1-C-10		
397033	225	165601	1046582234	WEG	jan/19	1	C1-A-11		
397975	45	171450	1266597	ROMAGNOLE	jan/21	1	C1-B-11		
397972	45	170729	1254862	ROMAGNOLE	jul/20	1	C1-C-11		
397968	75	165782	1217834	ITB	mai/19	1	C1-A-12		
397977	112,5	168262	1206861	ROMAGNOLE	nov/19	1	C1-B-12		
397972	45	175574	1320258	ROMAGNOLE	ago/21	1	C1-C-12		
397001	150		136294	CONTRAFO	2014	1	C1-A-13		
397972	45	150777	946630	ITB	mai/15	1	C1-B-13		
397147	50	173249	1283285	ROMAGNOLE	mar/21	1	C1-C-13		
397001	150	161743	1117642	ROMAGNOLE	jan/18	1	C1-A-14		
397972	45	166374	1177012	ROMAGNOLE	abr/19	1	C1-B-14		
397972	45	169770	1235439	ROMAGNOLE	jun/20	1	C1-C-14		
397973	75	151462	27616717	WEG	mai/15	1	C1-A-15		
397001	150	140496	876032	ROMAGNOLE	jan/13	1	C1-B-15		
387972	45	168463	1217234	ROMAGNOLE	jan/20	1	C1-C-15		
397969	100	139539	874453	ROMAGNOLE	abr/13	1	C1-A-16		
397001	150	169092	1220519	ROMAGNOLE	jan/20	1	C1-B-16		
397977	112,5	150389	950000	ROMAGNOLE	dez/14	1	C1-C-16		
397973	75	151368	27245172	WEG	abr/15	1	C1-A-17		
397974	112,5	139684	860560	ROMAGNOLE	mar/13	1	C1-B-17		
397972	45	172406	1276312	ROMAGNOLE	dez/20	1	C1-C-17		
397033	225	164547	1044323916	WEG	ago/18	1	C1-A-18		
397976	75	166915	1180397	ROMAGNOLE	mai/19	1	C1-B-18		
397974	112,5	166869	1180351	ROMAGNOLE	abr/19	1	C1-C-18		
397134	300	170513	1249757	ROMAGNOLE	jun/20	1	C1-A-19		
397977	112,5	166151	1175017	ROMAGNOLE	mar/19	1	C1-B-19		
397971	30	172392	1276326	ROMAGNOLE	dez/20	1	C1-C-19		
397033	225	166687	1047798378	WEG	mai/19	1	C1-A-20		
397972	45	170715	1254848	ROMAGNOLE	jul/20	1	C1-B-20		
397973	75	169312	1225732	ROMAGNOLE	mar/20	1	C1-C-20		
397001	150	169465	1225815	ROMAGNOLE	mai/20	1	C1-A-21		
397974	112,5	168542	1217328	ROMAGNOLE	jan/20	1	C1-B-21		
397972	45	166796	1180291	ROMAGNOLE	abr/19	1	C1-C-21		
397974	112,5	160748	1093249	ROMAGNOLE	jun/17	1	C1-A-22		
397974	112,5	166886	1180483	ROMAGNOLE	mai/19	1	C1-B-22		
397972	45	168185	1206769	ROMAGNOLE	nov/19	1	C1-C-22		
397134	300	166201	1174691	ROMAGNOLE	mar/19	1	C1-A-23		
397975	45	164857	1146870	ROMAGNOLE	ago/18	1	C1-B-23		
397146	25	163508	1136557	ROMAGNOLE	abr/18	1	C1-C-23		
397146	25	163509	1136558	ROMAGNOLE	abr/18	1	C1-C-23		
397969	100	139536	874450	ROMAGNOLE	abr/13	1	C1-A-24		
397972	45	171924	1272146	ROMAGNOLE	nov/20	1	C1-B-24		
397972	45	140563	884703	ROMAGNOLE	jun/13	1	C1-C-24		
397033	225	167993	1050672365	WEG	nov/19	1	C1-A-25		
397972	45	169785	1235454	ROMAGNOLE	jun/20	1	C1-B-25		
397970	15	160441	1098905	ROMAGNOLE	mai/17	1	C1-C-25		
397033	225	166194	1174684	ROMAGNOLE	mar/19	1	C1-A-26		
397972	45	169761	1235430	ROMAGNOLE	jul/20	1	C1-B-26		
397972	45	159425	1084878	ROMAGNOLE	mai/17	1	C1-C-26		
397969	100	144807	893219	ITB	abr/14	1	C1-A-27		
397972	45	171929	1272150	ROMAGNOLE	nov/20	1	C1-B-27		
397972	45	135632	850039	ROMAGNOLE	10/dez	1	C1-C-27		
397973	75	162961	1132342	ROMAGNOLE	mar/18	1	C1-A-28		
397970	15	161460	1117512	ROMAGNOLE	nov/17	1	C1-B-28		
397970	15	168152	1206751	ROMAGNOLE	nov/19	1	C1-C-28		
397033	225	160682	1096080	ITB	jun/17	1	C1-A-29		
397972	45	153813	977212	ROMAGNOLE	out/15	1	C1-B-29		
397147	50	162276	1124939	ROMAGNOLE	fev/18	1	C1-C-29		
397146	25	159324	1089533	ROMAGNOLE	abr/17	1	C1-C-29		
397033	225	166641	1047798331	WEG	mai/19	1	C1-A-30		
397972	45	172409	1276315	ROMAGNOLE	dez/20	1	C1-B-30		
397972	45	170723	1254856	ROMAGNOLE	jul/20	1	C1-C-30		
397134	300	163898	1135091	ROMAGNOLE	mai/19	1	C1-A-31		
397973	75	162037	1121874	ROMAGNOLE	jan/18	1	C1-B-31		
397972	45	166004	1174136	ROMAGNOLE	mar/19	1	C1-C-31		
397134	300	163911	1135104	ROMAGNOLE	mai/18	1	C1-A-32		
397974	112,5	166305	1177021	ROMAGNOLE	abr/19	1	C1-B-32		
397973	75	165959	1174714	ROMAGNOLE	mar/19	1	C1-C-32		
397974	112,4	160753	1093254	ROMAGNOLE	jun/17	1	C1-A-33		
397973	75	139066	869091	ROMAGNOLE	abr/13	1	C1-B-33		
397972	45	170727	1254860	ROMAGNOLE	jul/20	1	C1-C-33		
397134	225	164580	1044324001	WEG	ago/18	1	C1-A-34		
397001	150	168637	1217370	ROMAGNOLE	jan/20	1	C1-B-34		
397972	45	169771	1235440	ROMAGNOLE	jun/20	1	C1-C-34		
397977	112,5	148410	959555	ROMAGNOLE	out/14	1	C1-A-35		
397974	112,5	149698	966002	ROMAGNOLE	dez/14	1	C1-B-35		
397972	45	168897	1220375	ROMAGNOLE	jan/20	1	C1-C-35		
397134	300	163900	1135093	ROMAGNOLE	mai/18	1	C1-A-36		
397977	112,5	169694	1229051	ROMAGNOLE	abr/20	1	C1-B-36		
397973	75	170116	1244897	ROMAGNOLE	jul/20	1	C1-C-36		
397977	112,5	147342	945727	ROMAGNOLE	ago/14	1	C1-A-37		
397973	75	148673	957252	ROMAGNOLE	nov/14	1	C1-B-37		
397972	45	168890	1220368	ROMAGNOLE	jan/20	1	C1-C-37		
397977	112,5	162492	1125005	ROMAGNOLE	fev/18	1	C1-A-38		
397969	100	140800	891853	ROMAGNOLE	jul/13	1	C1-B-38		
397970	15	168849	1220352	ROMAGNOLE	jan/20	1	C1-C-38		
397033	225	165217	1046010442	WEG	nov/18	1	C1-A-39		
397977	112,5	147410	946777	ROMAGNOLE	set/14	1	C1-B-39		
397972	45	157036	1034899	ROMAGNOLE	jun/16	1	C1-C-39		
397973	75	163607	1136293	ROMAGNOLE	abr/18	1	C1-A-40		
397972	45	153821	977220	ITB	out/15	1	C1-B-40		
397972	45	171921	1272142	ROMAGNOLE	nov/20	1	C1-C-40		
397974	112,5	149749	966147	ROMAGNOLE	dez/14	1	C1-A-41		
397973	75	161529	1117940	ROMAGNOLE	jan/18	1	C1-B-41		
397972	45	171923	1272144	ROMAGNOLE	nov/20	1	C1-C-41		
