CÓD. PRODUTO	galpao	ENDEREÇO	QUANTIDADE DE VOLUMES	QTDE PRODUTOS	VALIDADE	CA	VALIDADE CA	LAUDO	VALIDADE LAUDO
4018	1	BLA-1-1	1	53					
4495	1	BLA-1-1	1	6					
4873	1	BLA-1-1	1	500					
5131	1	BLA-1-1	1	1					
5134	1	BLA-1-1	1	1					
5232	1	BLA-1-1	1	5					
5267	1	BLA-1-1	1	2					
5980	1	BLA-1-1	1	8					
5981	1	BLA-1-1	1	1					
6196	1	BLA-1-1	1	1					
6411	1	BLA-1-1	1	3					
6412	1	BLA-1-1	1	3					
6413	1	BLA-1-1	1	4					
6414	1	BLA-1-1	1	2					
6415	1	BLA-1-1	1	3					
6417	1	BLA-1-1	1	2					
6480	1	BLA-1-1	1	4					
6764	1	BLA-1-1	1	1500					
6790	1	BLA-1-1	1	18					
6791	1	BLA-1-1	1	5					
6792	1	BLA-1-1	1	14					
6793	1	BLA-1-1	1	1					
6980	1	BLA-1-1	1	60					
7017	1	BLA-1-1	1	2					
7077	1	BLA-1-1	1	3					
7434	1	BLA-1-1	1	18					
7442	1	BLA-1-1	1	14					
7443	1	BLA-1-1	1	9					
7690	1	BLA-1-1	1	169					
7813	1	BLA-1-1	1	1					
8172	1	BLA-1-1	1	1					
8218	1	BLA-1-1	1	2					
8219	1	BLA-1-1	1	2					
8222	1	BLA-1-1	1	1					
8223	1	BLA-1-1	1	1					
8224	1	BLA-1-1	1	1					
8231	1	BLA-1-1	1	2					
8232	1	BLA-1-1	1	1					
8233	1	BLA-1-1	1	33					
8234	1	BLA-1-1	1	2					
8235	1	BLA-1-1	1	1					
8236	1	BLA-1-1	1	1					
8237	1	BLA-1-1	1	12					
8239	1	BLA-1-1	1	5					
8240	1	BLA-1-1	1	4					
8241	1	BLA-1-1	1	3					
8242	1	BLA-1-1	1	27					
8244	1	BLA-1-1	1	4					
8245	1	BLA-1-1	1	2					
8246	1	BLA-1-1	1	2					
8247	1	BLA-1-1	1	3					
8248	1	BLA-1-1	1	1					
8249	1	BLA-1-1	1	3					
8256	1	BLA-1-1	1	4					
8263	1	BLA-1-1	1	12					
8264	1	BLA-1-1	1	27					
8265	1	BLA-1-1	1	4					
8266	1	BLA-1-1	1	10					
8335	1	BLA-1-1	1	1					
8336	1	BLA-1-1	1	1					
8337	1	BLA-1-1	1	1					
8578	1	BLA-1-1	1	135					
8588	1	BLA-1-1	1	24					
8606	1	BLA-1-1	1	272					
8624	1	BLA-1-1	1	216					
8625	1	BLA-1-1	1	1					
8626	1	BLA-1-1	1	15					
8628	1	BLA-1-1	1	25					
8662	1	BLA-1-1	1	87					
8669	1	BLA-1-1	1	121					
8844	1	BLA-1-1	1	2					
8847	1	BLA-1-1	1	700					
8899	1	BLA-1-1	1	2					
8990	1	BLA-1-1	1	13					
9018	1	BLA-1-1	1	5					
9021	1	BLA-1-1	1	450					
9032	1	BLA-1-1	1	14					
9033	1	BLA-1-1	1	14					
9034	1	BLA-1-1	1	14					
9100	1	BLA-1-1	1	200					
9101	1	BLA-1-1	1	200					
9102	1	BLA-1-1	1	200					
3787	2	BLB-1-1	1	7147					
4673	2	BLB-1-1	1	3					
4919	2	BLB-1-1	1	19032					
4920	2	BLB-1-1	1	2710					
4921	2	BLB-1-1	1	2708					
4922	2	BLB-1-1	1	308					
5486	2	BLB-1-1	1	23					
5745	2	BLB-1-1	1	1350					
8105	2	BLB-1-1	1	1					
