LOTE	KVA	LP	SERIAL	FABRICANTE	ANO	enrolamento	Óleo - Litro
396997	75	127485	806309	ROMAGNOLE	2011	ALUMINIO	318
397971	30	169548		ROMAGNOLE	2020	ALUMINIO	53
397970	15	161480	1117515	ROMAGNOLE	*	ALUMINIO	53
397146	25	162829	1132405	ROMAGNOLE	2018	ALUMINIO	68
397147	50	168838	1220338	ROMAGNOLE	2019	ALUMINIO	58
397971	30	137063	856021	ROMAGNOLE	2013	ALUMINIO	67
397970	15	142555	915889	ROMAGNOLE	2013	ALUMINIO	53
397142	30	143584	914551	ROMAGNOLE	2014	ALUMINIO	83
397970	15	150944	981634	ROMAGNOLE	2015	ALUMINIO	53
397970	15	164712	1146009	ROMAGNOLE	2018	ALUMINIO	53
397970	15	168157	1206756	ROMAGNOLE	2019	ALUMINIO	57
397971	30	168447	1217253	ROMAGNOLE	2020	ALUMINIO	43
397142	30	137847	857583	ROMAGNOLE	2018	ALUMINIO	77
397971	30	155431	1011650	ROMAGNOLE	2015	ALUMINIO	58
397146	25	155711	1017607	ROMAGNOLE	2016	ALUMINIO	68
397141	15	161456	1117358	ROMAGNOLE	2018	ALUMINIO	69
397146	25	169248	1225595	ROMAGNOLE	2020	ALUMINIO	82
397980	10	151623	948878	ITB	2015	ALUMINIO	36
397974	112,5	133662	827941	ROMAGNOLE	2012	ALUMINIO	160
397982	15	141710	907804	ROMAGNOLE	2013	ALUMINIO	52
397982	15	143791	914700	ROMAGNOLE	2014	ALUMINIO	52
397982	15	146224	929340	ROMAGNOLE	2014	ALUMINIO	52
397982	15	147118	940481	ROMAGNOLE	2014	ALUMINIO	48
397980	10	154532	977579	ITB	2015	ALUMINIO	36
397971	30	156442	1024963	ROMAGNOLE	2016	ALUMINIO	58
397972	45	56614		PROLEC	1990	ALUMINIO	162
397968	75	60489	501350	PROLEC	1992	ALUMINIO	135
397977	112,5	*	129738	WEG	1998	COBRE	165
315998	1000	65404	9420462	UNIAO	1994	COBRE	0
397974	112,5	135385	400672	ABB	2012	ALUMINIO	0
313973	75	*	32350	THOSHIBA	2005	COBRE	136
397972	45	56736	201151	PROLEC	1961	ALUMINIO	162
397001	150	113972	742129	ROMAGNOLE	2010	COBRE	122
397001	150	135728	847564	ROMAGNOLE	2012	ALUMINIO	147
397001	150	147829	979858	NOVA LOG	2016	ALUMINIO	161
397001	150	149449	963192	MEDRAL	2017	ALUMINIO	161
397977	112,5AP	*	134990	MEGA	1998	COBRE	126
397977	112,5AP	85581	KA2071A124H	TRAFO	1999	COBRE	167
397977	112,5AP	74497	128056	WEG	1998	COBRE	165
397974	112,5	119623	768354	ROMAGNOLE	2010	ALUMINIO	168
397973	75	*	KA1416A179H	TRAFO	1995	COBRE	62
397973	75	*	KA1416A178H	TRAFO	1995	COBRE	62
397973	75	*	9110889	UNIAO	1990	COBRE	58
397973	75	*	24516	ISOTRAFO	2010	COBRE	120
