Galpao	Endereço		Código	Saldo Inventáriado
9	A1	A-1-1	8627	10
9	A1	A-1-1	8666	19
9	A1	A-1-1	8667	4
9	A1	A-1-1	8668	2
9	A2	A-1-2	8582	5
9	A2	A-1-2	8626	8
9	A3	A-1-3	8358	11
9	A3	A-1-3	9277	11
9	A4	A-1-4	8588	8
9	A5	A-1-5	8650	6
10	ALMOX.CE	A-1-1	3595	10
10	ALMOX.CE	A-1-1	3604	7
10	ALMOX.CE	A-1-1	3766	9
10	ALMOX.CE	A-1-1	3768	9
10	ALMOX.CE	A-1-1	3784	9
10	ALMOX.CE	A-1-1	3804	9
10	ALMOX.CE	A-1-1	3806	8
10	ALMOX.CE	A-1-1	3818	9
10	ALMOX.CE	A-1-1	3819	9
10	ALMOX.CE	A-1-1	4007	9
10	ALMOX.CE	A-1-1	4020	5
10	ALMOX.CE	A-1-1	4309	3
10	ALMOX.CE	A-1-1	4310	138
10	ALMOX.CE	A-1-1	5982	85
10	ALMOX.CE	A-1-1	6982	1
10	ALMOX.CE	A-1-1	7008	9
10	ALMOX.CE	A-1-1	7276	9
10	ALMOX.CE	A-1-1	8100	1
10	ALMOX.CE	A-1-1	8292	9
10	ALMOX.CE	A-1-1	8692	9
10	ALMOX.CE	A-1-1	10000	1
10	ALMOX.CE	A-1-1	10031	1
10	ALMOX.CE	A-1-1	10042	3
10	ALMOX.CE	A-1-1	10045	3
10	ALMOX.CE	A-1-1	10052	3
10	ALMOX.CE	A-1-1	10182	1
10	ALMOX.CE	A-1-1	10406	2
10	ALMOX.CE	A-1-1	10407	2
10	ALMOX.CE	A-1-1	10408	2
11	ARM1.1	1-1-1	3581	11
11	ARM1.1	1-1-1	4134	4
11	ARM1.1	1-1-1	5570	1
11	ARM1.1	1-1-1	7702	10
11	ARM1.2	1-1-2	7991	2
11	ARM1.2	1-1-2	8819	8
11	ARM1.2	1-1-2	10027	2
11	ARM1.3	1-1-3	3600	2
11	ARM1.3	1-1-3	5935	6
11	ARM1.3	1-1-3	7693	1
11	ARM1.4	1-1-4	3905	1
11	ARM1.4	1-1-4	5829	18
11	ARM1.4	1-1-4	6616	10
11	ARM1.5	1-1-5	3598	1
11	ARM1.5	1-1-5	3627	1
11	ARM1.5	1-1-5	3668	1
11	ARM1.5	1-1-5	3673	3
11	ARM1.5	1-1-5	3674	1
11	ARM2.1	2-1-1	3992	5
11	ARM2.1	2-1-1	4131	21
11	ARM2.1	2-1-1	4761	5
11	ARM2.1	2-1-1	7556	3
11	ARM2.1	2-1-1	7557	60
11	ARM2.2	2-1-2	3784	6
11	ARM2.2	2-1-2	3788	92
11	ARM2.2	2-1-2	3789	25
11	ARM2.2	2-1-2	3804	4
11	ARM2.2	2-1-2	4991	7
11	ARM2.2	2-1-2	7273	3
11	ARM2.2	2-1-2	7274	4
11	ARM2.2	2-1-2	7275	26
11	ARM2.2	2-1-2	7324	5
11	ARM2.2	2-1-2	8290	7
11	ARM2.3	2-1-3	3766	45
11	ARM2.3	2-1-3	3805	6
11	ARM2.3	2-1-3	3806	5
11	ARM2.3	2-1-3	3841	2
