Endereço	Código	Saldo Inventáriado
9-A-1-1	8627	10
9-A-1-1	8666	20
9-A-1-1	8667	4
9-A-1-1	8668	0
9-A-1-2	8626	3
9-A-1-3	8358	14
9-A-1-4	8588	2
9-A-1-5	8650	6
10-A-1-1	3595	1
10-A-1-1	3599	1
10-A-1-1	3606	1
10-A-1-1	3620	1
10-A-1-1	3973	10
10-A-1-1	4013	4
10-A-1-1	4261	1
10-A-1-1	4281	3072
10-A-1-1	4310	144
10-A-1-1	4483	14
10-A-1-1	5982	82
10-A-1-1	7056	4
10-A-1-1	7535	33
10-A-1-1	7991	2
10-A-1-1	8080	1
10-A-1-1	8100	60
10-A-1-1	9395	2
10-A-1-1	9839	2
10-A-1-1	10042	3
10-A-1-1	10045	3
10-A-1-1	10052	3
10-A-1-1	10108	1
11-1-1-1	3581	3
11-1-1-1	4134	5
11-1-1-1	5570	1
11-1-1-1	7702	1
11-1-1-2	5955	2
11-1-1-2	8819	12
11-1-1-2	10027	9
11-1-1-3	3600	2
11-1-1-3	5935	6
11-1-1-3	7693	2
11-1-1-4	3905	1
11-1-1-4	5829	18
11-1-1-4	6616	5
11-1-1-5	3598	1
11-1-1-5	3627	1
11-1-1-5	3668	1
11-1-1-5	3673	3
11-1-1-5	3674	1
11-1-1-5	3886	2
11-2-1-1	3992	3
11-2-1-1	4131	4
11-2-1-1	4761	8
11-2-1-1	7556	3
11-2-1-1	7557	60
11-2-1-2	3784	1
11-2-1-2	3788	93
11-2-1-2	3804	5
11-2-1-2	4990	1
11-2-1-2	4991	7
11-2-1-2	7273	20
11-2-1-2	7274	25
11-2-1-2	7275	39
11-2-1-2	7276	5
11-2-1-2	7324	4
11-2-1-2	8290	7
11-2-1-3	3766	47
11-2-1-3	3805	7
11-2-1-3	3841	2
11-2-1-3	3985	6
11-2-1-3	3986	5
11-2-1-3	3987	1
11-2-1-3	3995	1
11-2-1-3	3999	2
11-2-1-3	4021	9
11-2-1-3	5230	7
11-2-1-3	5531	2
11-2-1-3	7079	2
11-2-1-4	4007	2
11-2-1-4	4292	3
11-2-1-4	6408	25
11-2-1-4	8291	16
11-2-1-4	8292	8
11-2-1-5	3818	10
11-2-1-5	3984	2
11-2-1-5	3990	1
11-2-1-5	7321	3
11-2-1-5	7323	5
11-2-1-5	7382	3
11-2-1-5	7429	3
11-2-1-5	7620	6
11-3-1-1	3595	20
11-3-1-1	7677	3
11-3-1-2	4019	2
11-3-1-2	5592	7
11-3-1-2	5785	1
11-3-1-2	7966	14
11-3-1-2	8203	11
11-3-1-2	8351	8
11-3-1-3	3819	3
11-3-1-3	4994	2
11-3-1-3	5501	3
11-3-1-4	4020	19
11-3-1-4	4652	3
11-3-1-4	5857	1
11-3-1-4	8835	2
11-3-1-5	5646	1
11-3-1-5	8293	5
11-4-1-1	4480	5
11-4-1-1	4484	5
11-4-1-1	4486	11
11-4-1-2	4482	1
11-4-1-2	5122	3
11-4-1-2	6420	2
11-4-1-3	4485	22
11-4-1-3	4487	8
11-4-1-3	8053	3
11-4-1-4	4481	7
11-4-1-4	8733	11
11-5-1-1	8378	2
11-5-1-1	8730	1
11-5-1-1	8731	2
11-5-1-2	5204	2
11-5-1-2	8371	3
11-5-1-3	8373	2
9-B-1-1	7695	2
9-B-1-1	7696	2
9-B-1-1	7697	1
9-B-1-2	4639	1
9-B-1-2	4641	1
9-B-1-2	4642	7
9-B-1-2	4643	4
9-B-1-3	3565	1
9-B-1-3	3620	3
9-B-1-3	7131	4
9-B-1-3	7147	5
9-B-1-3	7675	2
9-B-1-4	4453	4
9-B-1-4	5140	11
9-B-1-4	5144	15
9-B-1-4	7419	11
9-B-1-4	7420	6
9-B-1-4	7664	1
9-B-1-5	3607	1
9-B-1-5	3677	1
12-1-1-1	3604	24
12-1-1-1	3606	19
12-1-1-1	3617	5
12-1-1-1	5338	20
12-1-1-1	8554	12
12-2-1-1	4451	36
12-2-1-1	6413	1
12-2-1-1	8647	2
12-2-1-1	8656	4
12-2-1-1	8662	53
12-2-1-1	9647	18
12-3-1-1	3994	1
12-3-1-1	4010	2
12-3-1-1	4474	0
12-3-1-1	6796	1
12-3-1-1	7056	5
12-4-1-1	4259	3
12-4-1-1	4260	1
12-5-1-1	4261	3
12-5-1-1	4262	5
12-6-1-1	4263	3
12-6-1-1	4266	3
9-C-1-1	4315	3
9-C-1-1	7279	10
9-C-1-2	3591	6
9-C-1-2	3633	3
9-C-1-2	4448	4
9-C-1-2	5517	9
9-C-1-2	7396	1
9-C-1-2	7902	1
9-C-1-3	3576	10
9-C-1-3	3582	6
9-C-1-3	3616	8
9-C-1-3	3624	3
9-C-1-3	4370	2
9-C-1-3	8875	4
9-C-1-3	9192	2
9-C-1-4	3641	8
9-C-1-4	3644	2
9-C-1-4	3655	3
9-C-1-4	3663	3
9-C-1-4	4271	9
9-C-1-4	3651	7
9-C-1-4	3645	2
9-C-1-5	3623	11
9-C-1-5	5496	4
9-D-1-3	8013	0
9-D-1-4	8007	6
9-E-1-2	9237	4
9-E-1-2	9238	3
9-E-1-3	7967	1
9-E-1-3	7975	10
9-E-1-4	5527	4
9-E-1-4	7055	1
9-E-1-4	9676	2
9-E-1-5	4264	2
9-E-1-5	4265	1
9-E-1-5	9316	1
9-F-1-5	5318	1
14-1-1-1	7380	840
15-1-1-1	4018	98
15-1-1-1	4022	95
15-1-1-1	7371	30000
15-2-1-1	6791	17
15-2-1-1	7268	27
15-3-1-1	7269	43
15-3-1-1	7812	1
15-3-1-1	8625	4
