Endereço	galpao	Local	Nível	Posição	LP/Série	Código	Descrição	Cen	Dep	Status	Qtde
C1A01	1	C1	A	1	169146	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1
C1B01	1	C1	B	1	-	-	-	-	-	-	-
C1C01	1	C1	C	1	174593	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1A02	1	C1	A	2	165198	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C1B02	1	C1	B	2	159260	397968	TRANSFORMADOR DISTR MONOF 75,0KVA	11	15	DEPS	1
C1C02	1	C1	C	2	164009	397968	TRANSFORMADOR DISTR MONOF 75,0KVA	11	15	DEPS MONT	1
C1A03	1	C1	A	3	146965	397143	TRANSFORMADOR DISTR TRIF 45,0KVA 6/13KV	11	15	DEPS	1
C1B03	1	C1	B	3	152917	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1C03	1	C1	C	3	163595	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1A04	1	C1	A	4	151461	397144	TRANSFORMADOR DISTR TRIF 75,0KVA 6/13KV	11	15	DEPS	1
C1B04	1	C1	B	4	166026	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS MONT	1
C1B04	1	C1	B	4	132035	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1C04	1	C1	C	4	168245	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1A05	1	C1	A	5	169658	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1B05	1	C1	B	5	152016	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1
C1C05	1	C1	C	5	119370	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1A06	1	C1	A	6	149332	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS MONT	1
C1B06	1	C1	B	6	146191	397976	TRANSFORMADOR DISTR TRIF 75,0KVA AP	11	15	DEPS	1
C1C06	1	C1	C	6	159423	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS MONT	1
C1A07	1	C1	A	7	161890	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS MONT	1
C1B07	1	C1	B	7	169813	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1C07	1	C1	C	7	170064	397970	TRANSFORMADOR DISTR TRIF 15KVA	11	15	DEPS	1
C1A08	1	C1	A	8	150177	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1
C1B08	1	C1	B	8	163601	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1C08	1	C1	C	8	161267	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS MONT	1
C1A09	1	C1	A	9	165732	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1
C1B09	1	C1	B	9	163120	397976	TRANSFORMADOR DISTR TRIF 75,0KVA AP	11	15	DEPS	1
C1C09	1	C1	C	9	173465	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A10	1	C1	A	10	161913	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C1B10	1	C1	B	10	175113	397976	TRANSFORMADOR DISTR TRIF 75,0KVA AP	11	15	DEPS	1
C1C10	1	C1	C	10	166010	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A11	1	C1	A	11	165601	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C1B11	1	C1	B	11	171450	397022	TRANSFORMADOR DISTR TRIF 45,0KVA AP BL	11	15	DEPS	1
C1C11	1	C1	C	11	170729	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A12	1	C1	A	12	165782	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1B12	1	C1	B	12	168262	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1C12	1	C1	C	12	172422	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS MONT	1
C1A13	1	C1	A	13	136294	Verificar	Verificar	Verificar	Verificar	Verificar	1
C1B13	1	C1	B	13	150777	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1C13	1	C1	C	13	173249	397147	TRANSFORMADOR DISTR MONOF 50,0KVA ISOL	11	15	DEPS	1
C1A14	1	C1	A	14	161743	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1B14	1	C1	B	14	166374	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1C14	1	C1	C	14	169770	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A15	1	C1	A	15	151462	397144	TRANSFORMADOR DISTR TRIF 75,0KVA 6/13KV	11	15	DEPS MONT	1
C1B15	1	C1	B	15	140496	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1C15	1	C1	C	15	168463	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A16	1	C1	A	16	139539	397969	TRANSFORMADOR DISTR MONOF 100,0KVA	11	15	DEPS	1
C1B16	1	C1	B	16	169092	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1C16	1	C1	C	16	150389	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1A17	1	C1	A	17	151368	397144	TRANSFORMADOR DISTR TRIF 75,0KVA 6/13KV	11	15	DEPS MONT	1
C1B17	1	C1	B	17	139684	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1C17	1	C1	C	17	172406	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A18	1	C1	A	18	164547	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C1B18	1	C1	B	18	166915	397976	TRANSFORMADOR DISTR TRIF 75,0KVA AP	11	15	DEPS	1
C1C18	1	C1	C	18	166869	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1A19	1	C1	A	19	170513	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1
C1B19	1	C1	B	19	166151	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1
C1C19	1	C1	C	19	170730	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1A20	1	C1	A	20	166687	397033	TRANSFORMADOR DISTR TRIF 225KVA	11	15	DEPS	1
C1B20	1	C1	B	20	170715	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
C1C20	1	C1	C	20	169312	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1
C1A21	1	C1	A	21	169465	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1
C1B21	1	C1	B	21	168542	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1
C1C21	1	C1	C	21	166796	397972	TRANSFORMADOR DISTR TRIF 45,0KVA	11	15	DEPS	1
