Endereço		Local	Nível	Posição	LP	Código	Descrição	Cen	Dep	Status	Qtde	Série	Fabricante	Mês/Ano fabricação
C1A01	1	C1	A	1	169146	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1	1220653	ROMANG	1/2020
C1C01	1	C1	C	1	174593	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1313297	ROMANG	7/2021
C1P01	1	C1	P	1	147763	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS MONT	1	952687	ROMAGNOLE	1/2015
C1P01	1	C1	P	1	150476	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS MONT	1	970576	ROMAGNOLE	3/2015
C1P01	1	C1	P	1	172290	397145	TRANSFORMADOR DISTR TRIF 112,5KVA 6/13KV	11	15	DEPS	1	1339322	ITB	1/2021
C1P01	1	C1	P	1	149480	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	963223	ROMAGNOLE	1/2015
C1P01	1	C1	P	1	163630	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1136489	romagnole	-
C1P01	1	C1	P	1	170276	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1245254	ROMANG	7/2020
C1P01	1	C1	P	1	162092	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	1122178	ROMAGNOLE	-
C1P01	1	C1	P	1	163769	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1	1136069	ROMAGNOLE	-
C1P01	1	C1	P	1	175961	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	1320187	ROMANG	9/2021
C1P01	1	C1	P	1	154453	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1	970319	ITB	1/2016
C1P01	1	C1	P	1	143003	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	875621	ITB	3/2014
C1P01	1	C1	P	1	148417	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS	1	959562	ROMAGNOLE	11/2014
C1P01	1	C1	P	1	155328	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	1000791	ITB	9/2016
C1P01	1	C1	P	1	170372	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS MONT	1	1244959	ROMANG	7/2020
C1P01	1	C1	P	1	146916	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	917463	ITB	10/2014
C1P01	1	C1	P	1	166204	397134	TRANSFORMADOR DISTR TRIF 300KVA	11	15	DEPS	1	1174694	ROMAGNOLE	-
C1P01	1	C1	P	1	162063	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	1121885	romagnole	-
C1P01	1	C1	P	1	155604	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	1005428	ITB	9/2016
C1P01	1	C1	P	1	163705	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1136524	ROMAGNOLE	-
C1P01	1	C1	P	1	157274	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1035865	itb	-
C1P01	1	C1	P	1	169965	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1	1240655	ROMANG	6/2020
C1P01	1	C1	P	1	166409	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1175928	ROMAGNOLE	-
C1P01	1	C1	P	1	163683	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1136502	ROMAGNOLE	-
C1P01	1	C1	P	1	165918	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1169580	ROMAGNOLE	-
C1P01	1	C1	P	1	173881	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1297852	ROMANG	5/2021
C1P01	1	C1	P	1	143846	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	914921	ROMAGNOLE	1/2014
C1P01	1	C1	P	1	143822	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	914727	ROMAGNOLE	2/2014
C1P01	1	C1	P	1	150618	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS MONT	1	939867	ITB	4/2015
C1P01	1	C1	P	1	166096	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1174851	ROMAGNOLE	-
C1P01	1	C1	P	1	175586	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1320233	ROMANG	8/2021
C1P01	1	C1	P	1	154377	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	981666	ITAIPU	1/2016
C1P01	1	C1	P	1	149670	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	970072	ROMAGNOLE	1/2015
C1P01	1	C1	P	1	139116	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	860130	ROMAGNOLE	6/2013
C1P01	1	C1	P	1	149248	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS MONT	1	961240	ROMAGNOLE	1/2015
C1P01	1	C1	P	1	173066	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1	1350893	ITB	3/2021
C1P01	1	C1	P	1	170191	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1245019	ROMANG	7/2020
C1P01	1	C1	P	1	141151	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1	895679	ROMAGNOLE	9/2013
C1P01	1	C1	P	1	167028	397024	TRANSFORMADOR DISTR TRIF 112,5KVA AP BL	11	15	DEPS MONT	1	1180580	ROMANG	11/2019
C1P01	1	C1	P	1	162542	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1	1125058	romagnole	-
C1P01	1	C1	P	1	174975	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS MONT	1	1388124	ITB	9/2021
C1P01	1	C1	P	1	172474	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1276205	ROMANG	12/2020
C1P01	1	C1	P	1	150378	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1	949989	ROMAGNOLE	2/2015
C1P01	1	C1	P	1	142820	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	912365	ROMAGNOLE	1/2014
C1P01	1	C1	P	1	173217	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1283237	ROMANG	3/2021
C1P01	1	C1	P	1	140583	397977	TRANSFORMADOR DISTR TRIF 112,5KVA AP	11	15	DEPS	1	884750	ROMAGNOLE	8/2013
C1P01	1	C1	P	1	171754	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS MONT	1	1331584	ITB	12/2020
C1P01	1	C1	P	1	175056	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1316748	ROMANG	8/2021
C1P01	1	C1	P	1	137718	397001	TRANSFORMADOR DISTR TRIF 150,0KVA	11	15	DEPS	1	856358	ROMAGNOLE	2/2013
C1P01	1	C1	P	1	138679	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS MONT	1	404522	ABB	4/2013
C1P01	1	C1	P	1	168209	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1206808	ROMANG	11/2019
C1P01	1	C1	P	1	174201	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	1313192	ROMANG	7/2021
C1P01	1	C1	P	1	172101	397974	TRANSFORMADOR DISTR TRIF 112,5KVA	11	15	DEPS	1	1339275	ITB	1/2021
C1P01	1	C1	P	1	152060	397973	TRANSFORMADOR DISTR TRIF 75,0KVA	11	15	DEPS	1	958165	ITB	-
