MATERIAL	DESCRIÇÃO DO MATERIAL	Tipo de Material
3564	PROTETOR FACIAL INCOLOR	EPI
3565	OCULOS SEGURANÇA ENEL UV/IV LENTE CINZA-EMS35 CLAGOS	EPI
3566	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM46	OUTROS
3567	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM48	OUTROS
3568	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM50	OUTROS
3571	CALÇA SUPERVISOR BRIM NA COR AZUL JEANS TAM52	OUTROS
3574	TP TRAFO POTENCIAL BPS 10I	OUTROS
3575	TP TRAFO POTENCIAL BPS 11I	OUTROS
3576	ALICATE AMPERIMETRO DIGITAL 3200 MINIPA -"MEDE CAPACITANCIA"	FERRAMENTAL
3577	BALDE LONA IMPERME Nº 10 VERDE FDS COURO	OUTROS
3578	ALICATE BOMBA D'AGUA 12' COM ISOLAMENTO	FERRAMENTAL
3580	BANDEIROLA SINALIZ.LARANJA "CAM"-EPC	EPC
3581	BOLSA LONA P/LUVAS IMPER Nº10 VERDE 140x380 MM	OUTROS
3582	ALICATE CORTE C/CABO ISOLADO 1KV 6"	FERRAMENTAL
3583	BOTA SEGURANÇA P/ELETRICISTA TAMANHO 45-EPI	EPI
3585	BOTA SEGURANÇA C/BIQUEIRA DE AÇO TAMANHO 39-EPI	EPI
3586	CALÇA ANTI-CHAMAS AZUL ROYAL TAMANHO GG-EPI	EPI
3587	ALICATE CORTE DIAGONAL C/CABO ISOLADO 1KV 8"	FERRAMENTAL
3588	CALÇA PADRAO ENEL FAIXA REFLETIVA G	EPI
3589	CAMISA ANTI-CHAMAS AZUL ROYAL TAM.G-EPI	EPI
3591	ALICATE DE BICO C/CABO ISOLADO 1KV TAMANHO 06	FERRAMENTAL
3592	CAMISA PADRAO ENEL  FAIXA REFLETIVA G	EPI
3593	CAPA DE CHUVA COM LOGO ENEL	OUTROS
3594	CAPA DE CHUVA FORRADA PVC AMARELA-EPI TAMANHO GG	OUTROS
3595	CAPACETE SEGURANÇA ABA FRONTAL BRANCO MSA-EPI	EPI
3596	CAPACETE SEGURANÇAII ABA FRONTAL 38MM LOGO ENEL	EPI
3597	CARNEIRA AJUSTÁVEL COM JUGULAR P/ CAPACETE-EPI	EPI
3598	CINTO DE SEGURANÇA PARAQUEDISTA,T. ÚNICO-EPI	EPI
3599	CONE DE SINALIZAÇÃO C/FURO P/FITA DE 75CM BR/LARANJA - "PADRÃO ENEL"	EPC
3600	CONJUNTO,IMPERMEAVEL,VENT,CONTRA CHUVA,GG,EMS50PI	OUTROS
3601	CORDA DE POLIPROPILENO,TRANÇADA,12MM EQS	OUTROS
3602	FITA REFLET P/ SINALIZ OU ISOLAM DE AREA	EPC
3603	GARRAFÃO TÉRMICO P/ ÁGUA, CAP. 12 LITROS	OUTROS
3604	LUVA DE COBERTURA P/LUVA DE BORRACHA-EPI	EPI
3605	LUVA SUEDINE-EPI	EPI
3606	LUVA DE SEGURANÇA VAQUETA COURO TAM.ÚNICO-EPI	EPI
3607	LUVA DE SEGURANÇA ISOLADA DE BORRACHA CLASSE 2;UTIL.17KV-10"EPI	EPI
3608	LUVA DE SEGURANÇA ISOLADA BT CLASSE 0 TAM 10,5-EPI	EPI
3610	LUVA DE SEGURANÇA ISOLADA BT CLASSE 0 TAM 9,5-EPI	EPI
3611	LUVA DE SEGURANÇA ISOLADA BT CLASSE 0 TAM 9-EPI	EPI
3612	ALICATE DE COMPRESSÃO MD 6	FERRAMENTAL
3613	LUVA DE LÁTEX P/ PROCED. NÃO ESTÉRIL-C/ PÓ -TAM. P- CX C/ 100 UNDS	OUTROS
3615	ALICATE PRENSA TERMINAL MANUAL  P/CABO ATÉ 6MM	FERRAMENTAL
3616	ALICATE UNIVERSAL C/CABO ISOLADO 1KV 8"	FERRAMENTAL
3617	LUVA ULTRANE 548 PU PT 10	EPI
3618	MACACÃO APICULTOR TAM:GG	EPI
3619	ÓCULOS SEGURANÇA LENTE VERDE, NÍVEL 2-EPI	EPI
3620	ÓCULOS SEGURANÇA LENTES INCOLOR, VIS. PAN-EPI (PRO VISION CLARO)	EPI
3621	PROTET.FACIAL,VISOR VERDE,REF218295-EPI	EPI
3622	PROTET/BLOQUEADOR SOLAR REF.FPS 58-EPI	OUTROS
3623	PROTET/BLOQUEADOR SOLAR REF.FPS 30-EPI	OUTROS
3624	PROTETOR AURICULAR C/3 ESCAMAS-SILICONE-EPI	EPI
3625	PROTETOR FACIAL ACRÍLICO C/ ARN.INCOLOR-EPI	EPI
3627	TALABARTE REGULÁVEL, REF. SPL032AJ-DA SP	EPI
3628	TRAVA QUEDA RETRÁTIL	EPI
3629	ALICATE BOMBA D'AGUA 12POL ISOLADO 1000V	FERRAMENTAL
3630	ARCO DE SERRA P/LÂMINA DE 12"	FERRAMENTAL
3631	BROCA DE AÇO RÁPIDO 6MM	OUTROS
3632	BROCA DE AÇO RÁPIDO 8MM	OUTROS
3633	BROCA DE VÍDEA 6MM	OUTROS
3634	CADEADO DE LATÃO, TAMANHO 25 MM	OUTROS
3635	CADEADO DE LATÃO, TAMANHO 20 MM	OUTROS
3636	CADEADO DE LATÃO, TAMANHO 30 MM	OUTROS
3637	CANIVETE SEM PONTA PARA ELETRICISTA	FERRAMENTAL
3638	CHAVE FENDA C/HASTE ISOLAMENTO 1KV 3/16 X 6	FERRAMENTAL
3639	CHAVE COMBINADA BOCA ESTRIA S/ISOL DE 17 MM	FERRAMENTAL
