POSIÇÃO 	 CÓDIGO 	KVA	LP	SERIAL	FABRICANTE	ANO DE FABRICAÇÃO 	ENRROLAMENTO	INSPEÇÃO 
A-05-1	397033	225	179289	1074432476	WEG	nov/22	ALUMINIO	TRIF
A-10-1	397001	150	180444	1478292	ITB	out/22	ALUMINIO	
A-1-1	397974	112,5	181205	1086477309	WEG	out/23	ALUMINIO	TRIF
A-11-1	397001	150	160574	198858	ROMAGNOLE	mai/17	ALUMINIO	REP-DEZ-18
A-12-1	397001	150	174277	1380489	ITB	fev/21	ALUMINIO	TRIF
A-13-1	397974	112,5	179097	1477932	ITB	out/22	ALUMINIO	TRIF
A-14-1	397974	112,5	173537	1284725	ROMAGNOLE	abr/21	ALUMINIO	
A-15-1	397001	150	169904	1235523	ROMAGNOLE	jun/20	ALUMINIO	TRIF
A-16-1	397974	112,5	172498	1276229	ROMAGNOLE	dez/20	ALUMINIO	TRIF
A-17-1	397001	150	174674	1381891	ITB	set/21	ALUMINIO	TRIF
A-18-1	397977	112,5AP	169964	1240654	ROMAGNOLE	jun/20		
A-19-1	397974	112,5	159528	1083812	ROMAGNOLE	mar/17	ALUMINIO	TRIF
A-20-1	397033	225	179323	1074432510	WEG	out/22		
A-2-1	397033	225	169220	1052295004	WEG	mar/15	ALUMINIO	TRIF
A-21-1	397033	225	160878	1099897	ITB	jul/17	ALUMINIO	REPARADO
A-22-1	397001	150	160373	1092779	ROMAGNOLE	jan/17	ALUMINIO	TRIF
A-23-1	397977	112,5AP	175123	1316804	ROMAGNOLE	ago/21	ALUMINIO	TRIF/AP
A-24-1	397977	112,5	147376	945761	ROMAGNOLE	ago/14		
A-25-1	397033	225	178089	1071074929	WEG	ago/22	ALUMINIO	TRIF
A-26-1	397033	225	167624	1048530049	WEG	mai/19	ALUMINIO	TRIF
A-27-1	397973	75	183092	1530579	ROMAGNOLE	jan/24	ALUMINIO	
A-28-1	397977	112,5	157435	1038779	ROMAGNOLE	jun/19		
A-29-1	397974	112,5	174751	1381957	ITB	set/21	ALUMINIO	TRIF
A-30-1	397033	225	166703	1047798394	WEG	mai/19	ALUMINIO	TRIF
A-31-1	397033	225	173256	1057774001	WEG	abr/21	ALUMINIO	TRIF
A-32-1	397977	112,5AP	163764	1136064	ROMAGNOLE	abr/18	ALUMINIO	TRIF/AP
A-33-1	397974	112,5	169380	1225765	ROMAGNOLE	mar/20	ALUMINIO	TRIF
A-34-1	397977	112,5AP	172854	1347274	ITB	fev/21	ALUMINIO	TRIF/AP
A-35-1	397974	112,5	172573	1319136	ITB	set/20	ALUMINIO	TRIF
A-36-1	397033	225	172005	1056755588	WEG	fev/21		
A-37-1	397974	112,5	170200	1245028	ROMAGNOLE	jul/20	ALUMINIO	
A-38-1	397033	225	179291	107443278	WEG	out/22	ALUMINIO	TRIF
A-39-1	397033	225	174519	1313222	ROMAGNOLE	jul/21	ALUMINIO	TRIF
A-40-1	397001	150	160339	10927445	ROMAGNOLE 	jul/17	ALUMINIO	REP-JUN-24
A-4-1	397977	112,5	172863	1347283	ITB	fev/21	ALUMINIO	REP 01/24
A-41-1	397974	112,5	173757	414922	ITAIPU	jan/21	ALUMINIO	TRIF
A-42-1	397001	150	173770	414875	ITB	jan/21	ALUMINIO	TRIF
A-43-1	397976	75	176927	1399394	ROMAGNOLE	fev/22		
A-44-1	397001	150	142892	912472	ROMAGNOLE	dez/13		
A-45-1	397001	150	182735	1506239	ROMAGNOLE	jan/24		
A-46-1	397033	225	169474	1052672996	WEG	mar/20	ALUMINIO	TRIF
A-47-1	397142	225	170616	1258992	ROMAGNOLE	jan/20	ALUMINIO	
A-48-1	397974	112,5	163674	1136336	ROMAGNOLE	set/18	ALUMINIO	TRIF
A-48-3	397972	45	179920	1401541	ROMAGNOLE	set/22		
A-49-1	397974	112,5	159607	1085100	ROMAGNOLE	mai/17	ALUMINIO	
A-51-1	397973	75	184348	1605810	ITB	jun/24		
A-52-1	397001	150	171117	1323466	ITB	out/20		
A-53-1	397001	150	180807	148673	ITB	dez/22		
A-54-1	397001	150	181412	1471873	ROMAGNOLE	ago/23		
A-55-1	397033	225	178075	1044323764	WEG	ago/20	ALUMINIO	TRIF
