CÓDIGO	Galpao	Rua	Coluna	Texto breve material	SALDO Final
8358	9	A	3	REFLETOR DE LED 100W	14
8588	9	A	4	AlCOOL GEL 70 SANITIZANTE PARA MAOS REFIL 5L	1
8626	9	A	2	BORRIFADOR PLÁSTICO 500ML	3
8627	9	A	1	LUVA PARA LIMPEZA AMARELA M	10
8650	9	A	5	HIPOCLORITO 2% 5LT	6
8666	9	A	1	LUVA DE LÁTEX PARA PROCED. NÃO ESTÉRIL-COM PÓ - TAM. M CX C/100 UNIDADES	20
8667	9	A	1	LUVA DE LÁTEX PARA PROCED. NÃO ESTÉRIL-COM PÓ - TAM. G CX C/100 UNIDADES	4
3599	10	A	1	"CONE DE SINALIZAÇÃO C/FURO P/FITA DE 75CM BR/LARANJA - ""PADRÃO ENEL"""	1
3606	10	A	1	LUVA DE SEGURANÇA VAQUETA COURO TAM.ÚNICO-EPI	1
3620	10	A	1	OCULOS SEGURANÇA LENTES INCOLOR SPECTRA	1
3973	10	A	1	FILME PARA EMBALAGEM, STRECH, BOBINA DE 500 MM	10
4013	10	A	1	CADERNO ESPIRAL C/FLEX  200 FL (GRANDE)	4
4281	10	A	1	ENVELOPE PAPEL COR BRANCO 240X340MM	3072
4310	10	A	1	CAFÉ EM PÓ 250GM	144
4474	10	A	1	MOUSE OPTICO USB	2
4483	10	A	1	CALÇA ANTI-CHAMAS PADRÃO ENEL TAMANHO GG	14
5501	10	A	1	PRANCHETA (DURATEX)	1
5955	10	A	1	"CAMISA ANTI-CHAMAS PADRÃO ""3C"" TAMANHO M"	1
5982	10	A	1	AÇUCAR 1KG	82
6796	10	A	1	TECLADO P/ USB COR PRETO	2
7056	10	A	1	MOUSE PAD C/ APOIO DE PULSO EM GEL PRETO 	4
7535	10	A	1	LAMPADA TUBO LED T8 18W 1,20 CM	33
7991	10	A	1	MOSQUETÕES TIPO PERA (TRIPLA TRAVA)	2
8080	10	A	1	TORNO MORSA DE BANCADA 6 POLEGADAS AÇO	1
9395	10	A	1	"CAMISA ANTI-CHAMAS PADRÃO ""3C"" TAMANHO GG"	2
9839	10	A	1	"""CALÇA ANTI-CHAMAS PADRÃO ""3C"" TAM. XXG"	2
10042	10	A	1	CAMISA MANGA LONGA SUPERVISÃO NR PADRÃO ENEL TAM P	3
10045	10	A	1	CAMISA MANGA LONGA SUPERVISÃO NR PADRÃO ENEL TAM GG	3
10052	10	A	1	CALÇA NR PADRÃO ENEL FX REFLETIVA TAM 38	3
10108	10	A	1	SSD 240GB	1
3581	11	1	1	BOLSA LONA P/LUVAS IMPER Nº10 VERDE 140x380 MM	2
3598	11	1	5	CINTO DE SEGURANÇA PARAQUEDISTA,T. ÚNICO-EPI	1
3600	11	1	3	CONJUNTO IMPERMEAVEL VENT CTRA	2
3627	11	1	5	TALABARTE REGULAVEL, REF. SPL032 AJ-DA SP	1
3668	11	1	5	TRAVA QUEDAS P/CORDA TAMANHO 12MM C/	1
3673	11	1	5	FITA DE ANCORAGEM REVESTIDA DE 1.20 M	3
3674	11	1	5	FITA DE ANCORAGEM REVESTIDA DE 2 METROS	1
3886	11	1	5	FITA DE ANCORAGEM REVESTIDA, DE 55CM	2
3905	11	1	4	CORDA DE LINHA VIVA 12MM ROLO C/ 25METROS	1
4134	11	1	1	BOLSA LONA P/ FERRAMENTAS E/OU EPI IMPER Nº 10V	5
5570	11	1	1	BOLSA PARA MANGA ISOLANTE 	1
5829	11	1	4	CORRENTE PLASTICA PARA ISOLAMENTO  	18
5935	11	1	3	BANDEIROLA DE SINALIZAÇÃO PADRÃO AMPLA	6
5955	11	1	2	"CAMISA ANTI-CHAMAS PADRÃO ""3C"" TAMANHO M"	1
6616	11	1	4	CHAVE FACA CURVA ISOLADA 1000V	5
7693	11	1	3	KIT COTOVELEIRA/JOELHEIRA REFORÇADA	2
7702	11	1	1	BOLSA PARA CONDUZIR MATERIAL 	1
8819	11	1	2	KIT ELÁSTICO E VELCRO PARA COTOVELEIRA/JOELHEIRA 	12
