MATERIAL	TEXTO BREVE	CENTRO	DEPÓSITO	QUANTIDADE	Und.	Dt. LANÇAMENTO	DOC. MATERIAL	ITEM 	USUÁRIO	TMv	ORDEM
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	11	15	16.310-	KG	13.03.2025	490199123	1	2270199	905	11830325
999819	SUCATA MISTA CABO AL ISOLADO, FE, OUTROS	11	15	5.960-	KG	12.03.2025	490195710	1	2270199	905	11830325
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	11	15	15.720-	KG	12.03.2025	490193977	1	2270199	905	11830325
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	11	15	7.900-	KG	11.03.2025	490189029	1	2270199	905	11830325
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	11	15	16.680-	KG	11.03.2025	490189325	1	2270199	905	11830325
999637	SUCATA TRANSFORM POT 100A150kVA ENROL AL	11	15	3-	PC	07.03.2025	490181185	1	2270199	905	11830325
999660	SUCATA TRANSFORM POT ATÉ 30kVA ENR COBRE	11	15	5-	PC	07.03.2025	490181185	2	2270199	905	11830325
999661	SUCATA TRANSFORM POT 45 A 75kVA EN COBRE	11	15	21-	PC	07.03.2025	490181185	3	2270199	905	11830325
999662	SUCATA TRANSFORM POT 100A150kVA EN COBRE	11	15	13-	PC	07.03.2025	490181185	4	2270199	905	11830325
999637	SUCATA TRANSFORM POT 100A150kVA ENROL AL	11	15	3-	PC	06.03.2025	490178554	1	2270199	905	11830325
999660	SUCATA TRANSFORM POT ATÉ 30kVA ENR COBRE	11	15	13-	PC	06.03.2025	490178554	2	2270199	905	11830325
999660	SUCATA TRANSFORM POT ATÉ 30kVA ENR COBRE	11	15	5-	PC	06.03.2025	490179183	1	2270199	905	11830325
999661	SUCATA TRANSFORM POT 45 A 75kVA EN COBRE	11	15	10-	PC	06.03.2025	490179183	2	2270199	905	11830325
999661	SUCATA TRANSFORM POT 45 A 75kVA EN COBRE	11	15	21-	PC	06.03.2025	490178554	3	2270199	905	11830325
999662	SUCATA TRANSFORM POT 100A150kVA EN COBRE	11	15	4-	PC	06.03.2025	490179183	3	2270199	905	11830325
999662	SUCATA TRANSFORM POT 100A150kVA EN COBRE	11	15	10-	PC	06.03.2025	490178554	4	2270199	905	11830325
999635	SUCATA TRANSFORM POT ATÉ 30kVA ENROL AL	11	15	1-	PC	28.02.2025	490171893	1	2270199	905	11830325
999636	SUCATA TRANSFORM POT 45 A 75kVA ENROL AL	11	15	2-	PC	28.02.2025	490171893	2	2270199	905	11830325
999636	SUCATA TRANSFORM POT 45 A 75kVA ENROL AL	11	15	1-	PC	28.02.2025	490171982	3	2270199	905	11830325
999637	SUCATA TRANSFORM POT 100A150kVA ENROL AL	11	15	28-	PC	28.02.2025	490171893	3	2270199	905	11830325
999637	SUCATA TRANSFORM POT 100A150kVA ENROL AL	11	15	9-	PC	28.02.2025	490171982	4	2270199	905	11830325
999660	SUCATA TRANSFORM POT ATÉ 30kVA ENR COBRE	11	15	2-	PC	28.02.2025	490171982	1	2270199	905	11830325
999662	SUCATA TRANSFORM POT 100A150kVA EN COBRE	11	15	4-	PC	28.02.2025	490171982	2	2270199	905	11830325
999635	SUCATA TRANSFORM POT ATÉ 30kVA ENROL AL	11	15	23-	PC	27.02.2025	490166003	2	2270199	905	11830325
999636	SUCATA TRANSFORM POT 45 A 75kVA ENROL AL	11	15	6-	PC	27.02.2025	490166003	3	2270199	905	11830325
999637	SUCATA TRANSFORM POT 100A150kVA ENROL AL	11	15	12-	PC	27.02.2025	490166003	4	2270199	905	11830325
999661	SUCATA TRANSFORM POT 45 A 75kVA EN COBRE	11	15	1-	PC	27.02.2025	490166003	1	2270199	905	11830325
999635	SUCATA TRANSFORM POT ATÉ 30kVA ENROL AL	11	15	17-	PC	26.02.2025	490161627	1	2270199	905	11830325
999636	SUCATA TRANSFORM POT 45 A 75kVA ENROL AL	11	15	17-	PC	26.02.2025	490161627	2	2270199	905	11830325
999637	SUCATA TRANSFORM POT 100A150kVA ENROL AL	11	15	10-	PC	26.02.2025	490161627	3	2270199	905	11830325
999635	SUCATA TRANSFORM POT ATÉ 30kVA ENROL AL	11	15	28-	PC	25.02.2025	490158040	1	2270199	905	11830325
999636	SUCATA TRANSFORM POT 45 A 75kVA ENROL AL	11	15	18-	PC	25.02.2025	490158040	2	2270199	905	11830325
999637	SUCATA TRANSFORM POT 100A150kVA ENROL AL	11	15	4-	PC	25.02.2025	490158040	3	2270199	905	11830325
999887	SUCATA POSTE CONCRETO	11	15	15-	PC	25.02.2025	490159303	1	2270199	905	11830325
999635	SUCATA TRANSFORM POT ATÉ 30kVA ENROL AL	11	15	4-	PC	24.02.2025	490151749	3	2270199	905	11830325
999635	SUCATA TRANSFORM POT ATÉ 30kVA ENROL AL	11	15	18-	PC	24.02.2025	490153961	1	2270199	905	11830325
999636	SUCATA TRANSFORM POT 45 A 75kVA ENROL AL	11	15	9-	PC	24.02.2025	490151749	4	2270199	905	11830325
999636	SUCATA TRANSFORM POT 45 A 75kVA ENROL AL	11	15	9-	PC	24.02.2025	490153961	2	2270199	905	11830325
999637	SUCATA TRANSFORM POT 100A150kVA ENROL AL	11	15	16-	PC	24.02.2025	490151749	5	2270199	905	11830325
999637	SUCATA TRANSFORM POT 100A150kVA ENROL AL	11	15	15-	PC	24.02.2025	490153961	3	2270199	905	11830325
999660	SUCATA TRANSFORM POT ATÉ 30kVA ENR COBRE	11	15	1-	PC	24.02.2025	490151749	1	2270199	905	11830325
999661	SUCATA TRANSFORM POT 45 A 75kVA EN COBRE	11	15	4-	PC	24.02.2025	490151749	2	2270199	905	11830325
999881	SUCATA POSTE MAD AC 7 M	11	15	38-	PC	24.02.2025	490152262	1	2270199	905	11830325
999635	SUCATA TRANSFORM POT ATÉ 30kVA ENROL AL	11	15	9-	PC	21.02.2025	490145659	1	2270199	905	11830325
999635	SUCATA TRANSFORM POT ATÉ 30kVA ENROL AL	11	15	4-	PC	21.02.2025	490145162	3	2270199	905	11830325
999636	SUCATA TRANSFORM POT 45 A 75kVA ENROL AL	11	15	2-	PC	21.02.2025	490145162	4	2270199	905	11830325
999636	SUCATA TRANSFORM POT 45 A 75kVA ENROL AL	11	15	9-	PC	21.02.2025	490145659	2	2270199	905	11830325
999637	SUCATA TRANSFORM POT 100A150kVA ENROL AL	11	15	17-	PC	21.02.2025	490145659	3	2270199	905	11830325
