PRODUTO	Endereço	Material	Texto breve material	Unidade de medida	 Saldo do sistema 	1ª CONT.	2ª CONT.	3ª CONT.	Posição final Inventariada	Diferença	Custo MÉDIO unitário (base out.) 	Diferença em R$	Total em R$						
3	A-01	3628	TRAVA QUEDA RETRÁTIL	UND  	5	5			5	0	 R$ 179,05 	 R$ -   	 R$ 895,25 	A-013628			 716,20   		
3	A-01	4450	COLETE DE SINALIZAÇÃO TIPO X REFLETIVA FP	UND  	66	66			66	0	 R$ 17,00 	 R$ -   	 R$ 1.122,00 	A-014450					
3	A-02	4454	OCULOS SOBREPOR CINZA ET-30-EPI	UND  	7	7			7	0	 R$ 7,83 	 R$ -   	 R$ 54,81 	A-024454					
3	A-02	6289	RECOLHEDOR DE FITA DE SINALIZAÇÃO DE ALUMINIO	UND  	3	3			3	0	 R$ 76,00 	 R$ -   	 R$ 228,00 	A-026289					
3	A-02	8503	SERRA TIPO COPO DE 48MM	UND  	8	8			8	0	 R$ 45,55 	 R$ -   	 R$ 364,40 	A-028503					
3	A-03	3631	BROCA DE AÇO RÁPIDO 6MM	UND  	6	6			6	0	 R$ 4,79 	 R$ -   	 R$ 28,74 	A-033631					
3	A-03	3632	BROCA DE AÇO RÁPIDO 8MM	UND  	26	26			26	0	 R$ 7,39 	 R$ -   	 R$ 192,14 	A-033632					
3	A-03	3633	BROCA DE VÍDEA 6MM	UND  	7	7			7	0	 R$ 4,22 	 R$ -   	 R$ 29,54 	A-033633					
3	A-03	4448	BROCA DE VÍDEA 8MM	UND  	29	29			29	0	 R$ 5,90 	 R$ -   	 R$ 171,10 	A-034448					
3	A-03	7712	ÓCULOS DE PROTEÇÃO LENTES CINZA 3.0 JAGUAR - KALIPSO	UND  	28	28			28	0	 R$ 7,80 	 R$ -   	 R$ 218,40 	A-037712					
3	A-04	3623	PROTET/BLOQUEADOR SOLAR REF.FPS 30-EPI	UND  	16	16			16	0	 R$ 9,43 	 R$ -   	 R$ 150,88 	A-043623					
3	A-04	4503	FITA POLIÉSTER RIBBON DE RESINA PURA COR PRETO 110MX74MM	BOBINA	3	3			3	0	 R$ 18,41 	 R$ -   	 R$ 55,23 	A-044503					
3	A-05	3576	"ALICATE AMPERIMETRO DIGITAL 3200 MINIPA -""MEDE CAPACITANCIA"""	UND  	25	25			25	0	 R$ 150,00 	 R$ -   	 R$ 3.750,00 	A-053576					
3	A-05	3605	LUVA SUEDINE-EPI	UND  	2	2			2	0	 R$ 5,18 	 R$ -   	 R$ 10,36 	A-053605					
3	A-06	3661	"FURADEIRA DE IMPACTO DE 1/2"" 110V-600W  REVERSIVEL."	UND  	42	42			42	0	 R$ 270,00 	 R$ -   	 R$ 11.340,00 	A-063661					
3	B-01	4450	COLETE DE SINALIZAÇÃO TIPO X REFLETIVA FP	UND  	68	68			68	0	 R$ 17,00 	 R$ -   	 R$ 1.156,00 	B-014450					
3	B-02	3602	FITA REFLET P/ SINALIZ OU ISOLAM DE AREA	UND  	16	16			16	0	 R$ 43,76 	 R$ -   	 R$ 700,16 	B-023602			 700,16   		
3	B-02	3672	MOSQUETÃO OVAL EM AÇO GALVANIZADO	UND  	131	131			131	0	 R$ 29,20 	 R$ -   	 R$ 3.825,20 	B-023672			 3.825,20   		
3	B-02	3681	"SERRA TIPO COPO TAM 13/16"" 21 MM"	UND  	8	8			8	0	 R$ 23,04 	 R$ -   	 R$ 184,32 	B-023681			 184,32   		
