LOTE	KVA	LP	SERIAL	FABRICANTE	DATA	ENROLAMENTO	ÓLEO
397976	75	108478	690069	romagnole	-	COBRE	
397976	75	109917	701036	romagnole	01/12/00	COBRE	
397974	112,5	111489	723803	romagnole	01/05/05	ALUMÍNIO 	
397974	112,5	112004	SEM REFERENCIA	romagnole	01/08/89	ALUMÍNIO 	
397974	112,5	112346	735009	romagnole	01/05/05	ALUMÍNIO 	
397143	45	115477	751965	romagnole	01/01/73	ALUMÍNIO 	
397001	150	116430	739841	romagnole	01/05/05	ALUMÍNIO 	
397974	112,5	116993	750255	romagnole	01/05/05	ALUMÍNIO 	
397145	112,5	118648	765148	romagnole	01/05/05	ALUMÍNIO 	
397974	112,5	122373	782702	romagnole	01/06/05	ALUMÍNIO 	
397977	112,5	122582	783073	romagnole	01/06/05	ALUMÍNIO 	
397977	112,5	122606	783097	romagnole	01/06/05	ALUMÍNIO 	
397001	150	124021	788352	romagnole	01/06/05	ALUMÍNIO 	
397977	112,5	124722	792743	romagnole	01/06/05	ALUMÍNIO 	
397001	150	125473	793452	romagnole	01/03/88	ALUMÍNIO 	
397974	112,5	126874	801579	romagnole	01/11/88	ALUMÍNIO 	
397974	112,5	126896	801571	romagnole	01/10/89	ALUMÍNIO 	
397974	112,5	128156	805860	romagnole	01/06/05	ALUMÍNIO 	
397976	75	129191	811068	romagnole	01/12/90	ALUMÍNIO 	
397976	75	131059	817290	romagnole	01/09/92	ALUMÍNIO 	
397001	150	132184	823861	romagnole	01/05/92	ALUMÍNIO 	
397977	112,5	132775	818801	romagnole	01/02/94	ALUMÍNIO 	
397977	112,5	134110	818844	romagnole	01/12/95	ALUMÍNIO 	
397974	112,5	136099	850781	rede	01/11/95	ALUMÍNIO 	
397974	112,5	138167	859127	romagnole	01/06/96	ALUMÍNIO 	
397974	112,5	138180	859140	romagnole	01/06/05	ALUMÍNIO 	
397976	75	138296	856309	romagnole	01/06/05	ALUMÍNIO 	
397977	112,5	139246	860225	romagnole	01/09/97	ALUMÍNIO 	
397974	112,5	140099	874759	romagnole	01/10/97	ALUMÍNIO 	
397001	150	140296	874824	romagnole	01/12/97	ALUMÍNIO 	
397970	15	125026	793255	ROMAGNOLE	01/06/11	ALUMÍNIO 	
397977	112,5AP	108775	690174	ROMAGNOLE 	01/02/09	COBRE	
397141	15	111461	723775	ROMAGNOLE	01/10/09	ALUMÍNIO 	
397971	30	111470	723784	ROMAGNOLE	01/10/09	ALUMÍNIO 	
397973	75	112279	734611	ROMAGNOLE 	02/07/05	ALUMÍNIO 	
397974	112,5	113862	742580	ROMAGNOLE	01/03/10	ALUMÍNIO 	
397146	25	114368	735643	ROMAGNOLE	01/03/10	ALUMÍNIO 	
397974	112,5	119618	768349	ROMAGNOLE 	01/10/10	ALUMÍNIO 	
