POSIÇÃO 	 CÓDIGO 	KVA	LP	SERIAL	FABRICANTE	ANO DE FABRICAÇÃO 	ENRROLAMENTO	INSPEÇÃO 	DATA  DA ENTRADA 	 COLETA DE ÓLEO 	SAIDA PARA REPARO 	DATA DE RETORNO 	DATA DE SAIDA	NF-e 
C4-A-01	397001	150	173944	1367553	ITB	jun/21	ALUMINIO	TRIF	12/07/2024					
C4-A-02	397033	225	169220	1052295004	WEG	mar/15	ALUMINIO	TRIF	08/02/2024					
C4-A-04	397001	150	169679	1229036	ROMAGNOLE	mai/20	ALUMINIO	TRIF	26/06/2024					
C4-A-05	397033	225	179289	1074432476	WEG	nov/22	ALUMINIO	TRIF	18/07/2024					
C4-A-06	397001	150	173000	1350683	ITB	mar/21	ALUMINIO	TRIF	17/07/2024					
C4-B-01	397972	45	174314	1380516	ITB	ago/21	ALUMINIO	TRIF	06/06/2024					
C4-B-02	397973	75	168212	1206812	ROMAGNOLE	nov/19	ALUMINIO	TRIF	17/07/2024					
C4-B-02	397001	150	168685	1217468	ROMAGNOLE 	dez/19	ALUMINIO	REP-JAN-24	20/12/2022		13/nov/23	18/fev/25		26350
C4-B-02	397973	75	169322	1225742	ROMAGNOLE 	mar/20	ALUMINIO	REP-MAI-24	24/11/2022		11/mar/24	17/fev/25		26887
C4-B-03	397976	75AP	169878	1235572	ROMAGNOLE	jun/20	ALUMINIO	TRIF/AP	09/01/2024					
C4-B-04	397973	75	173502	1284755	ROMAGNOLE	mar/21								
C4-B-05	397974	112,5	168977	1220454	ROMAGNOLE	fev/20			25/02/2025					
C4-B-06	397976	75AP	164410	1139535	ROMAGNOLE	jun/18	ALUMINIO	TRIF/AP	26/06/2024					
C4-C-01	397978	5	172554	1305891	ITB	jun/20	ALUMINIO	MONOFÁSICO	19/07/2022					
C4-C-02	397001	150	156946	1835834	ITB	ago/16			18/02/2025					
C4-C-03	397973	75	102996	265476	ABB	jul/07			25/02/2025					
C4-C-04	397972	45	162887	1132268	ROMAGNOLE	mar/18	ALUMINIO	TRIF	11/12/2023					
C4-C-05	397972	45	176454	1345276	ROMAGNOLE	jan/22			28/02/2025					
C4-C-06	397972	45	179842	1401463	ROMAGNOLE	set/22	ALUMINIO	TRIF	07/05/2024					
C4-D-01	397982	15	170061	1503254	ROMAGNOLE	fev/17								
C4-D-02	397972	45	179807	1401428	ROMAGNOLE	ago/12			25/02/2025					
C4-D-05	397972	45	153141	1004312	ROMAGNOLE	ago/15	ALUMINIO	TRIF	10/03/2023					
C4-D-06	397978	5	172353	1343912	ITB	fev/21	ALUMINIO	MONOFÁSICO	10/03/2023					
