Material	Texto breve material	Quantidade	Montante em MI	Doc.material	Item doc.material	Centro	Depósito	Tipo de movimento	Data de lançamento	Pedido	Qtd.  UM registro	Item	Data de entrada	Data do documento	Txt.tipo movimento	Nº reserva	Diagrama de rede	Nome do usuário
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-13.750	-373,27	490942734	1	11	015	905	19/07/2022		-13.750	0	19/07/2022	19/07/2022	SM para Alienação	0		4005112
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-13.530	-367,87	490941477	1	11	015	905	19/07/2022		-13.530	0	19/07/2022	19/07/2022	SM para Alienação	0		4005112
999883	SUCATA Fe BATIDO MISTO E CHAPARIA SOLTA	-19.770	-197,12	490952877	1	11	015	905	21/07/2022		-19.770	0	21/07/2022	21/07/2022	SM para Alienação	0		4005112
999992	SUCATA FRAGMENTOS DE MADEIRA	-3.310	-32,88	490950847	1	11	015	905	21/07/2022		-3.310	0	21/07/2022	21/07/2022	SM para Alienação	0		4005112
999994	SUCATA DE POLIMEROS DIVERSOS	-2.650	-30,58	490950844	1	11	015	905	21/07/2022		-2.650	0	21/07/2022	21/07/2022	SM para Alienação	0		4005112
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-14.330	-385,78	490967809	1	11	015	905	26/07/2022		-14.330	0	26/07/2022	26/07/2022	SM para Alienação	0		2256196
999992	SUCATA FRAGMENTOS DE MADEIRA	-270	-2,68	490977554	1	11	015	905	27/07/2022		-270	0	27/07/2022	27/07/2022	SM para Alienação	0		2256196
999992	SUCATA FRAGMENTOS DE MADEIRA	-5.780	-57,41	490977328	1	11	015	905	27/07/2022		-5.780	0	27/07/2022	27/07/2022	SM para Alienação	0		2256196
999913	SUCATA ISOLADOR FE E METAIS	-8.360	-41,65	490984001	1	11	015	905	28/07/2022		-8.360	0	28/07/2022	28/07/2022	SM para Alienação	0		2256196
999735	SUCATA FIO/CABO COBRE 2 CAPAS DE ISOLADO	-2.240	-7,42	490988169	2	11	015	905	01/08/2022		-2.240	0	29/07/2022	29/07/2022	SM para Alienação	0		2256196
999736	SUCATA COBRE LIMPO	-14,400	-0,16	490988169	4	11	015	905	01/08/2022		-14,400	0	29/07/2022	29/07/2022	SM para Alienação	0		2256196
999738	SUCATA FIO/CABO COBRE 1 CAPA ISOLACAO	-351,500	-3,21	490988169	3	11	015	905	01/08/2022		-351,500	0	29/07/2022	29/07/2022	SM para Alienação	0		2256196
999887	SUCATA POSTE CONCRETO	-35	-0,35	490988022	1	11	015	905	01/08/2022		-35	0	29/07/2022	29/07/2022	SM para Alienação	0		2256196
999916	SUCATA CHAVES SECCIO/FACA/FUSÍVEL	-3.514	-4,55	490988169	1	11	015	905	01/08/2022		-3.514	0	29/07/2022	29/07/2022	SM para Alienação	0		2256196
999992	SUCATA FRAGMENTOS DE MADEIRA	-6.000	-59,60	490992955	1	11	015	905	01/08/2022		-6.000	0	01/08/2022	01/08/2022	SM para Alienação	0		2256196
999666	SUCATA TRANSF POTENCIA 3000 kVA EN COBRE	-1	-0,07	491001842	1	11	015	905	02/08/2022		-1	0	02/08/2022	02/08/2022	SM para Alienação	0		4005753
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-15.250	-471,12	491003142	1	11	015	905	02/08/2022		-15.250	0	02/08/2022	02/08/2022	SM para Alienação	0		2256196
999887	SUCATA POSTE CONCRETO	-25	-0,25	491015479	1	11	015	905	04/08/2022		-25	0	04/08/2022	04/08/2022	SM para Alienação	0		2256196
999887	SUCATA POSTE CONCRETO	-23	-0,23	491016301	1	11	015	905	04/08/2022		-23	0	04/08/2022	04/08/2022	SM para Alienação	0		2256196
999992	SUCATA FRAGMENTOS DE MADEIRA	-5.120	-50,86	491014186	1	11	015	905	04/08/2022		-5.120	0	04/08/2022	04/08/2022	SM para Alienação	0		2256196
999887	SUCATA POSTE CONCRETO	-25	-0,25	491019544	1	11	015	905	05/08/2022		-25	0	05/08/2022	05/08/2022	SM para Alienação	0		2256196
