LOTE	Lt SUCATA	KVA	LP	SERIAL	FABRICANTE	ANO	ENROLAMENTO
397977	999662	112,5	74107	127666	WEG	1998	COBRE
397972	999661	45	100487	380431	iTB	fev/20	COBRE
397974	999662	112,5	100781	380649	ITB	2006	COBRE
397973	999661	75	105000	271490	ABB	2007	COBRE
397141	999660	15	108169	687845	ROMAGNOLE	jan/09	COBRE
397976	999661	75AP	108515	690106	ROMAGNOLE	fev/09	COBRE
397977	999662	112,5 AP	108759	690158	ROMAGNOLE	2009	COBRE
397976	999661	75AP	109278	690546	ROMAGNOLE	mar/09	COBRE
397972	999661	45	109710	693434	ROMAGNOLE	mar/09	COBRE
397978	999660	5	109800	693459	ROMAGNOLE	2009	COBRE
397976	999661	75AP	109939	701058	ROMAGNOLE	abr/09	COBRE
397974	999662	112,5	110913	710855	ROMAGNOLE	jul/09	COBRE
397974	999662	112,5	110914	710856	ROMAGNOLE	jul/09	COBRE
397974	999662	112,5	111843	729864	ROMAGNOLE	nov/09	COBRE
397974	999662	112,5	111913	729976	ROMAGNOLE	dez/09	COBRE
397973	999661	75	112272	734604	ROMAGNOLE	2010	COBRE
397001	999662	150	112671	734429	ROMAGNOLE	abr/10	COBRE
397974	999662	112,5	113119	737190	ROMAGNOLE	mar/10	COBRE
397974	999662	112,5	113759	743044	ROMAGNOLE	abr/10	COBRE
397001	999662	150	113955	741312	ROMAGNOLE	fev/10	COBRE
397973	999661	75	114495	735726	ROMAGNOLE	jun/10	COBRE
397974	999662	112,5	114787	735836	RAMAGNOLE	fev/10	COBRE
397001	999662	150	114961	736035	ROMAGNOLE	mar/10	COBRE
397973	999661	75	115632	739669	ROMAGNOLE	abr/10	COBRE
397976	999661	75AP	116157	749031	ROMAGNOLE	abr/10	COBRE
397976	999661	75AP	116191	749065	ROMAGNOLE	abr/10	COBRE
397973	999661	75	117950	755833	RAMAGNOLE	fev/11	COBRE
397973	999661	75	118014	755897	ROMAGNOLE	jun/10	COBRE
397977	999662	112,5AP	118042	755925	ROMAGNOLE	jun/10	COBRE
397971	999660	30	118214	759929	ROMAGNOLE	jul/10	COBRE
397972	999661	45	118234		ROMAGNOLE	jul/05	COBRE
397146	999660	25	118351	764818	ROMAGNOLE	set/10	COBRE
397001	999637	150	119037	317469	ABB	jul/05	ALUMÍNIO
397974	999662	112,5	119200	768299	ROMAGNOLE	out/10	COBRE
397977	999637	112,5AP	120316	318163	ABB	jul/11	ALUMÍNIO
397141	999660	15	120497	771263	ROMAGNOLE	dez/10	COBRE
397973	999661	75	120740	767703	ROMAGNOLE	dez/10	COBRE
397974	999637	112,5	120904	771500	ROMAGNOLE	jan/11	ALUMÍNIO
397974	999637	112,5	121116	782092	ROMAGNOLE	2011	ALUMÍNIO
397001	999637	150	121356	774921	ROMAGNOLE	2010	ALUMÍNIO
397001	999637	150	121516	775661	ROMAGNOLE	dez/10	ALUMÍNIO
397973	999636	75	121672	781285	ROMAGNOLE	jan/11	ALUMÍNIO
397974	999637	112,5	121993	778571	ROMAGNOLE	jan/11	ALUMÍNIO
397978	999635	5	122239	321103	ABB	fev/10	ALUMÍNIO
397974	999637	112,5	122437	782806	ROMAGNOLE	fev/11	ALUMÍNIO
397977	999637	112,5AP	122598	783089	ROMAGNOLE	mar/11	ALUMÍNIO
397141	999635	15	122766	321885	ABB	abr/11	ALUMÍNIO
397144	999636	75	122933	784706	iTB	jan/03	ALUMÍNIO
397971	999635	30	123369	322804	ABB	jun/14	ALUMÍNIO
397001	999637	150	123421	322856	ABB	abr/11	ALUMÍNIO
397977	999637	112,5AP	123912	788579	ROMAGNOLE	mai/11	ALUMÍNIO
397977	999637	112,5	123960	788627	RHEDE	2011	ALUMÍNIO
397001	999637	150	124230	323902	ABB	jun/11	ALUMÍNIO
397974	999637	112,5	125934	799212	RAMAGNOLE	jun/11	ALUMÍNIO
397001	999637	150	126198	799101	ROMAGNOLE	jul/11	ALUMÍNIO
397973	999636	75,0KVA	126627	801717	ROMAGNOLE	2011	ALUMÍNIO
397001	999637	150,0KVA	126968	802078	ROMAGNOLE	2011	ALUMÍNIO
397974	999637	112,5	127932	805636	RAMAGNOLE	jul/05	ALUMÍNIO
397974	999637	112,5	127954	805658	Romagnole	set/11	ALUMÍNIO
397974	999637	112,5	128020	805724	ROMAGNOLE	set/10	ALUMÍNIO
397974	999637	112,5KVA	128640	328448	MEDRAL	2011	ALUMÍNIO
397976	999636	75AP	129077	808800	ROMAGNOLE	out/11	ALUMÍNIO
397976	999636	75AP	129209	811086	ROMAGNOLE	out/11	ALUMÍNIO
397972	999636	45,0KVA	129451	810549	ROMAGNOLE	2012	ALUMÍNIO
397974	999637	112,5	129610	811526	ROMAGNOLE	dez/11	ALUMÍNIO
397974	999637	112,5	129621	811537	ROMAGNOLE	dez/11	ALUMÍNIO
397974	999637	112,5	129670	812564	ROMAGNOLE	dez/11	ALUMÍNIO
397977	999637	112,5AP	129790	813031	ROMAGNOLE	dez/11	ALUMÍNIO
397974	999637	112,5KVA	130842	819237	ROMAGNOLE	2012	ALUMÍNIO
397974	999637	112,5KVA	130927	816735	ROMAGNOLE	2012	ALUMÍNIO
397977	999637	112,5KVA AP	131088	817319	ROMAGNOLE	2012	ALUMÍNIO
397977	999637	112,5KVA AP	131336	769630	MEDRAL	2012	ALUMÍNIO
397976	999636	75,0KVA AP	131878	822420	ROMAGNOLE	2012	ALUMÍNIO
397976	999636	75,0KVA AP	132093	824001	ROMAGNOLE	2012	ALUMÍNIO
397141	999635	15,0KVA 6/13KV	132527	827337	ROMAGNOLE	2012	ALUMÍNIO
