LOTE	Lt SUCATA	KVA	LP	SERIAL	FABRICANTE	ANO	ENROLAMENTO	NF	MIGO 261	MIGO 262	MB1B	DATA DE SAÍDA
397976	999661	75	108478	690069	romagnole	-	cobre	26107	490782355	490782356	490782404	15/09/2023
397976	999661	75	109917	701036	romagnole	dez/00	cobre	26107	490782355	490782356	490782404	15/09/2023
397974	999637	112,5	111489	723803	romagnole	mai/05	aluminio	26107	490782355	490782356	490782404	15/09/2023
397974	999637	112,5	112004	SEM REFERENCIA	romagnole	ago/89	aluminio	26107	490782355	490782356	490782404	15/09/2023
397974	999637	112,5	112346	735009	romagnole	mai/05	aluminio	26107	490782355	490782356	490782404	15/09/2023
397143	999636	45	115477	751965	romagnole	jan/73	aluminio	26107	490782355	490782356	490782404	15/09/2023
397001	999637	150	116430	739841	romagnole	mai/05	aluminio	26107	490782355	490782356	490782404	15/09/2023
397974	999637	112,5	116993	750255	romagnole	mai/05	aluminio	26107	490782355	490782356	490782404	15/09/2023
397145	999637	112,5	118648	765148	romagnole	mai/05	aluminio	26107	490782355	490782356	490782404	15/09/2023
397974	999637	112,5	122373	782702	romagnole	jun/05	aluminio	26107	490782355	490782356	490782404	15/09/2023
397977	999637	112,5	122582	783073	romagnole	jun/05	aluminio	26107	490782355	490782356	490782404	15/09/2023
397977	999637	112,5	122606	783097	romagnole	jun/05	aluminio	26107	490782355	490782356	490782404	15/09/2023
397001	999637	150	124021	788352	romagnole	jun/05	aluminio	26107	490782355	490782356	490782404	15/09/2023
397977	999637	112,5	124722	792743	romagnole	jun/05	aluminio	26107	490782355	490782356	490782404	15/09/2023
397001	999637	150	125473	793452	romagnole	mar/88	aluminio	26107	490782355	490782356	490782404	15/09/2023
397974	999637	112,5	126874	801579	romagnole	nov/88	aluminio	26107	490782355	490782356	490782404	15/09/2023
397974	999637	112,5	126896	801571	romagnole	out/89	aluminio	26107	490782355	490782356	490782404	15/09/2023
397974	999637	112,5	128156	805860	romagnole	jun/05	aluminio	26107	490782355	490782356	490782404	15/09/2023
397976	999636	75	129191	811068	romagnole	dez/90	aluminio	26107	490782355	490782356	490782404	15/09/2023
397976	999636	75	131059	817290	romagnole	set/92	aluminio	26107	490782355	490782356	490782404	15/09/2023
397001	999637	150	132184	823861	romagnole	mai/92	aluminio	26107	490782355	490782356	490782404	15/09/2023
397977	999637	112,5	132775	818801	romagnole	fev/94	aluminio	26107	490782355	490782356	490782404	15/09/2023
397977	999637	112,5	134110	818844	romagnole	dez/95	aluminio	26107	490782355	490782356	490782404	15/09/2023
397974	999637	112,5	136099	850781	rede	nov/95	aluminio	26107	490782355	490782356	490782404	15/09/2023
397974	999637	112,5	138167	859127	romagnole	jun/96	aluminio	26107	490782355	490782356	490782404	15/09/2023
397974	999637	112,5	138180	859140	romagnole	jun/05	aluminio	26107	490782355	490782356	490782404	15/09/2023
397976	999636	75	138296	856309	romagnole	jun/05	aluminio	26107	490782355	490782356	490782404	15/09/2023
397977	999637	112,5	139246	860225	romagnole	set/97	aluminio	26107	490782355	490782356	490782404	15/09/2023
397974	999637	112,5	140099	874759	romagnole	out/97	aluminio	26107	490782355	490782356	490782404	15/09/2023
397001	999637	150	140296	874824	romagnole	dez/97	aluminio	26107	490782355	490782356	490782404	15/09/2023
