Material	Texto breve material	Quantidade	Doc.material	Item doc.material	Tipo de movimento	Centro	Dep¢sito	Data do documento	Data de lanáamento	Unid.medida b†sica	Montante em MI	Texto cabeáalho documento	Pedido	UM pedido	Diagrama de rede
10000424	MANILHA RET FOFO NOD 5000DAN	-1	4926839647	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-17,14	0070	4200440229	PEÄ	
10000476	CONECT CUNHA RAMAL VII CU 21,15A70MM2	-10	4926839541	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-44,45	0070	4200440229	PEÄ	
10000476	CONECT CUNHA RAMAL VII CU 21,15A70MM2	-20	4926840225	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-88,90	0138	4200441147	PEÄ	
10000476	CONECT CUNHA RAMAL VII CU 21,15A70MM2	-40	4926839541	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-177,80	0070	4200440229	PEÄ	
10000476	CONECT CUNHA RAMAL VII CU 21,15A70MM2	-50	4926840522	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-222,24	0216	4200432883	PEÄ	
10000476	CONECT CUNHA RAMAL VII CU 21,15A70MM2	-50	4926840522	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-222,24	0216	4200435726	PEÄ	
10000476	CONECT CUNHA RAMAL VII CU 21,15A70MM2	-50	4926840522	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-222,24	0216	4200436011	PEÄ	
10000476	CONECT CUNHA RAMAL VII CU 21,15A70MM2	-50	4926840522	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-222,24	0216	4200439147	PEÄ	
10000485	CONECTOR PERF RD 25A120MM2 25A120MM2	-39	4926839541	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-410,39	0070	4200440229	PEÄ	
10000485	CONECTOR PERF RD 25A120MM2 25A120MM2	-3	4926839541	9	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-31,57	0070	4200441146	PEÄ	
10000485	CONECTOR PERF RD 25A120MM2 25A120MM2	-40	4926840522	9	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-420,92	0216	4200439147	PEÄ	
10000485	CONECTOR PERF RD 25A120MM2 25A120MM2	-140	4926839541	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.473,21	0070	4200440814	PEÄ	
10000487	CONECTOR PERF RD 16A120MM2 4A35MM2	-1	4926840522	11	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-8,24	0216	4200440140	PEÄ	
10000487	CONECTOR PERF RD 16A120MM2 4A35MM2	-4	4926839541	11	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-32,94	0070	4200440229	PEÄ	
10000487	CONECTOR PERF RD 16A120MM2 4A35MM2	-12	4926839541	15	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-98,83	0070	4200441146	PEÄ	
10000487	CONECTOR PERF RD 16A120MM2 4A35MM2	-45	4926839541	13	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-370,62	0070	4200440814	PEÄ	
10000487	CONECTOR PERF RD 16A120MM2 4A35MM2	-187	4926840014	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.540,14	0060	4200440813	PEÄ	
10000534	MANILHA SAP LG AL FOFO NOD 5000DAN	-159	4926839647	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.838,01	0070	4200440229	PEÄ	
10000534	MANILHA SAP LG AL FOFO NOD 5000DAN	-120	4926840521	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.387,18	0216	4200439147	PEÄ	
