LP	SERIAL	DATA NF	NF
150950		23/08/2022	24092
127868		23/08/2022	24092
126600		23/08/2022	24092
102541		23/08/2022	24092
143567		23/08/2022	24092
124973		23/08/2022	24092
107618		23/08/2022	24092
165639		23/08/2022	24092
131152		23/08/2022	24092
100574		23/08/2022	24092
108384		23/08/2022	24092
105966		23/08/2022	24092
122304		23/08/2022	24092
162861		23/08/2022	24092
126981		23/08/2022	24092
108380		23/08/2022	24092
108859		23/08/2022	24092
112324		23/08/2022	24092
117232		23/08/2022	24092
121388		23/08/2022	24092
142158		23/08/2022	24092
137637		23/08/2022	24092
131150		23/08/2022	24092
100578		31/08/2022	24159
105357		31/08/2022	24159
105738		31/08/2022	24159
108776		31/08/2022	24159
110066		31/08/2022	24159
110306		31/08/2022	24159
111123		31/08/2022	24159
112918		31/08/2022	24159
115465		31/08/2022	24159
121044		31/08/2022	24159
123185		31/08/2022	24159
126919		31/08/2022	24159
127754		31/08/2022	24159
133984		31/08/2022	24159
135114		31/08/2022	24159
136341		31/08/2022	24159
137577		31/08/2022	24159
156632		31/08/2022	24159
161963		31/08/2022	24159
168868		31/08/2022	24159
755911		31/08/2022	24159
756005		31/08/2022	24159
155698		31/08/2022	24159
176069		14/09/2022	24215
112073		26/09/2022	24282
108416		26/09/2022	24282
129255		26/09/2022	24282
170085		26/09/2022	24282
135785		26/09/2022	24282
131349		26/09/2022	24282
140287		26/09/2022	24282
116195		26/09/2022	24282
110002		26/09/2022	24282
129487		26/09/2022	24282
101356		26/09/2022	24282
105324		26/09/2022	24282
149180		26/09/2022	24282
157298		26/09/2022	24282
125390		26/09/2022	24282
131374		26/09/2022	24282
117162		26/09/2022	24282
127092		26/09/2022	24282
121499		26/09/2022	24282
125309		26/09/2022	24282
108763		26/09/2022	24282
104451		26/09/2022	24282
166460		28/09/2022	24305
117097		28/09/2022	24305
128341		28/09/2022	24305
130970		28/09/2022	24305
110843		28/09/2022	24305
86640		28/09/2022	24305
76678		28/09/2022	24305
114707		28/09/2022	24305
128868		28/09/2022	24305
124994		28/09/2022	24305
112737		28/09/2022	24305
119261		28/09/2022	24305
18358		28/09/2022	24305
113831		28/09/2022	24305
117985		28/09/2022	24305
120516		28/09/2022	24305
119294		28/09/2022	24305
108090		28/09/2022	24305
90510		28/09/2022	24305
90197		28/09/2022	24305
110169		28/09/2022	24305
110126		28/09/2022	24305
108439		28/09/2022	24305
109783		28/09/2022	24305
74041		28/09/2022	24305
119734		28/09/2022	24305
121262		28/09/2022	24305
118707		28/09/2022	24305
118723		28/09/2022	24305
118789		28/09/2022	24305
116295		28/09/2022	24305
125051		28/09/2022	24305
113882		28/09/2022	24305
108761		28/09/2022	24305
113345		28/09/2022	24305
73738		07/10/2022	24381
90135		07/10/2022	24381
90295		07/10/2022	24381
93722		07/10/2022	24381
95372		07/10/2022	24381
108826		07/10/2022	24381
110361		07/10/2022	24381
110473		07/10/2022	24381
113257		07/10/2022	24381
115582		07/10/2022	24381
117512		07/10/2022	24381
118320		07/10/2022	24381
124408		07/10/2022	24381
125176		07/10/2022	24381
125076		07/10/2022	24381
131244		07/10/2022	24381
133922		07/10/2022	24381
134088		07/10/2022	24381
134877		07/10/2022	24381
135627		07/10/2022	24381
138294		07/10/2022	24381
140876		07/10/2022	24381
142532		07/10/2022	24381
142533		07/10/2022	24381
146485		07/10/2022	24381
151719		07/10/2022	24381
156783		07/10/2022	24381
157155		07/10/2022	24381
162272		07/10/2022	24381
168843		07/10/2022	24381
117634		07/10/2022	24381
127473		07/10/2022	24381
127644		07/10/2022	24381
128037		07/10/2022	24381
128734		07/10/2022	24381
129716		07/10/2022	24381
129746		07/10/2022	24381
134342		07/10/2022	24381
770361		07/10/2022	24381
109759		07/10/2022	24379
115516		07/10/2022	24379
117596		07/10/2022	24379
119611		07/10/2022	24379
