Cód. Etiqueta	Nome	Rua	Coluna	Altura	Cód. SAP	Produto	Primeira contagem	Segunda contagem	Terceira contagem	Validade	CA	validade CA
	29	1	1	1	4486	CAMISA ANTI CHAMA TAM. P 	26			2025-12-01	38905	2023-05-03
	29	1	1	2	4487	CALÇA ANTI CHAMA TAM. P	35			2025-12-01	38905	2023-05-03
	29	1	1	4	4484	CAMISA ANTI CHAMA TAM. M	0			2025-12-01	38905	2023-05-03
	29	1	1	3	4485	CALÇA ANTI CHAMA TAM. M	0			2025-12-01	38905	2023-05-03
	29	1	1	5	4481	CALÇA ANTI CHAMA TAM. G	0			2025-12-01	38905	2023-05-03
	29	1	2	5	4480	CAMISA ANTI CHAMA TAM.G 	0			2025-12-01	38905	2023-05-03
	29	1	2	4	4482	CAMISA ANTI CHAMA TAM. GG	0			2025-12-01	38905	2023-05-03
	29	1	2	3	4483	CALÇA ANTI CHAMA TAM. GG	0			2025-12-01	38905	2023-05-03
	29	1	2	2	8733	CALÇA ANTI CHAMA TAM. XG 	12			2025-12-01	38905	2023-05-03
	29	1	2	1	6420	CAMISA ANTI CHAMA TAM. XG	8			2025-12-01	38905	2023-05-03
	29	1	3	5	5122	CAMISA ANTI CHAMA TAM. XGG	8			2025-12-01	38905	2023-05-03
	29	1	3	4	5115	CALÇA ANTI CHAMA TAM. XGG	4			2025-12-01	38905	2023-05-03
	29	1	5	2	8990	EXTRATOR DE FUSIVEL 	6					
	29	1	5	2	8990	EXTRATOR DE FUSIVEL 	10					
	29	1	4	4	9967	LUVA  VAQUETA	176				26381	2024-09-24
	29	1	4	5	10212	CAMISETA EGG 	12					
	29	1	4	5	9954	COLETE  REFLETIVO	9					
	29	1	4	5	10212	CAMISA AZUL MARINHO TAM. EGG	12					
	29	1	3	2	10210	CAMISA AZUL MARINHO TAM. GG	19					
	29	1	3	3	10209	CAMISA AZUL MARINHO TAM. G	76					
	29	1	3	2	9573	CAMISA AZUL MARINHO TAM. M	5					
	29	1	4	3	8127	FITA ISOLANTE 3 M 18 x20 mm 	168					
	29	1	5	4	3605	LUVA SUEDINE 	36				19937	2023-07-11
	29	1	6	4	****	ROLOS P/ KIT AMBIENTAL	50					
	29	1	6	3	3634	CADEADO VONDER 20 MM 	180					
	29	1	6	1	5532	LUPA	14					
	29	1	6	1	8667	LUVA VINIL FLEX	7CX					
	29	1	6	1	9910	BATERIA DE LIDÍO 	28					
	29	1	5	4	3604	LUVA DE COBERTURA	11					
	29	1	5	1	6616	FACA  CURVA	23					
	29	1	5	1	9730	BAINHA P/ FACA CURVA	88					
	29	1	5	1	9326	FITA IMANTADA P/ ROTA DE FUGA	48					
	29	1	5	1	9326	FITA IMANTADA P/ ROTA DE FUGA	50					
	29	1	6	5	7233	PROTETOR SOLAR	18					
	29	1	3	1	9752	CARRETILA P/ FITA SINALIZAÇÃO 	14					
	29	1	4	1	9362	ESTOJO P/ OCULOS	16					
	29	3	3	1	5000	TALHADEIRA C/ EMPUNHADURA	13					
	29	3	3	4	3655	CHAVE PHILLPIS 1/4X6	0					
	29	3	3	5	3656	CHAVE PHILLPS 5/6x16	18					
	29	3	3	5	9894	FORMÃO ISOLADO	13					
	29	3	3	6	9957	CHAVE ALLEN ISOLADA	13					
	29	3	3	6	3578	ALICATE BOMBA D'AGUA	27					
	29	3	2	4	3641	CHAVE DE FENDA 5/6X16	0					
	29	3	2	5	3652	CHAVE INGLESA 8 	7					
	29	3	2	3	3654	CHAVE INGLESA 10	80					
	29	3	1	4	3653	CHAVE INGLESA 12	5					
	29	3	2	5	9794	CHAVE 13MM CATRACA	20					
	29	3	2	6	3616	ALICATE UNIVERSAL	5					
	29	3	3	5	4271	CHAVE PHILLIPS 1/8x6	10					
	29	3	1	4	9323	FREIO ABS	83					
	29	3	1	5	9414	CHAVE BOCA FIXA	47					
	29	3	1	5	4588	PUNÇÃO	49					
	29	3	1	5	5185	PONTEIRA P/ VARA TELECÓPICA	13					
	29	2	2	1	9368	GANCHO TIPO II	138					
	29	3	1	3	9736	GANCHO P/ IÇAMENTO	8					
	29	3	2	6	9470	ALICATE DE CORTE	2					
	29	3	1	6	10267	ALIKATRO	8					
	29	3	1	6	3591	ALICATE DE BICO	7					
	29	3	1	7	9899	PONTEIRO ISOLADO	4					
	29	3	1	7	3676	SUPORTE P/ SERRA COPO 14a30	22					
	29	3	1	7	6172	SUPORTE P/ SERRA COPO 32a210	22					
	29	3	2	7	4965	SERRA COPO 35 MM	37					
	29	3	2	7	3969	SERRA COPO 48 MM 	24					
	29	3	3	7	3681	SERRA COPO 21 MM 	38					
	29	3	3	7	4370	SERRA COPO 25MM	49					
	29	3	3	7	3680	SERRA COPO 38MM	38					
	29	3	2	7	3632	BROCA N°8	80					
	29	3	2	7	3631	BROCA N°6	65					
	29	2	1	3	4765	FAROLETE SILIBRIM	10					
	29	2	2	2	9911	ALICATE AMPERIMETRO DIGITAL	1					
	29	2	2	2	9911	ALICATE AMPERIMETRO DIGITAL	1					
	29	2	2	2	9911	ALICATE AMPERIMETRO DIGITAL	1					
	29	2	2	2	9911	ALICATE AMPERIMETRO DIGITAL	1					
	29	2	2	2	9911	ALICATE AMPERIMETRO DIGITAL	1					
	29	2	2	2	10268	ALICATE TIPO FORK	1					
	29	2	2	2	10268	ALICATE TIPO FORK	1					
	29	2	2	4	5517	LANTERNA LED 	4					
	29	2	1	4	9368	GANCHO TIPO II	15					
	29	1	4	6	9867	PROTETOR OURICULAR CONCHA	20				14235	2026-01-27
	29	2	2	3	7518	GIROFLEX	8					
	29	1	6	6	9867	PROTETOR OURICULAR CONCHA	20				14235	2026-01-27
	29	1	3	6	****	MANTA ABS	90					
	29	1	2	6	8626	BORRIFADOR	7					
	29	2	1	5	4453	OCULOS SOBREPOR	26				16462	2023-08-01
	29	2	1	5	4453	OCULOS SOBREPOR	50				16462	2023-08-01
	29	2	2	5	7131	BALACLAVA	12				15307	2027-01-31
	32	1	1	1	4258	BOTA SEGURANÇA N° 44	31				41453	2024-12-01
	32	1	1	1	8721	BOTA SEGURANÇA N°43	18				41453	2024-12-01
	32	1	1	1	4264	BOTA SEGURANÇA N°38	4				41453	2024-12-01
	32	1	1	1	9184	FITA DE SINALIZAÇÃO 30 MTS	65					
