PRODUTO	Nome	Rua	Coluna	Altura	Cód. SAP	Produto	Primeira contagem	Segunda contagem	Terceira contagem	Validade	CA	Validade CA	Laudo	Validade Laudo	Data inventário	Inventariante
	29	1	1	1	4486	CAMISA ANTI CHAMA TAM. P 	26			2025-12-01	38905	2023-05-03			2022-03-03	Matheus
	29	1	1	2	4487	CALÇA ANTI CHAMA TAM. P	35			2025-12-01	38905	2023-05-03			2022-03-03	Matheus
	29	1	1	4	4484	CAMISA ANTI CHAMA TAM. M	12			2025-12-01	38905	2023-05-03			2022-03-03	Matheus
	29	1	1	3	4485	CALÇA ANTI CHAMA TAM. M	10			2025-12-01	38905	2023-05-03			2022-03-03	Matheus
	29	1	1	5	4481	CALÇA ANTI CHAMA TAM. G	3			2025-12-01	38905	2023-05-03			2022-03-03	Matheus
	29	1	2	5	4480	CAMISA ANTI CHAMA TAM.G 	0			2025-12-01	38905	2023-05-03			2022-03-03	Matheus
	29	1	2	4	4482	CAMISA ANTI CHAMA TAM. GG	0			2025-12-01	38905	2023-05-03			2022-03-03	Matheus
	29	1	2	3	4483	CALÇA ANTI CHAMA TAM. GG	7			2025-12-01	38905	2023-05-03			2022-03-03	Matheus
	29	1	2	2	8733	CALÇA ANTI CHAMA TAM. XG 	12			2025-12-01	38905	2023-05-03			2022-03-03	Matheus
	29	1	2	1	6420	CAMISA ANTI CHAMA TAM. XG	8			2025-12-01	38905	2023-05-03			2022-03-03	Matheus
	29	1	3	5	5122	CAMISA ANTI CHAMA TAM. XGG	14			2025-12-01	38905	2023-05-03			2022-03-03	Matheus
	29	1	3	4	5115	CALÇA ANTI CHAMA TAM. XGG	14			2025-12-01	38905	2023-05-03			2022-03-03	Matheus
	29	1	5	2	8990	EXTRATOR DE FUSIVEL 	18								2022-03-03	Matheus
	29	1	5	2	8990	EXTRATOR DE FUSIVEL 	10								2022-03-03	Matheus
	29	1	4	4	9967	LUVA  VAQUETA	200				16072	2026-04-01			2022-03-03	Matheus
	29	1	4	5	10212	CAMISETA EGG 	12								2022-03-03	Matheus
	29	1	4	5	9954	COLETE  REFLETIVO	9								2022-03-03	Matheus
	29	1	4	5	10212	CAMISA AZUL MARINHO TAM. EGG	12								2022-03-03	Matheus
	29	1	3	2	10210	CAMISA AZUL MARINHO TAM. GG	34								2022-03-03	Matheus
	29	1	3	3	10209	CAMISA AZUL MARINHO TAM. G	82								2022-03-03	Matheus
	29	1	3	2	9573	CAMISA AZUL MARINHO TAM. M	14								2022-03-03	Matheus
	29	1	4	3	8127	FITA ISOLANTE 3 M 18 x20 mm 	300								2022-03-03	Matheus
	29	1	5	4	3605	LUVA SUEDINE 	55								2022-03-03	Matheus
	29	1	6	3	3634	CADEADO PILLER 25 MM 	51								2022-03-03	Matheus
	29	1	6	1	5532	LUPA	17								2022-03-03	Matheus
	29	1	6	1	8667	LUVA VINIL FLEX	7CX								2022-03-03	Matheus
	29	1	5	4	3604	LUVA DE COBERTURA	24								2022-03-03	Matheus
	29	1	5	1	6616	FACA  CURVA	23								2022-03-03	Matheus
	29	1	5	1	9730	BAINHA P/ FACA CURVA	88								2022-03-03	Matheus
	29	1	5	1	9326	FITA IMANTADA P/ ROTA DE FUGA	50								2022-03-03	Matheus
	29	1	5	1	9326	FITA IMANTADA P/ ROTA DE FUGA	50								2022-03-03	Matheus
	29	1	6	5	7233	PROTETOR SOLAR	33								2022-03-03	Matheus
	29	1	3	1	9752	CARRETILA P/ FITA SINALIZAÇÃO 	14								2022-03-03	Matheus
	29	1	4	1	9362	ESTOJO P/ OCULOS	15								2022-03-03	Matheus
	29	3	3	3	5000	TALHADEIRA C/ EMPUNHADURA	13								2022-03-03	Matheus
	29	3	3	6	3655	CHAVE PHILLPIS 1/4X6	12								2022-03-03	Matheus
	29	3	3	7	3656	CHAVE PHILLPS 5/16x6	20								2022-03-03	Matheus
	29	3	3	5	9894	FORMÃO ISOLADO	14								2022-03-03	Matheus
	29	3	3	6	9957	CHAVE ALLEN ISOLADA	15								2022-03-03	Matheus
	29	3	2	3	3578	ALICATE BOMBA D'AGUA	17								2022-03-03	Matheus
	29	3	2	7	3641	CHAVE DE FENDA 5/6X16	10								2022-03-03	Matheus
	29	3	2	4	3652	CHAVE INGLESA 8 	8								2022-03-03	Matheus
	29	3	2	5	3653	CHAVE INGLESA 12	5								2022-03-03	Matheus
	29	3	2	5	9794	CHAVE 13MM CATRACA	30								2022-03-03	Matheus
	29	3	2	7	3616	ALICATE UNIVERSAL	10								2022-03-03	Matheus
	29	3	3	5	4271	CHAVE PHILLIPS 1/8x6	80								2022-03-03	Matheus
	29	3	1	4	9323	FREIO ABS	88								2022-03-03	Matheus
	29	3	1	5	9414	CHAVE BOCA FIXA	47								2022-03-03	Matheus
	29	3	1	5	4588	PUNÇÃO	50								2022-03-03	Matheus
	29	3	1	5	5185	PONTEIRA P/ VARA TELECÓPICA	16								2022-03-03	Matheus
	29	2	2	1	9368	GANCHO TIPO II	140								2022-03-03	Matheus
	29	3	1	3	9736	GANCHO P/ IÇAMENTO	10								2022-03-03	Matheus
	29	3	2	6	9470	ALICATE DE CORTE	8								2022-03-03	Matheus
	29	3	1	6	10267	ALIKATRO	11								2022-03-03	Matheus
	29	3	2	5	3591	ALICATE DE BICO	8								2022-03-03	Matheus
	29	3	1	7	9899	PONTEIRO ISOLADO	6								2022-03-03	Matheus
	29	3	1	7	3676	SUPORTE P/ SERRA COPO 14a30	22								2022-03-03	Matheus
	29	3	3	4	6172	SUPORTE P/ SERRA COPO 32a210	22								2022-03-03	Matheus
	29	3	3	7	4965	SERRA COPO 35 MM	37								2022-03-03	Matheus
	29	3	2	7	3969	SERRA COPO 48 MM 	24								2022-03-03	Matheus
	29	3	3	6	3681	SERRA COPO 21 MM 	38								2022-03-03	Matheus
	29	3	3	5	4370	SERRA COPO 25MM	49								2022-03-03	Matheus
	29	3	3	5	3680	SERRA COPO 38MM	38								2022-03-03	Matheus
	29	3	3	4	4448	BROCA N°8	80								2022-03-03	Matheus
	29	2	1	3	4765	FAROLETE SILIBRIM	16								2022-03-03	Matheus
	29	2	2	2	9911	ALICATE MINIPA	1								2022-03-03	Matheus
	29	2	2	2	9911	ALICATE MINIPA	1								2022-03-03	Matheus
	29	2	2	2	9911	ALICATE MINIPA	1								2022-03-03	Matheus
	29	2	2	2	9911	ALICATE MINIPA	1								2022-03-03	Matheus
	29	2	2	2	9911	ALICATE MINIPA	1								2022-03-03	Matheus
	29	2	2	2	9911	ALICATE MINIPA	1								2022-03-03	Matheus
	29	2	2	2	9911	ALICATE MINIPA	1								2022-03-03	Matheus
	29	2	2	2	9911	ALICATE MINIPA	1								2022-03-03	Matheus
	29	2	2	2	9911	ALICATE MINIPA	1								2022-03-03	Matheus
