Material	Texto breve material	Quantidade	Montante em MI	Doc.material	Item doc.material	Centro	Depósito	Tipo de movimento	Data de lançamento	Pedido	Qtd.  UM registro	Item	Data de entrada	Data do documento	Txt.tipo movimento	Nº reserva	Diagrama de rede
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-8.750	-29,96	491563831	1	11	015	905	28/12/2022		-8.750	0	28/12/2022	28/12/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	4.269	0,00	500102265	1	11	015	101	27/12/2022	4500505989	4.269	1	27/12/2022	27/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.910	0,00	500102264	1	11	015	101	27/12/2022	4500516455	1.910	1	27/12/2022	27/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.402	0,00	500101401	7	11	015	101	23/12/2022	4500496971	1.402	3	23/12/2022	23/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.962,500	0,00	500101396	2	11	015	101	23/12/2022	4500516363	1.962,500	2	23/12/2022	23/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	210	0,00	500101391	1	11	015	101	23/12/2022	4500505989	210	1	23/12/2022	23/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	28	0,00	500101399	3	11	015	101	23/12/2022	4500494589	28	3	23/12/2022	23/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	672,500	0,00	500101402	1	11	015	101	23/12/2022	4500512453	672,500	116	23/12/2022	23/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	2.889	0,00	500101239	1	11	015	101	22/12/2022	4500490574	2.889	1	22/12/2022	22/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-9.300	-32,28	491550540	1	11	015	905	22/12/2022		-9.300	0	22/12/2022	22/12/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	2.563	0,00	500100624	1	11	015	101	20/12/2022	4500516170	2.563	1	20/12/2022	20/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	33,500	0,00	500100263	2	11	015	101	19/12/2022	4500514624	33,500	2	19/12/2022	19/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	4.957	0,00	500099434	1	11	015	101	14/12/2022	4500505989	4.957	1	14/12/2022	14/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-370	-1,29	491522455	1	11	015	309	14/12/2022		-370	0	14/12/2022	14/12/2022	TR Retif.mat.p/mat.	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.952,500	0,00	500099438	1	11	015	101	14/12/2022	4500490574	1.952,500	1	14/12/2022	14/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	28,500	0,00	500099437	2	11	015	101	14/12/2022	4500494589	28,500	3	14/12/2022	14/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-9.260	-32,33	491520445	1	11	015	905	14/12/2022		-9.260	0	14/12/2022	14/12/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	714	0,00	500099098	1	11	015	101	13/12/2022	4500475998	714	29	13/12/2022	13/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.241	0,00	500099149	2	11	015	101	13/12/2022	4500496115	1.241	5	13/12/2022	13/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	271	0,00	500099148	1	11	015	101	13/12/2022	4500512453	271	80	13/12/2022	13/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	6.043	0,00	500099140	1	11	015	101	13/12/2022	4500515433	6.043	1	13/12/2022	13/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-9.560	-33,61	491514592	1	11	015	905	13/12/2022		-9.560	0	13/12/2022	13/12/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-7.910	-28,16	491512361	1	11	015	905	12/12/2022		-7.910	0	12/12/2022	12/12/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	78	0,00	500095930	3	11	015	101	09/12/2022	4500476007	78	11	09/12/2022	09/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	25	0,00	500094905	1	11	015	101	08/12/2022	4500481472	25	3	08/12/2022	08/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	517,500	0,00	500094616	1	11	015	101	07/12/2022	4500512453	517,500	69	07/12/2022	07/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	13,500	0,00	500094534	1	11	015	101	06/12/2022	4500481472	13,500	3	06/12/2022	06/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	14	0,00	500094535	1	11	015	101	06/12/2022	4500481472	14	3	06/12/2022	06/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.182	0,00	500094442	1	11	015	101	02/12/2022	4500514622	1.182	1	02/12/2022	02/12/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-5.775,500	-20,67	491484148	1	11	015	309	01/12/2022		-5.775,500	0	01/12/2022	01/12/2022	TR Retif.mat.p/mat.	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	183	0,00	500094379	1	11	015	101	01/12/2022	4500510498	183	2	01/12/2022	01/12/2022	EM estoque trânsito	0	
