DATA RECEBIMENTO	PRESTADORA	LOTE	KVA	LP	SERIAL	FABRICANTE	ANO	enrolamento
3/19/2020	MRO DÍNAMO ITAPIRU	397974	112,5	148703	957282	ROMAGNOLE	jul.-05	ALUMINIO
3/23/2020	RENTAL	396999	300	126933	802042	ROMAGNOLE	2011	COBRE
9/16/2020	MRO VOLTA REDONDA	397971	30	158607	1068011	ROMAGNOLE	2016	ALUMINIO
1/5/2021	INDICA PALMARES	397980	10	156132	998261	ITB	2016	ALUMINIO
1/7/2021	MRO BARRA DO PIRAÍ	397982	15	161160	1117512	ROMAGNOLE	nov.-17	ALUMINIO
2/24/2022	ELLCA NOVA IGUAÇU	397973	75	*	*	ILEGIVEL	*	COBRE
2/3/2022	ELLCA NOVA IGUAÇU	397973	75	172422	1276253	ROMAGNOLE	dez.-20	ALUMINIO
7/5/2022	INDICA CAMPO GRANDE	397001	150	112073	729931	ROMAGNOLE	nov.-09	COBRE
7/5/2022	ELLCA NOVA IGUAÇU	397976	75	108416	69007	ROMAGNOLE	fev.-09	COBRE
7/5/2022	ELLCA NOVA IGUAÇU	397977	112,5	108826	690222	ROMAGNOLE	fev.-09	COBRE
7/5/2022	ELLCA NOVA IGUAÇU	397977	112,5	129255	812996	ROMAGNOLE	dez.-11	ALUMINIO
7/5/2022	INDICA CAMPO GRANDE	397971	30	170085	1245123	ROMAGNOLE	jul.-20	ALUMINIO
7/5/2022	INDICA CAMPO GRANDE	397001	150	135785	847624	ROMAGNOLE	nov.-12	ALUMINIO
7/5/2022	INDICA CAMPO GRANDE	397001	150	107855	681430	ROMAGNOLE	dez.-08	COBRE
7/5/2022	INDICA CAMPO GRANDE	397141	15	131349	818575	ROMAGNOLE	jan.-12	ALUMINIO
7/5/2022	ELLCA NOVA IGUAÇU	397001	150	140287	874518	ROMAGNOLE	mai.-13	ALUMINIO
7/5/2022	ELLCA NOVA IGUAÇU	397001	150	124865	793100	ROMAGNOLE	jun.-11	ALUMINIO
7/5/2022	ELLCA NOVA IGUAÇU	397976	75	116195	749069	ROMAGNOLE	abr.-10	COBRE
7/5/2022	ELLCA NOVA IGUAÇU	397977	112,5	110002	700946	ROMAGNOLE	abr.-09	COBRE
7/6/2020	INDICA MESQUITA	397973	75	129487	81070500	ROMAGNOLE	out.-11	ALUMINIO
7/8/2022	ELLCA PENHA	397974	112,5	151820	986250	ROMAGNOLE	mai.-15	ALUMINIO
7/14/2022	ELLCA NOVA IGUAÇU	397974	112,5	125176	793595	ROMAGNOLE	jun.-11	ALUMINIO
8/19/2022	ezentis barra do pirai	397976	25	101356	383489	itb	mar.-06	COBRE
8/19/2022	ezentis barra do pirai	397970	15	105324	621465	romagnole	jan.-08	COBRE
8/19/2022	ezentis barra do pirai	397971	30	*	961192	romagnole	dez.-14	ALUMINIO
8/19/2022	ezentis barra do pirai	397980	10	157298	1036265	itb	ago.-16	ALUMINIO
8/23/2022	ellca penha	397001	150	125390	793539	romagnole	nov.-11	ALUMINIO
8/23/2022	ellca penha	397973	75	131374	818722	romagnole	jan.-12	ALUMINIO
8/29/2022	ELLCA PENHA	397974	112,5	117162	750424	romagnole	mai.-12	COBRE
8/30/2022	ELLCA N IGUAÇU	397001	150	127092	802202	romagnole	ago.-11	ALUMINIO
8/30/2022	ELLCA N IGUAÇU	397001	150	121499	772013	romagnole	dez.-10	ALUMINIO
8/30/2022	ELLCA N IGUAÇU	397974	112,5	125309	793688	romagnole	jun.-11	ALUMINIO
8/30/2022	ELLCA N IGUAÇU	397977	112,5	108763				
