COD. CLIENTE;FORNECEDOR;DATA;CÓDIGO SAP;NUM. COLETA;NUM. SÉRIE;STATUS
31168;;;0;833341;833341;NÃO EXPORTADO
29372;;;0;167600;167600;NÃO EXPORTADO
29373;;;0;130948;130948;NÃO EXPORTADO
29374;;;0;34678;34678;NÃO EXPORTADO
29375;;;0;252983;252983;NÃO EXPORTADO
30842;;;0;114623;114623;NÃO EXPORTADO
30854;;;0;1176161;1176161;NÃO EXPORTADO
30862;;;0;Ka1472a354h;Ka1472a;NÃO EXPORTADO
30869;;;0;122607;122607;NÃO EXPORTADO
30873;;;0;781172;781172;NÃO EXPORTADO
30898;;;0;Ka1210a037a;Ka1210a;NÃO EXPORTADO
30920;;;0;1352957;1352957;NÃO EXPORTADO
30932;;;0;1326210;1326210;NÃO EXPORTADO
30936;;;0;117586;117586;NÃO EXPORTADO
31166;;;0;92;92;NÃO EXPORTADO
31167;;;0;924008;924008;NÃO EXPORTADO
29365;;;0;Ka207a242;Ka207a2;NÃO EXPORTADO
29351;;;0;134930;134930;NÃO EXPORTADO
29318;;;0;1380523;1380523;NÃO EXPORTADO
29097;;;0;404124;404124;NÃO EXPORTADO
29098;;;0;1124931;1124931;NÃO EXPORTADO
29099;;;0;265552;265552;NÃO EXPORTADO
29111;;;0;65754;65754;NÃO EXPORTADO
29285;;;0;852612;852612;NÃO EXPORTADO
29308;;;0;907851;907851;NÃO EXPORTADO
29309;;;0;1244994;1244994;NÃO EXPORTADO
29310;;;0;1117608;1117608;NÃO EXPORTADO
29311;;;0;1228972;1228972;NÃO EXPORTADO
29312;;;0;166765;166765;NÃO EXPORTADO
29313;;;0;400413;400413;NÃO EXPORTADO
29314;;;0;75766;75766;NÃO EXPORTADO
29315;;;0;75352;75352;NÃO EXPORTADO
29316;;;0;75452;75452;NÃO EXPORTADO
29317;;;0;1905;1905;NÃO EXPORTADO
31169;;;0;784875;784875;NÃO EXPORTADO
33013;;;0;Ka946a007h;Ka946a0;NÃO EXPORTADO
32452;;;0;689367;689367;NÃO EXPORTADO
32454;;;0;1052737;1052737;NÃO EXPORTADO
32459;;;0;1175015;1175015;NÃO EXPORTADO
32463;;;0;181638;181638;NÃO EXPORTADO
32468;;;0;788611;788611;NÃO EXPORTADO
32478;;;0;9614803;9614803;NÃO EXPORTADO
32479;;;0;859531;859531;NÃO EXPORTADO
32480;;;0;743015;743015;NÃO EXPORTADO
32481;;;0;265768;265768;NÃO EXPORTADO
32482;;;0;1225742;1225742;NÃO EXPORTADO
32483;;;0;1136478;1136478;NÃO EXPORTADO
32485;;;0;859287;859287;NÃO EXPORTADO
32487;;;0;856517;856517;NÃO EXPORTADO
32489;;;0;1225813;1225813;NÃO EXPORTADO
33011;;;0;343743;343743;NÃO EXPORTADO
33012;;;0;Ka;Ka;NÃO EXPORTADO
32451;;;0;109953;109953;NÃO EXPORTADO
32450;;;0;690229;690229;NÃO EXPORTADO
31170;;;0;402051;402051;NÃO EXPORTADO
31171;;;0;502240;502240;NÃO EXPORTADO
31172;;;0;266655;266655;NÃO EXPORTADO
31173;;;0;2011114;2011114;NÃO EXPORTADO
31174;;;0;997875;997875;NÃO EXPORTADO
31175;;;0;790542181;7905421;NÃO EXPORTADO
31176;;;0;680382;680382;NÃO EXPORTADO
31177;;;0;770433545;7704335;NÃO EXPORTADO
32422;;;0;1262926;1262926;NÃO EXPORTADO
32449;;;0;1349284;1349284;NÃO EXPORTADO
32444;;;0;932897;932897;NÃO EXPORTADO
32441;;;0;114201;114201;NÃO EXPORTADO
32439;;;0;328514;328514;NÃO EXPORTADO
32436;;;0;751736;751736;NÃO EXPORTADO
32426;;;0;Np0301912;Np03019;NÃO EXPORTADO
