Material	Texto breve material	Quantidade	Montante em MI	Centro	Depósito	Tipo de movimento	Data de lançamento	Pedido	Qtd.  UM registro	Item	Data de entrada	Data do documento
999635	SUCATA TRANSFORM POT ATÉ 30kVA ENROL AL	-5	-0,05	11	15	905	28/09/2022		-5	0	28/09/2022	28/09/2022
999636	SUCATA TRANSFORM POT 45 A 75kVA ENROL AL	-5	-0,05	11	15	905	28/09/2022		-5	0	28/09/2022	28/09/2022
999637	SUCATA TRANSFORM POT 100A150kVA ENROL AL	-10	-0,10	11	15	905	28/09/2022		-10	0	28/09/2022	28/09/2022
999660	SUCATA TRANSFORM POT ATÉ 30kVA ENR COBRE	-1	-0,01	11	15	905	28/09/2022		-1	0	28/09/2022	28/09/2022
999661	SUCATA TRANSFORM POT 45 A 75kVA EN COBRE	-5	-0,05	11	15	905	28/09/2022		-5	0	28/09/2022	28/09/2022
999662	SUCATA TRANSFORM POT 100A150kVA EN COBRE	-9	-0,09	11	15	905	28/09/2022		-9	0	28/09/2022	28/09/2022
999735	SUCATA FIO/CABO COBRE 2 CAPAS DE ISOLADO	-3.300	-5,98	11	15	905	28/09/2022		-3.300	0	28/09/2022	28/09/2022
999735	SUCATA FIO/CABO COBRE 2 CAPAS DE ISOLADO	-2.970	-5,38	11	15	905	28/09/2022		-2.970	0	28/09/2022	28/09/2022
999887	SUCATA POSTE CONCRETO	-24	-0,24	11	15	905	28/09/2022		-24	0	28/09/2022	28/09/2022
999997	SUCATA DE CRUZETA DE MADEIRA	-493	-4,81	11	15	905	28/09/2022		-493	0	28/09/2022	28/09/2022
999001	SUCATA DISJUNTOR MEDIO/GRANDE PORTE	-9.960	-99,60	11	15	905	27/09/2022		-9.960	0	27/09/2022	27/09/2022
999881	SUCATA POSTE MAD AC 7 M	-50	-0,50	11	15	905	27/09/2022		-50	0	27/09/2022	27/09/2022
999883	SUCATA Fe BATIDO MISTO E CHAPARIA SOLTA	-12.650	-122,31	11	15	905	27/09/2022		-12.650	0	27/09/2022	27/09/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-7.070	-70,39	11	15	905	27/09/2022		-7.070	0	27/09/2022	27/09/2022
999887	SUCATA POSTE CONCRETO	-24	-0,24	11	15	905	26/09/2022		-24	0	26/09/2022	26/09/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-5.090	-50,62	11	15	905	26/09/2022		-5.090	0	26/09/2022	26/09/2022
999909	SUCATA CARRETEL MADEIRA	-8.600	-85,68	11	15	905	23/09/2022		-8.600	0	23/09/2022	23/09/2022
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-10.135	-44,27	11	15	905	23/09/2022		-10.135	0	23/09/2022	23/09/2022
999997	SUCATA DE CRUZETA DE MADEIRA	-479	-4,66	11	15	905	23/09/2022		-479	0	23/09/2022	23/09/2022
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-16.130	-431,41	11	15	905	22/09/2022		-16.130	0	22/09/2022	22/09/2022
999883	SUCATA Fe BATIDO MISTO E CHAPARIA SOLTA	-9.800	-94,72	11	15	905	22/09/2022		-9.800	0	22/09/2022	22/09/2022
999887	SUCATA POSTE CONCRETO	-26	-0,26	11	15	905	22/09/2022		-26	0	22/09/2022	22/09/2022
999909	SUCATA CARRETEL MADEIRA	-18.340	-182,66	11	15	905	22/09/2022		-18.340	0	22/09/2022	22/09/2022
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-9.970	-43,54	11	15	905	22/09/2022		-9.970	0	22/09/2022	22/09/2022
999733	SUCATA DE MUFLAS E TERMINAIS DE COBRE	-2.600	-33,32	11	15	905	21/09/2022		-2.600	0	21/09/2022	21/09/2022
999735	SUCATA FIO/CABO COBRE 2 CAPAS DE ISOLADO	-1.020	-1,84	11	15	905	21/09/2022		-1.020	0	21/09/2022	21/09/2022
999738	SUCATA FIO/CABO COBRE 1 CAPA ISOLACAO	-1.158	-10,08	11	15	905	21/09/2022		-1.158	0	21/09/2022	21/09/2022
999887	SUCATA POSTE CONCRETO	-23	-0,23	11	15	905	21/09/2022		-23	0	21/09/2022	21/09/2022
999909	SUCATA CARRETEL MADEIRA	-8.360	-83,26	11	15	905	21/09/2022		-8.360	0	21/09/2022	21/09/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-5.730	-56,99	11	15	905	21/09/2022		-5.730	0	21/09/2022	21/09/2022
999119	SUCATA DE CRUZETA DE FIBRA DE VIDRO	-5.380	-7,81	11	15	905	20/09/2022		-5.380	0	20/09/2022	20/09/2022
999887	SUCATA POSTE CONCRETO	-27	-0,27	11	15	905	20/09/2022		-27	0	20/09/2022	20/09/2022
999916	SUCATA CHAVES SECCIO/FACA/FUSÍVEL	-5.414	-7,88	11	15	905	20/09/2022		-5.414	0	20/09/2022	20/09/2022
999946	SUCATA VIDRO	-7.450	-33,11	11	15	905	20/09/2022		-7.450	0	20/09/2022	20/09/2022
999883	SUCATA Fe BATIDO MISTO E CHAPARIA SOLTA	-10.000	-96,61	11	15	905	19/09/2022		-10.000	0	19/09/2022	19/09/2022
999887	SUCATA POSTE CONCRETO	-25	-0,25	11	15	905	19/09/2022		-25	0	19/09/2022	19/09/2022
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-7.980	-35,46	11	15	905	19/09/2022		-7.980	0	19/09/2022	19/09/2022
999834	SUCATA DE BATERIA PODENDO CONTER ÁGUA	-9.020	-8,82	11	15	905	15/09/2022		-9.020	0	15/09/2022	15/09/2022
999887	SUCATA POSTE CONCRETO	-25	-0,25	11	15	905	15/09/2022		-25	0	15/09/2022	15/09/2022
999959	SUCATA DE MEDIDOR/MODULO ELETRONICO	-13.117	-130,33	11	15	905	15/09/2022		-13.117	0	15/09/2022	15/09/2022
999635	SUCATA TRANSFORM POT ATÉ 30kVA ENROL AL	-1	-0,01	11	15	905	14/09/2022		-1	0	14/09/2022	14/09/2022
