id;id_produto;n_serie;nm_fornecedor
357288;999959;9867907;INDICA CAMPO GRANDE 29/12 GET 1641275
357289;999959;10928931;INDICA CAMPO GRANDE 29/12 GET 1641275
357290;999959;10290178;INDICA CAMPO GRANDE 29/12 GET 1641275
357291;999959;10453930;INDICA CAMPO GRANDE 29/12 GET 1641275
357292;999959;10470289;INDICA CAMPO GRANDE 29/12 GET 1641275
357293;999959;10616823;INDICA CAMPO GRANDE 29/12 GET 1641275
357294;999959;9692861;INDICA CAMPO GRANDE 29/12 GET 1641275
357295;999959;11103420;INDICA CAMPO GRANDE 29/12 GET 1641275
357296;999959;9828023;INDICA CAMPO GRANDE 29/12 GET 1641275
357297;999959;7251872-3;INDICA CAMPO GRANDE 29/12 GET 1641275
357298;999959;11007787;INDICA CAMPO GRANDE 29/12 GET 1641275
357299;999959;88792269;INDICA CAMPO GRANDE 29/12 GET 1641275
357300;999959;7884898;INDICA CAMPO GRANDE 29/12 GET 1641275
357301;999959;10910145;INDICA CAMPO GRANDE 29/12 GET 1641275
357302;999959;10539792;INDICA CAMPO GRANDE 29/12 GET 1641275
357303;999959;7633861;INDICA CAMPO GRANDE 29/12 GET 1641275
357304;999959;9324261;INDICA CAMPO GRANDE 29/12 GET 1641275
357305;999959;10304152;INDICA CAMPO GRANDE 29/12 GET 1641275
357306;999959;10303994;INDICA CAMPO GRANDE 29/12 GET 1641275
357307;999959;11104260;INDICA CAMPO GRANDE 29/12 GET 1641275
357308;999959;9279279;INDICA CAMPO GRANDE 29/12 GET 1641275
357309;999959;10643735;INDICA CAMPO GRANDE 29/12 GET 1641275
357310;999959;9838623;INDICA CAMPO GRANDE 29/12 GET 1641275
357311;999959;64285839;INDICA CAMPO GRANDE 29/12 GET 1641275
357312;999959;10837371;INDICA CAMPO GRANDE 29/12 GET 1641275
357313;999959;10059097;INDICA CAMPO GRANDE 29/12 GET 1641275
357314;999959;10095824;INDICA CAMPO GRANDE 29/12 GET 1641275
357315;999959;10045107;INDICA CAMPO GRANDE 29/12 GET 1641275
357316;999959;10927042;INDICA CAMPO GRANDE 29/12 GET 1641275
357317;999959;10160601;INDICA CAMPO GRANDE 29/12 GET 1641275
357318;999959;7431289;INDICA CAMPO GRANDE 29/12 GET 1641275
357319;999959;9789213;INDICA CAMPO GRANDE 29/12 GET 1641275
357320;999959;6954341;INDICA CAMPO GRANDE 29/12 GET 1641275
357321;999959;10661661;INDICA CAMPO GRANDE 29/12 GET 1641275
357322;999959;9605366;INDICA CAMPO GRANDE 29/12 GET 1641275
357323;999959;10276968;INDICA CAMPO GRANDE 29/12 GET 1641275
357324;999959;9210423;INDICA CAMPO GRANDE 29/12 GET 1641275
357325;999959;10319241;INDICA CAMPO GRANDE 29/12 GET 1641275
357326;999959;7018726-6;INDICA CAMPO GRANDE 29/12 GET 1641275
357327;999959;10475412;INDICA CAMPO GRANDE 29/12 GET 1641275
357328;999959;10642219;INDICA CAMPO GRANDE 29/12 GET 1641275
357329;999959;10619225;INDICA CAMPO GRANDE 29/12 GET 1641275
357330;999959;7925261;INDICA CAMPO GRANDE 29/12 GET 1641275
357331;999959;10091697;INDICA CAMPO GRANDE 29/12 GET 1641275
357332;999959;10040610;INDICA CAMPO GRANDE 29/12 GET 1641275
357333;999959;7312455;INDICA CAMPO GRANDE 29/12 GET 1641275
357334;999959;7515032;INDICA CAMPO GRANDE 29/12 GET 1641275
357335;999959;10615898;INDICA CAMPO GRANDE 29/12 GET 1641275
357336;999959;7075212;INDICA CAMPO GRANDE 29/12 GET 1641275
357337;999959;10330176;INDICA CAMPO GRANDE 29/12 GET 1641275
357338;999959;10876396;INDICA CAMPO GRANDE 29/12 GET 1641275
357339;999959;7754716;INDICA CAMPO GRANDE 29/12 GET 1641275
357340;999959;10488898;INDICA CAMPO GRANDE 29/12 GET 1641275
357341;999959;63946319;INDICA CAMPO GRANDE 29/12 GET 1641275
357342;999959;67266339;INDICA CAMPO GRANDE 29/12 GET 1641275
